Nom,Description,Photo
MOKHAPPY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
Ciel Bleu,,
Dr. Angela Fetzner,,https://m.media-amazon.com/images/S/amzn-author-media-prod/m90hom0ub4mq1g9o565fe888uu._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Mokhappy,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
MOKHAPPY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Cogni Pass,,
Bernard Gendoré,,
Stéphane Baurand,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5i02vf33sippev77h6cubstmv._SY600_.jpg
Dr. Lisa Mosconi,"Menopause and perimenopause are still baffling to most doctors, leaving patients exasperated as they grapple with symptoms ranging from hot flashes to insomnia to brain fog. As a leading neuroscientist and women's brain health specialist, Dr Mosconi unravels these mysteries by revealing how menopause doesn't just impact the ovaries - it's a hormonal show in which the brain takes centre stage.

The decline of the hormone estrogen during menopause influences everything from body temperature to mood to mem",
Elmer Hosh,,
Emmanuelle Albert,"Emmanuelle Albert est orthophoniste, elle s’est spécialisée dans la rééducation des troubles neurologiques et des pathologies ORL. Elle intervient dans une Maison d’Accueil Spécialisée Korian qui accueille des personnes cérébrolésées et également dans le service ORL du Pr Justin Michel à l’hôpital de la Conception à Marseille (AP-HM). Elle est en charge de la rééducation des troubles de l’odorat et du gout dans le cadre de l’hôpital de jour dédié à l’anosmie post-Covid.",https://m.media-amazon.com/images/S/amzn-author-media-prod/l2sio39cu1gkfnu7cu8m2qsh71._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Ellie Middleton,"Brilliant deep dive into neurodivergence: provoked many eureka! moments. ― Catherine Gray, author of The Unexpected Joy of Being Sober

I absolutely LOVED Ellie's book - her advice is reassuring, liberating and empowering and will help you be more you ― Emma Reed Turrell, author of Please Yourself

This book will change lives! A cracking read and a must for folks with brains who do things differently ― Heidi Mavir, author of Sunday Times Bestseller, Your Child Is Not Broken

I loved it. I'm so impressed by Ellie's courage and wisdom, this book is comforting and clever, but most of all kind ― Daisy Buchanan, author of Insatiable

As someone who is neurodivergent, I think Ellie Middleton is the perfect voice to represent what is a beautiful but vastly misunderstood way of being. Her work is so important, this book will be a gamechanger. ― Joshua Fletcher, aka @AnxietyJosh

A compassionate and informative account of how to work with your brain and the patchwork nature of diversity. Neurologists listen - you need to use this in your diagnoses ― Camilla Pang, author of the prize-winning Explaining Humans

Ellie's book is like having a heart-to-heart with your BFF who just 'gets' your brain! Packed with personal & relatable stories, practical tips, and still manages to educate at the same time. It's a must-read to make our world more inclusive and understanding for neurodivergent people. ― Vanessa D’Souza, The Autistic Chef

This book will change your life - and the world. An inspiring & validating reminder for neurodivergent people that they are not alone. I can't wait to recommend this to the people I coach. ― Leanne Maskell, author of ADHD: An A-Z

I'm in awe - can't stop reading. So many lightbulb moments and so beautifully written, beautiful gorgeous incredible. ― @FeelGoodClub

Finding out that you're neurodivergent generates as many questions as it answers. Ellie knows this all too well, and takes us on a journey through her deeply relatable story of self-discovery and quest for knowledge, repackaging her intensive research in a digestible, easy-to-use handbook for understanding autism and ADHD. Unmasked is the compassionate, practical and thoughtful guide to neurodivergence we've always deserved. I wish this book had existed when I was growing up as an undiagnosed AuDHDer, and I know that reading Unmasked will give parents, doctors and teachers the knowledge and confidence to finally accommodate and celebrate our differences. Ellie is going to change - and save - lives with this book. ― Milly Evans, author of HONEST",https://m.media-amazon.com/images/S/amzn-author-media-prod/pbvl5s05vpc3jtqbc9v3ho4n38._SY600_.jpg
Paul Kalanithi,"Revue de presse
A vital book about dying. Awe-inspiring and exquisite. Obligatory reading for the living. -- Nigella Lawson

Rattling. Heartbreaking. Beautiful. -- Atul Gawande, author of BEING MORTAL

A great, indelible book ... as intimate and illuminating as Atul Gawande’s “Being Mortal,” to cite only one recent example of a doctor’s book that has had exceptionally wide appeal ... I guarantee that finishing this book and then forgetting about it is simply not an option ... gripping from the start ... None of it is maudlin. Nothing is exaggerated. As he wrote to a friend: “It’s just tragic enough and just imaginable enough.” And just important enough to be unmissable. ― New York Times

Powerful and poignant. ― The Sunday Times

Less a memoir than a reflection on life and purpose… A vital book. ― The Economist

Extraordinary...Remarkable... luminous, revelatory memoir about mortality and what makes being alive meaningful ... Lyrical, intimate, insistent and profound. Kalanithi had the mind of the polymath and the ear of a poet. ― Daily Telegraph

Powerful and poignant… Elegantly written posthumous memoir… Should be compulsory for anyone who intends to be a doctor… A profound reflection on the meaning of life. ― Sunday Times

A stark, fascinating, well-written and heroic memoir. -- Stefanie Marsh ― The Times

Exceptional. -- Katie Law ― Evening Standard

When I came to the end of the last flawless paragraph of When Breath Becomes Air, all I could do was turn to the first page and read the whole thing again. Searingly intelligent, beautifully written, and beyond brave, I haven't been so marked by a book in years. -- Gabriel Weston, author of DIRECT RED

A remarkable book… Kalanithi writes very well, in a plain and matter-of-fact way, without a trace of self-pity, and you are immediately gripped and carried along… [He] was clearly a deeply thoughtful and compassionate man, and his death is a great loss to medicine, but at least he has left this remarkable book behind. ― Observer

A meditation on what makes a life worth living. ― Guardian

It turns out not really to be about dying at all but about life and how to live it ― though the closeness of death gives it an urgency and economy… When Breath Becomes Air is a Renaissance book from a Renaissance man. It is a work of philosophy and morality, a reconciliation of science and religion. There is even plot and excitement… It was only with the restrained, elegant epilogue written by his wife Lucy Kalanithi that I found myself weeping helplessly…When Breath Becomes Air tells us what means to live a good life, by giving us a glimpse into an exceptional one. ― Financial Times

A powerful and compelling read. ― The Economist, Book of the Year

An astonishingly affecting memoir and eloquent examination of what it is to be human and confront your own mortality… This is a remarkable book by a man who was driven by his passion for his life, his loves and his career. His death is undoubtedly a tragedy but in writing this memoir he has guaranteed that his voice and the important story it tells will resonate for years to come. ― Daily Express

As thought-provoking as it was moving. The sheer exuberance of Kalnithi’s intellectual curiosity shone through in his writing. ― Evening Standard, Book of the Year

Dr Kalanithi describes, clearly and simply, and entirely without self-pity, his journey from innocent medical student to professionally detached and all-powerful neurosurgeon to helpless patient, dying from cancer. He learns lessons about the reality of illness and the doctor-patient relationship that most doctors only learn in old age but Paul Kalanithi died at the tragically early age of 37.

Every doctor should read this book - written by a member of our own tribe, it helps us understand and overcome the barriers we all erect between ourselves and our patients as soon as we are out of medical school


To the venerable canon of doctors who could write (from Chekhov to Oliver Sacks and Atul Gawande), another name can be added: that of Paul Kalanithi… Brilliantly written. ― Sunday Telegraph

Paul Kalanithi’s memoir, When Breath Becomes Air… split my head open with its beauty. Truly. Madly. Deeply.

Thanks to When Breath Becomes Air, those of us who never met Paul Kalanithi will both mourn his death and benefit from his life. This one of a handful of books I consider to be a universal donor - I would recommend it to anyone, everyone. -- Ann Patchett, author of BEL CANTO
Quatrième de couverture
At the age of thirty-six, on the verge of completing a decade’s training as a neurosurgeon, Paul Kalanithi was diagnosed with inoperable lung cancer. One day he was a doctor treating the dying, the next he was a patient struggling to live. When Breath Becomes Air chronicles Kalanithi’s transformation from a medical student asking what makes a virtuous and meaningful life into a neurosurgeon working in the core of human identity – the brain – and finally into a patient and a new father. What makes life worth living in the face of death? What do you do when when life is catastrophically interrupted? What does it mean to have a child as your own life fades away? Paul Kalanithi died while working on this profoundly moving book, yet his words live on as a guide to us all. When Breath Becomes Air is a life-affirming reflection on facing our mortality and on the relationship between doctor and patient, from a gifted writer who became both.




En lire plus",
Dr. Linnea Passaler,"Revue de presse
“Heal Your Nervous System is a thoughtful exploration of nervous system dysregulation and its profound impact on health. Dr. Linnea Passaler offers a comprehensive approach, rooted in scientific research. This is a must-read for those seeking a deeper understanding of mind-body medicine.”
  ― Dr. Amy Shah, author of I’m So Effing Hungry

“This well-researched guide explores the critical link between mental and physical health. The 5-stage roadmap, based on cutting-edge neurobiology and sensitivity research, is highly relevant for medical professionals seeking a holistic understanding of mind-body health, and for patients seeking relief from chronic conditions.”
― Sara Gottfried MD, New York Times bestselling author of The Hormone Cure

“Heal Your Nervous System is a sensitive and sensible owner’s manual for your body and brain. Dr. Passaler helps you to better understand and manage your style of dealing with stress in a way that combines both acceptance of who you are and wisdom in getting to where you want to go.”
― David Spiegel, M.D., Willson Professor and Associate Chair of Psychiatry & Behavioral Sciences, Stan

""Dr. Linnea's book is going to tackle one of the very core issues within our modern society that stops us from living a fulfilling life. Her book provides the perfect amount of science to help the reader understand their physiology, whilst also being an enjoyable read. The tools she provides are undoubtedly going to help a lot of people. Everyone needs to know about nervous system regulation and Dr. Linnea has done a fantastic job at laying it down for the world.""
― Nicole Vignola, neuroscientist and author of Rewire

""Assured, bursting with well-researched and effective insights, accessibly written, Heal Your Nervous System is a resource for anyone seeking to learn effective and easy-to-adapt tools towards finding calm, clarity, purpose, connection and, most of all, mind-body integration! I can personally attest that Dr. Linnea is a passionate, masterful ‘cognoscenti’ of the well-regulated nervous system. Whether you’re looking to adapt a less stressful response to life’s demands, uncover a core purpose or forge more soothing connections with loved ones this book will help you embark on a transformative journey. The Chapters on Connection and Expansion were my particular favorites!"" 
  ― Josh Korda, Buddhist Pastor, author of Unsubscribe
Quatrième de couverture
Relieve anxiety, burnout, feelings of overwhelm, and chronic physical symptoms by healing your dysregulated nervous system with this 5-stage roadmap based on the latest science.

Dr. Linnea Passaler has helped thousands globally in her digital health program address a wide range of symptoms associated with nervous system dysregulation―from mental symptoms, including anxiety, burnout, and brain fog, to physical symptoms, such as digestive issues, chronic inflammation, and fatigue. In Heal Your Nervous Sy
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/7l27mssqpgccc2s2ohh8g9t738._SY600_.jpg
Patrick Holford,"Patrick Holford BSc, DipION, FBANT, CHNC pioneers new approaches to health and nutrition. He is the founder of the Institute for Optimum Nutrition in London (Europe's leading training centre for nutritional therapists), is Chief Executive of the Food for the Brain Foundation and the author of over 30 books.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kristine Meldrum,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jrqt4nq1mpn6j43n102v1klir7._SY600_.jpg
Dr. Shin C. Beh,,https://m.media-amazon.com/images/S/amzn-author-media-prod/g55rdn7ife68ghh4vtskcbdqk3._SY600_.jpg
Oliver Sacks,"Oliver Sacks was born in 1933 in London and was educated at Queen's College, Oxford. He completed his medical training at San Francisco's Mount Zion Hospital and at UCLA before moving to New York, where he soon encountered the patients whom he would write about in his book Awakenings.

Dr Sacks spent almost fifty years working as a neurologist and wrote many books, including The Man Who Mistook His Wife for a Hat, Musicophilia, and Hallucinations, about the strange neurological predicaments and conditions of his patients. The New York Times referred to him as 'the poet laureate of medicine', and over the years he received many awards, including honours from the Guggenheim Foundation, the National Science Foundation, the American Academy of Arts and Letters, and the Royal College of Physicians. In 2008, he was appointed Commander of the British Empire. His memoir, On the Move, was published shortly before his death in August 2015.",https://m.media-amazon.com/images/I/31JZ8befJjL._SY600_.jpg
Anne-Marie Bonnet,"Jusqu'à il y a une dizaine d'années, la maladie de Parkinson, décrite pour la première fois en 1817, était essentiellement considérée par les médecins, les chercheurs, les personnes touchées par cette maladie et leurs proches sur le versant des troubles moteurs. Ces troubles s'expriment par une lenteur, une raideur et, dans un tiers des cas, par un tremblement de repos. Pourtant, d'autres symptômes peuvent aussi être présents et compliquer la vie au quotidien. C'est le cas des troubles cognitifs qui sont, dans la plupart des cas, subtils et qui se manifestent principalement sous la forme de ce qu'on appelle les troubles dysexécutifs, c'est le cas aussi des difficultés psychologiques comme l'anxiété, la dépression et les hallucinations qui peuvent se rencontrer sur le parcours de la maladie ou encore des troubles du comportement tels que les ""addictions"" qui peuvent avoir de graves conséquences.
Après le succès de La maladie de Parkinson au jour le jour, consacré à la maladie dans sa globalité, les auteurs ont choisi de se focaliser sur ces troubles encore largement méconnus des médecins non spécialistes, souvent tardivement diagnostiqués et pouvant avoir de sérieuses répercussions sur la gestion de la maladie et la vie avec l'entourage.
Dans l'esprit de la collection des ""guides pratiques de l'aidant"", ce livre a pour objectif de donner des clés au malade mais aussi à ses proches pour :
repérer, comprendre et faire face aux troubles cognitifs ;
gérer les difficultés psychologiques et mieux vivre au jour le jour la maladie ;
limiter les conséquences des troubles comportementaux ;
encourager et faciliter la communication sur ces troubles à l'intérieur et à l'extérieur de la famille ;
se préserver et trouver des aides pratiques pour assumer son rôle ""d'aidant""...",
QCM Factory,,
