Nom,Description,Photo
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Lorelou Desjardins,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jafun731v5mbi0292adghfv4cr._SY600_.jpg
Ingrid Romane,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Julius Loewenstein,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ndqgk2bi52rnta86pevjld742e._SY600_.jpg
Alexandre Mars,"Alexandre Mars a entamé sa carrière d’entrepreneur à l’âge de dix-sept ans. Au cours de ses années de travail acharné pour créer et développer des start-up à succès, il vend deux de ses entreprises à Publicis et BlackBerry.

Cependant, la création d’entreprises technologiques n’a jamais été une fin en soi. Ce succès entrepreneurial lui a permis d’assurer une sécurité financière en vue de nourrir une ambition bien plus grande qu’il porte depuis sa jeunesse : être utile à la société. Il décide alors de mettre à profit ses compétences entrepreneuriales, son réseau, ses connaissances, ses ressources et son influence pour amplifier son impact en vue de contribuer à une
société plus juste et durable.

Pour mener cette mission à bien, il crée d’abord Epic, une fondation mondiale qui contribue à transformer la vie des enfants et des jeunes et protéger notre planète en connectant les organisations à but non lucratif aux entreprises et individus qui ont à cœur de s’engager pour améliorer notre société. En 2019, la Harvard Kennedy School a publié une étude de cas pour souligner le modèle innovant d’Epic en matière d’impact social.

Convaincu que le secteur privé a également un rôle crucial à jouer pour rendre notre société plus juste et durable, Alexandre Mars a fondé blisce/, une société d’investissement responsable certifiée B Corp qui investit différemment en conciliant la performance financière, sociale et environnementale. Parmi ses investissements, on peut notamment citer des entreprises telles que Spotify, Pinterest, Too Good To Go, Headspace et Brut.

Fidèle à son engagement pour la justice sociale, Alexandre a également fondé INFI ITE, une EdTech sociale qui accompagne des étudiants, issus de milieux populaires, dans leur accès aux écoles et universités les plus renommées au monde et dans leurs premiers pas dans le monde du travail, à travers une offre de prêt étudiant. La mission d’INFI ITE est d’encourager la réussite de jeunes talentueux afin de contribuer à la création d’une nouvelle génération de leaders, plus représentative de la richesse de notre société.

La passion d’Alexandre Mars pour le sport et son engagement l’ont également conduit à devenir Ambassadeur et membre du conseil d’administration des Jeux Olympiques et Paralympiques de Paris 2024. Il contribue ainsi à l’immense défi d’assurer l’héritage social de cet événement unique, au-delà de la compétition.

Alexandre Mars est également l'auteur de La Révolution du Partage (Flammarion/Versilio, 2018), de Ose ! Tout le monde peut devenir entrepreneur (Flammarion/Versilio, 2020 & Univers Poche 2021) et de Pause, pour une vie alignée (Fayard, 2024) qui s’inscrit dans le prolongement de son podcast PAUSE.

Depuis 2019, Alexandre Mars reçoit au micro de PAUSE des chefs d’entreprises, des écrivains, des entrepreneurs, des sportifs, et des activistes qui ont accepté de livrer les dessous et les secrets de leur parcours.

Alexandre Mars a été fait chevalier de la Légion d’honneur en 2019 et figure également dans de nombreux classements tels que “Les 50 philanthropes de l’année” (Town & Country) ou “Les 50 Français les plus influents du monde” (Vanity Fair).

Il pratique le krav-maga et la course à pied, et a notamment couru les marathons de Paris et de New-York. Marié et père de 4 enfants, Alexandre Mars aime parcourir le monde en famille.

Pour en savoir plus sur les engagements et les activités d'Alexandre Mars, rendez-vous sur www.alexandremars.com",https://m.media-amazon.com/images/S/amzn-author-media-prod/do02rdsggf77fct59dnnq2efrp._SY600_.jpg
Lucile Quillet,"Lucile Quillet est journaliste, conférencière et coach certifiée, experte de la vie professionnelle des femmes et de leur émancipation économique. Elle est également l'autrice de l'essai Le prix à payer, ce que le couple hétéro coûte aux femmes, paru chez Les Liens qui Libèrent.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Russell Brunson,"Russell Brunson a créé sa première entreprise en ligne alors qu'il était encore à l'université. Un an après avoir obtenu son diplôme, il avait gagné plus d'un million de dollars ! Au cours des quinze dernières années, il a écrit plusieurs best-sellers et popularisé le concept des tunnels de vente. Il a également cofondé la société de logiciels ClickFunnels, qui aide les entrepreneurs à diffuser rapidement leur message sur le marché.",https://m.media-amazon.com/images/I/619mdlo5IpL._SY600_.jpg
John R. Torrance,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nolwenn Chauvière,,
Clément Bergon,"Clément Bergon est conférencier, coach et formateur, spécialisé en management, communication et performance professionnelle. Il accompagne les managers et les dirigeants désireux de remettre l'humain, le plaisir et l'envie au cœur de leur pratique managériale, pour recréer le lien entre sens et performance. Il est également enseignant en école de commerce, formateur et superviseur de coachs et le créateur de la chaîne YouTube "" La Brève du Manager "" qui compte à ce jour plus d'un million de vues.

Jérôme Hoarau est auteur, conférencier et coach. Il intervient en entreprise à travers des conférences et des ateliers sur les compétences du futur et l'avenir du travail. Il coorganise le championnat du monde de mind mapping et de lecture rapide et à remporté le titre de champion du monde de mind mapping en 2018.",
Stephen M. R. Covey,"Diplômé de Harvard et Président du Covey Leadership Center, Stephen R. Covey a été conseiller du Président Clinton. Son livre Les Sept habitudes de ceux qui réussissent tout ce qu'ils entreprennent a été traduit en 38 langues et vendu à plus de 15 millions d'exemplaires dans le monde entier.",https://m.media-amazon.com/images/S/amzn-author-media-prod/9iqlgcf8ilc0c2jl0t80p9gk9n._SY600_.jpg
Matthieu Corthésy,"Matthieu Corthésy est expert en réseaux sociaux et stratégies digitales. Il enseigne dans plusieurs écoles et a accompagné des dizaines d'entreprises dans leur intégration de l'IA. Aujourd'hui premier formateur à ChatGPT, il est suivi par 200 000 personnes sur LinkedIn, Instagram et TikTok : @outil.ia",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
,,
Henri Pidault,,
Alexandre Des Isnards,"Alexandre des Isnards est l'auteur, avec Thomas Zuber, des best- sellers L'open space m'a tuer (Hachette, 2008) et Facebook m'a tuer (NiL, 2011).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Rhonda Byrne,"Rhonda Byrne est l'instigatrice et la réalisatrice du film ""Le Secret"" qui a conquis le monde en 2006, transformant des millions de vies et déclenchant un mouvement mondial. Plus tard cette même année, le livre Le Secret a vu le jour. Traduit en plus de 50 langues, il demeure l'un des ouvrages ayant le plus longtemps figuré sur la liste des best-sellers depuis le début du siècle.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frédéric Laloux,"Ancien partenaire associé chez McKinsey, Frédéric Laloux s'est distingué par ses recherches sur les modèles organisationnels émergents qui ont été décrites comme "" un saut dans la pensée du management "" par certains des spécialistes les plus réputés. Il accompagne de nombreux dirigeants sur le chemin de la transformation radicale de leur organisation.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Career Kueen,Career Kueen est coach en carrière. Elle dirige depuis 16 ans une entreprise de consulting en développement professionnel et a aidé plus de 12 000 personnes du monde entier à naviguer lors de moments professionnels essentiels et à trouver les jobs de leurs rêves pour s’y réaliser.,
Carol Gilligan,"Psychologue, philosophe, spécialiste des relations sociales et pionnière de l'éthique du care, Carol Gilligan a enseigné à Harvard, Cambridge et New York. Elle est l'auteure d'un best-seller mondial : Une voix différente (Champs Flammarion, 2019), ainsi que de deux autres ouvrages traduits en français : Contre l'indifférence des privilégiés. À quoi sert le care (Payot, 2013, avec Joan Tronto et Arlie Hochschild) et Pourquoi le patriarcat ? (Flammarion, 2019, avec Naomi Snider).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Sabine Bataille,"Hérault Tribune - « L’auteure a développé une démarche sur laquelle vous appuyer pour agir en fonction de votre situation personnelle […] Ce guide salué par les professionnels et faisant référence, intéressera aussi toute personne devant agir à titre professionnel. »

Mieux pour moi – « Vous sortez d'un burn-out ? et si c'était l'occasion de redonner un sens à votre vie ? … 9 étapes pour rien rebondir, mieux appréhender la reprise du travail et dépasser l'angoisse de la rechute. »

lettreducadre.fr - ""À travers cet ouvrage, (Sabine Bataille) aide à comprendre la nature du burn-out et propose une boussole pour retrouver le chemin du travail.""",https://m.media-amazon.com/images/S/amzn-author-media-prod/e14i786f5a8o4drvj1c0tami20._SY600_.jpg
Anne-Laure Smaguine,"Anne-Laure Smaguine est diplômée d’un master en ressources humaines et communication sociale du CELSA. Elle a été responsable RH au sein du groupe STELLANTIS puis directrice du pôle formation/conseil juridique de l’ORSEU.
Elle est aujourd’hui consultante experte en stratégie et performance sociale au sein du cabinet BPI group - LHH.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Astrid Le Fur,"Astrid Le Fur, ingénieure de formation, accompagne les managers et les dirigeants à développer les talents de leurs collaborateurs et à créer une synergie entre eux de façon à déployer tout le potentiel de leurs équipes. Elle a lancé en 2019 le blog Partage ton burn-out, suivi par 184.000 personnes : elle intervient également sur le sujet de la prévention et de l’accompagnement de l’épuisement professionnel auprès des managers/RH/CSE, ainsi que des salariés en souffrance.",https://m.media-amazon.com/images/S/amzn-author-media-prod/slrjh04inmju7sjp7u6ppcv9s8._SY600_.jpg
Sciences Po,,
La Documentation française,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Sylvain Boutet,"Sylvain Boutet est consultant, formateur, facilitateur, auteur de serious games, praticien en appreciative inquiry et cofondateur de l’Académie Spinoza. Il accompagne depuis plus de vingt ans la transformation des entreprises.

Saphia Larabi est formatrice en entreprise positive, praticienne certifiée en psychologie positive et en approche neurocognitive et comportementale. Elle dirige les études de l’Observatoire Spinoza. Elle a participé à l'ouvrage Psychologie positive. Etat des savoirs, champs d'applications et perspectives, paru chez Dunod en 2019.

Amélie Motte accompagne les transformations culturelles et spatiales des entreprises, en mettant l’humain au coeur des dispositifs. Elle est également cofondatrice de l’Académie Spinoza et formatrice en intelligence émotionnelle à Sciences Po Executive Education.",
Thierry Pick,"Thierry Pick, ex-cancre, est devenu artisan nettoyeur en 1980. Son entreprise Clinitex compte aujourd'hui presque 4 000 salariés. Entre-temps, il s'est marié, a eu quatre enfants, sept petits-enfants et de multiples casquettes : apiculteur, motard dakariste, sonneur de cornemuse écossaise, conférencier, expert de l'Association progrès du management... Retraité depuis peu, il parcourt le monde pour raconter son histoire.",
Christine Loyrion,"Christine Loyrion est psychologue, formée à l’analyse transactionnelle et à la psychothérapie intégrative. Elle dirige des groupes d’analyse de la pratique professionnelle depuis 20 ans. Elle est aussi thérapeute et formatrice pour les travailleurs sociaux et praticiens de la psychothérapie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Matthias Brandt,,https://m.media-amazon.com/images/S/amzn-author-media-prod/7dmkvl1m9tt4ipei2gttvoip9f._SY600_.jpg
Patrick Tesson,"La presque banale expérience éducative d’une équipe au travail en lieu de vie et d’accueil est une véritable aventure ! Patrick Tesson transmet les savoir-faire et savoir-être accumulés tout au long de sa carrière auprès d’enfants et d’adolescents placés à l’Aide sociale à l’enfance.
S’inscrivant dans une dynamique militante, l’ambition de l’auteur est de convaincre du potentiel si mal exploité des lieux de vie et d’accueil (ldva) qui sont une alternative éducative à l’inadéquation des modes d’accueil de l’ase pour les 55 000 enfants et jeunes majeurs en grande souffrance placés en établissement. En 40 chapitres, composés chacun d’un témoignage sur un aspect de la vie quotidienne, d’un dessin humoristique et d’une fiche pratique, l’ouvrage montre que malgré les difficultés rencontrées – et parfois à cause d’elles – jeunes et éducateurs construisent le « vivre ensemble » si particulier d’un lieu de vie et d’accueil.
Une documentation précise, mise à jour et complétée – avec fichiers à télécharger –, donne toutes les clés (administratives, juridiques, financières, organisationnelles…) pour faciliter la création d’un tel lieu. Cette nouvelle édition s’est enrichie d'une Foire aux questions qui apporte des réponses concrètes aux interrogations que l’auteur a reçu via son groupe Facebook « Le lieu de vie et d’accueil, une relation éducative, pourquoi pas moi ? »",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ingrid Bernard,"Ingrid Bernard est éducatrice spécialisée, et intervient dans les établissements médico-sociaux depuis 2011. En 2016 elle obtient un Diplôme Universitaire de la Relation d'Aide par la Médiation Animale. Elle est également co-fondatrice de l'association de médiation animale Anim'Allié(e)s depuis une dizaine d'années en Haute-Savoie, qui a pour but de promouvoir la médiation par l'animal et de permettre aux personnes en situation de handicaps vivant en institution d'être au contact d'animaux domestiques.",
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Barbara Delbrouck,"Barbara Delbrouck est une journaliste spécialisée dans la vulgarisation santé vers le grand public. Depuis plus de 10 ans, elle collabore avec des médecins et des graphistes pour aborder des sujets complexes de manière accessible mais rigoureuse.

Michel Delbrouck est médecin, psychothérapeute et formateur, très actif dans le domaine de la formation et de l'aide aux professionnels de la santé en difficulté. Il est notamment past-président de la société Balint (Belgique) qui s'occupe de la relation « médecin-malade », « soignant-soigné » en proposant à de nombreux soignants une réflexion approfondie sur la qualité de leurs relations avec leurs patients par le biais de séminaires, de formations, de groupes de travail en Belgique et en France. Il collabore avec la Suisse et le Canada. Michel Delbrouck est aussi directeur de l'Institut de Formation et de Thérapie pour soignants. www.ifts.be",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jonathan Moncassin,"Comment un enfant peut-il se construire au milieu des violences physiques et psychiques, et à quelles bouées de secours peut-il s'accrocher ? Dans ce récit, Jonathan Moncassin raconte son passé d'enfant battu, mal aimé, dont le seul réconfort auprès de sa fratrie sera rompu par un placement. Mais il s'avérera salvateur, auprès d'éducatrices et éducateurs qui le respecteront, lui donnant confiance en lui, en lui transmettant le goût de l'effort et de la beauté du monde.
Devenu éducateur spécialisé, Jonathan Moncassin explique la réussite de son parcours par les rencontres qui ont éclairé son chemin, et les mains tendues qu'il a su saisir. Il réhabilite aussi le travail social, dont les imperfections sont souvent pointées mais qui constitue pourtant cette bouée à laquelle s'agripper quand sa propre famille est défaillante.
Ce témoignage intéressera tous ceux qui sont friands de récits de vie, les personnes interpellées par les violences intrafamiliales et leurs conséquences sur l'enfance, ainsi que tous les professionnels qui travaillent sur ce sujet.
Préface d’Éric Carrière
Postface de Patrick Audina",
