Nom,Description,Photo
Ttung Gae,,
945,,
DJUN,,
Yuo Yodogawa,,
Inui Nikuya,,
Ayano Yamane,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
945,,
Kotetsuko YAMAMOTO,,
Ayano Yamane,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Michel Jack,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yodaka KUROI,,
Teoh Akihisa,,
Ker,,
Same Zarame,,
White Eared,,
Rihara,,
Teoh Akihisa,,
945,,
Tsuta SUZUKI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ttung Gae,,
Mika,Deux lycéens qui vont découvrir leur homosexualité dans un manga plein d'humour et de bienveillance.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gengoro Tagame,"Devenu célèbre auprès du grand public avec le succès international Le Mari de mon frère (2014), Gengoroh Tagame, né en 1964, compte parmi les pionniers du manga gay. Il est l'un des rares artistes japonais à représenter le sexe homosexuel de manière aussi crue, avec des rapports souvent sadomasochistes dont la pornographie reprend, en les détournant, les codes du hentai. "" Le travail de Tom of Finland ressemble à du Disney à côté de ses illustrations "", écrit le magazine d'art 032c à son propos. House of Brutes, série en trois volumes totalement inédite en France, est l'une de ses œuvres les plus plébiscitées dans le monde.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ichika YUNO,,
Atami MICHINOKU,,
Ayumu Nagisa,,
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Adumi Nagano,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shikimi Bibi,,
Fargo,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gengoro Tagame,"Devenu célèbre auprès du grand public avec le succès international Le Mari de mon frère (2014), Gengoroh Tagame, né en 1964, compte parmi les pionniers du manga gay. Il est l'un des rares artistes japonais à représenter le sexe homosexuel de manière aussi crue, avec des rapports souvent sadomasochistes dont la pornographie reprend, en les détournant, les codes du hentai. "" Le travail de Tom of Finland ressemble à du Disney à côté de ses illustrations "", écrit le magazine d'art 032c à son propos. House of Brutes, totalement inédit en France, est l'une de ses œuvres les plus plébiscitées dans le monde.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ker,,
Teoh Akihisa,,
Shungiku Nakamura,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
Gengoro Tagame,"Devenu célèbre auprès du grand public avec le succès international Le Mari de mon frère (2014), Gengoroh Tagame, né en 1964, compte parmi les pionniers du manga gay. Il est l'un des rares artistes japonais à représenter la sexualité homosexuelle de manière aussi crue, avec des relations souvent sadomasochistes. "" Le travail de Tom of Finland ressemble à du Disney à côté de ses illustrations "", écrit le magazine d'art 032c à son propos.

House of Brutes, jusqu'alors totalement inédit en France, est l'une de ses œuvres les plus plébiscitées dans le monde.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aki Kumase,,
GODSSTATION,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nmura,,
Yoshio Akira,,
Kaoru Iwamoto,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bboong Bbang KKYU,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuu Toyota,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
YAGOH,,
KOOGI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yan,,
Mayo Tsurukame,,
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Adashi Fati,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5trtdrfk138n61dpnl4n765346._SY600_.jpg
Yuitsu,,
ICHIKA YUNO,,
DJUN,,
Shou Harusono,,https://m.media-amazon.com/images/S/amzn-author-media-prod/infud0in1msnm1c7gp1r3ct63l._SY600_.jpg
SI MITSURU,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
KOOGI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Natsuki KIZU,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Morry Kuroi,,
Eiji NAGISA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
RENJI RANGE,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Saori Nobana,,
Shou Harusono,,
Yuitsu,,
Licca Arata,,
