Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"Les morts ont la parole: Philippe Boxho, médecin légiste, fait parler les cadavres. Âmes sensibles s abstenir !",19.9,"Médecin légiste, Philippe Boxho nous fait découvrir son quotidien fait de morts qui ne le sont pas toujours ou pas encore, de disparition de cadavres, de dissimulation de meurtres, de suicides étonnants. Les histoires qu'il raconte sont issues de la réalité, rien n'est inventé, il n'y a d'ailleurs pas besoin d'inventer, la réalité se suffit à elle seule tant l'imagination humaine est libérée quand il s'agit de mourir, de tuer, de se suicider, de faire disparaître un corps. Après un décryptage des séries américaines CSI, « les experts », en plus de 30 histoires, il raconte son métier, sa passion. Il nous raconte l'évolution des corps après la mort à travers des histoires de momies et de mouches, puis il s'arrête sur cet homme qui pensait mourir d'un seul coup de feu et qui restait encore vivant après le trentième, sur cet autre qui, en voulant se pendre, est décédé d'une fracture du crâne, ce meurtrier qui n'aurait jamais dû consommer d'alcool, cette morte qui transpirait. Vous ne verrez plus jamais un cochon ni un insert de cheminée de la même manière. Ce livre nous invite à rire de la mort avant qu'elle ne nous sourie.",978-2380756975,https://m.media-amazon.com/images/I/71dJR1EbDYL._SY522_.jpg,Kennes les 3 As (1 juin 2022),Philippe Boxho
Entretien avec un cadavre: Un médecin légiste fait parler les morts,19.9,"« Ce que j’affectionne par-dessus tout, c’est d’aller à la découverte des traces et des indices, de tous ces éléments qui permettent de donner une dernière fois la parole aux morts et de les écouter dans ce qu’ils ont à dire. » C’est par ces mots que le docteur Philippe Boxho, médecin légiste depuis plus de trente ans, introduit son nouvel ouvrage, dans lequel, une fois encore, assassinats et meurtres se succèdent sans relâche.

Au premier plan pour les observer, le célèbre médecin légiste a choisi de nous raconter quelques-unes des histoires qui ont marqué sa carrière : ce suicide à l’arme à feu qui cachait bien son jeu, cet enfant que les parents avaient négligé et qui en est mort, ces gens victimes d’une explosion et de l’effondrement de leur immeuble, cette femme étouffée par son mari, ces hommes trépassés à l’étranger d’avoir cru qu’ils étaient aimés, et bien d’autres encore.

Philippe Boxho nous a régalé avec un premier livre à succès intitulé",978-2380759051,https://m.media-amazon.com/images/I/81k5mpBl+rL._SY522_.jpg,Kennes les 3 As (14 juin 2023),Philippe Boxho
La fabrication du désastre - Qui ? Pourquoi ? Comment ?,15.81,"Dans son précédent livre Autopsie d’un désastre, Jean-Dominique Michel a réalisé le bilan de la gestion catastrophique du Covid-19, une épidémie relativement bénigne qui aurait été aisément gérable si l’on avait suivi la science et les bonnes pratiques en la matière. Or nos gouvernements ont systématiquement fait l’inverse de ce que l’on savait devoir faire, en imposant des mesures inutiles, liberticides et destructrices – et en terrorisant littéralement les populations. Attribuer cette dérive à des maladresses ou à des erreurs involontaires est insuffisant : nous avons aujourd’hui la preuve qu’il s’est agi en réalité d’une opération prévue et planifiée de longue date, et qui a été soigneusement mise en œuvre.",978-2874342233,https://m.media-amazon.com/images/I/61-M1kOWDFL._SY522_.jpg,M PIETTEUR (15 mai 2024),Jean-Dominique Michel
La mort n'existe pas: L'enquête best-seller de 2024 sur l'après-vie pour gagner en sérénité face à la mort,21.9,"Le best-seller sur l’après-vie

15 ans d’enquête sur l’après-vie pour gagner en sérénité face à la mort

Que se passe-t-il lorsque nous mourrons ? Que devient notre conscience ? Survit-elle à la mort cérébrale ? Ces questions vertigineuses se sont imposées à Stéphane Allix au moment du décès de son frère. Il a dès lors mobilisé toutes ses compétences et son instinct de journaliste pour tenter d’élucider le mystère de la conscience.
Les recherches en médecine ou en neurosciences, ainsi que les innombrables phénomènes inexpliqués autour de la mort (expériences de mort imminente, perceptions extrasensorielles, etc.), suggèrent que notre conscience possède une dimension spirituelle. Est-ce ce que les mystiques appellent",979-1033912569,https://m.media-amazon.com/images/I/71yjx0byRwL._SY522_.jpg,HarperCollins (4 octobre 2023),Stéphane Allix
La frénésie du bonheur: Du bonheur différé au bonheur immédiat,15.26,"« En quelques décennies, alors qu'une autre religion gagnait les quartiers, nous avons vécu en France la déconstruction, puis l'effondrement des deux grandes religions de salut céleste (catholicisme) et terrestre (communisme). En 1950, plus de 90 % des Français étaient baptisés, ils ne sont plus que 30 % ! 45 000 prêtres diocésains prêchaient dans nos églises, ils ne sont plus que 4 500, tandis que l'électorat communiste passait de 25 % à 2,5 % ! Conséquence : s'il n'y a plus d'après, plus de seconde vie après la mort ou la Révolution, c'est ici et maintenant qu'il s'agit d'être heureux, en quoi nous vivons le passage de l'acceptation d'un bonheur différé à l'exigence du bonheur immédiat. À l'encontre de la leçon du conte, le premier petit cochon l'emporte désormais sur le troisième. Ce livre analyse les causes (non pas Mai 68, comme on le croit souvent, mais le capitalisme d'innovation, d'hyperconsommation et de rupture avec les traditions), puis les conséquences d'une profondeur abyssale de cette véritable faille dans la civilisation qui touche tous les domaines de nos existences, du rapport au travail (si je n'ai qu'une seule vie, alors on ne touche pas à ma retraite !) à la naissance des métavers, qui prétendent nous offrir une ""seconde vie plus réussie"", en passant par l'explosion de la psychologie positive et des théories du développement personnel, qui nous promettent le bonheur ici et maintenant. »   L.F.",979-1032926871,https://m.media-amazon.com/images/I/41NOgWOiADL._SY522_.jpg,L'OBSERVATOIRE (4 octobre 2023),Luc Ferry
Mes guerres: Confidences d'une grand reporter,23.0,"Voilà une femme que l'on a regardée derrière nos écrans de télévision en nous disant : elle a du cran. Son visage, sa voix si familière, ses reportages en zone de guerre (Afghanistan, Golfe, Tchétchénie, Rwanda...), son style bien à elle ont marqué nos esprits. Aujourd'hui, elle lève le voile pour nous faire découvrir les coulisses d'un monde aussi passionnant qu'impitoyable dans lequel elle a su se frayer un chemin. L'amour du métier de grand reporter chevillé au corps, elle a dû endurer la misogynie et les stéréotypes dont on l'affublait, mais elle a tenu bon au nom d'un idéal : porter la parole des femmes et des hommes victimes de l'horreur de la guerre. Ce récit n'élude pas non plus ses guerres intimes : endométriose, cancer, harcèlement. Celle qui n'a jamais pu être mère a aussi soulevé des montagnes pour construire, il y a vingt ans, un hôpital pour enfants à Kaboul, dans un Afghanistan occupé par les talibans. Il est toujours debout. C'est ce parcours d'aventurière moderne que res-titue pour nous Marine Jacquemin. Ce livre est à la fois un témoignage humain bouleversant et l'introspection d'une femme dans un monde d'hommes, décidée à s'accomplir en tant que journaliste, amie, amoureuse...",979-1032930267,https://m.media-amazon.com/images/I/51Xlf1zFFpL._SY522_.jpg,L'OBSERVATOIRE; Illustrated édition (17 avril 2024),Marine Jacquemin
L'Occident déboussolé,21.0,"Racisme, colonisation, esclavage : l'Occident, névrosé, s'accuse encore et toujours de tous les maux. C'est oublier que tous les peuples ont été tantôt conquérants, tantôt conquis et que l'esclavage a été pratiqué par toutes les civilisations. Et si cette éternelle autoflagellation, prétendument désin-téressée, était en fait une façon paternaliste de rester au centre de l'attention ? Hier, l'Occident se présentait comme le bienfaiteur de l'humanité. Aujourd'hui, il prend la pose du grand méchant universel. Du colonialisme à la repentance, du héros au bourreau, la démarche reste cependant la même : nier l'histoire propre des autres civilisations et faire de l'homme blanc l'unique acteur digne d'être sur la scène.   Pour éviter notre suicide, nous devons en rabattre sur notre égocentrisme et notre haine de nous-mêmes, pour accepter l'idée de n'être ni meilleurs ni pires que les autres.",979-1032929810,https://m.media-amazon.com/images/I/31TH1iZElFL.jpg,L'OBSERVATOIRE (13 mars 2024),Jean-Loup Bonnamy
Autopsie d'un désastre - Mensonges et corruption autour du Covid,16.66,"Qui aurait pu imaginer à l’automne 2019 les années de folie que nous allions vivre ? Si les autorités de santé redoutent depuis des décennies l’apparition d’une nouvelle pandémie, les données ont été rassurantes dès la mi-mars 2020, montrant que le Covid-19 était de l’ordre de gravité d’une grippe un peu forte. Les plans pandémie à disposition devaient nous permettre de passer l’écueil sans difficulté. Or au lieu d’appliquer les connaissances et les bonnes pratiques en santé publique, nos gouvernements ont délibérément fait paniquer la population en déformant les chiffres, en interdisant aux médecins de soigner leurs patients et en imposant des mesures, liberticides et brutales, connues de longue date pour être inutiles.",978-2874342097,https://m.media-amazon.com/images/I/61CCf5cph+L._SY522_.jpg,M PIETTEUR (4 décembre 2023),Jean-Dominique Michel
Au coin du fjord: Les aventures d'une Française en Norvège,12.55,"Tout commence lorsque Lorelou, franco-québécoise, s’installe à Oslo après y avoir décroché un emploi. Ce livre pétillant et drôle raconte les facétieuses aventures de Lorelou durant sa première année en Norvège. Depuis des voyages dans le grand Nord qui la mèneront aux Lofoten et sous les aurores boréales des Samis, des aventures et mésaventures amoureuses cocasses et tendres, en passant par l’apprentissage du monde du travail norvégien et de la langue, Lorelou est déterminée à s’intégrer.

Déjà vendu à plus de 7000 exemplaires, disponible en 3 langues et best-seller en Norvège, ce récit aussi désopilant que perspicace nous amène à découvrir avec délice la Norvège encore méconnue.

Lorelou Desjardins vit en Norvège depuis 13 ans. Elle est juriste, écrivaine et journaliste. Ses textes paraissent dans la presse norvégienne ainsi que les radios et télés nationales. Elle donne des cours en entreprise pour aider les étrangers à mieux comprendre la Norvège.",978-8269285413,https://m.media-amazon.com/images/I/61Tz3nyR8JL._SY522_.jpg,North Press (19 mars 2023),Lorelou Desjardins
The Culture Map,14.0,"An international business expert helps you understand and navigate cultural differences in this insightful and practical guide, perfect for both your work and personal life.

Americans precede anything negative with three nice comments; French, Dutch, Israelis, and Germans get straight to the point; Latin Americans and Asians are steeped in hierarchy; Scandinavians think the best boss is just one of the crowd. It's no surprise that when they try and talk to each other, chaos breaks out.

In The Culture Map, INSEAD professor Erin Meyer is your guide through this subtle, sometimes treacherous terrain in which people from starkly different backgrounds are expected to work harmoniously together. She provides a field-tested model for decoding how cultural differences impact international business, and combines a smart analytical framework with practical, actionable advice.",978-1610392761,https://m.media-amazon.com/images/I/71ReFbLwF1L._SY522_.jpg,PublicAffairs; 1er édition (5 janvier 2016),Erin Meyer
