Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Le Genre expliqué à celles et ceux qui sont perdu·es,21.0,"Nous vivons une période pleine de bouleversements. Si vous ouvrez ce livre, c'est que vous voulez comprendre. Comprendre ce que veulent dire des mots comme ""non-binarité"", ""pansexualité"", ""transparentalité"", ""cisgenre"", ""fluide"", ""demisexuel"", ""LGBTQ+""... Comprendre pourquoi votre fils refuse que vous offriez des jouets roses à votre petite-fille. Comprendre pourquoi votre voisine affiche un drapeau arc-en-ciel à son balcon. Bref, comprendre le genre et les sujets qui tournent autour. Pour vous aider à vous y retrouver, ce livre-guide donne, avec clarté et pédagogie, des clés pour répondre à vos questionnements. Définitions, polémiques, comptes à suivre, livres, séries, films, documentaires de référence, glossaire des mots incontournables... : vous aurez enfin les outils pour ne plus être perdu-es !",978-2283035627,https://m.media-amazon.com/images/I/51PgbMKyLjL._SY522_.jpg,BUCHET CHASTEL; Illustrated édition (14 octobre 2021),Marie Zafimehy
Le Genre expliqué à celles et ceux qui sont perdu·es,21.0,"Nous vivons une période pleine de bouleversements. Si vous ouvrez ce livre, c'est que vous voulez comprendre. Comprendre ce que veulent dire des mots comme ""non-binarité"", ""pansexualité"", ""transparentalité"", ""cisgenre"", ""fluide"", ""demisexuel"", ""LGBTQ+""... Comprendre pourquoi votre fils refuse que vous offriez des jouets roses à votre petite-fille. Comprendre pourquoi votre voisine affiche un drapeau arc-en-ciel à son balcon. Bref, comprendre le genre et les sujets qui tournent autour. Pour vous aider à vous y retrouver, ce livre-guide donne, avec clarté et pédagogie, des clés pour répondre à vos questionnements. Définitions, polémiques, comptes à suivre, livres, séries, films, documentaires de référence, glossaire des mots incontournables... : vous aurez enfin les outils pour ne plus être perdu-es !",978-2283035627,https://m.media-amazon.com/images/I/51PgbMKyLjL._SY522_.jpg,BUCHET CHASTEL; Illustrated édition (14 octobre 2021),Marie Zafimehy
"Corps, amour, sexualité : les 120 questions que vos enfants vont vous poser Nouvelle édition...: Le premier guide d'éducation à la sexualité positive pour toutes les familles",5.33,"Beaucoup de parents appréhendent le moment où leur enfant posera des questions sur le corps, l'amour et la sexualité.
Quels mots utiliser ? Comment ne pas trop en dire ? Comment faire pour préserver à la fois mon intimité et celle de l'enfant ? Comment protéger mon enfant ?
Rassurez-vous : vous n'êtes plus seul.e.s devant ces peurs ! Pas à pas, vous allez être guidé.e.s pour démarrer la conversation avec votre enfant et créer un espace d'échange bienveillant, dans lequel la parole se libère.
Ce livre répond aux 120 questions les plus fréquemment posées par les enfants, sans tabou, avec pédagogie, humour et sérieux ! Les réponses, inclusives et adaptées à la maturité de votre enfant, vous permettront de l'accompagner au mieux dans son développement, afin de l'aider à",978-2226478450,https://m.media-amazon.com/images/I/71XbMtJEj+L._SY522_.jpg,Albin Michel; Illustrated - Enlarged édition (5 octobre 2022),Charline VERMONT
"La mort en face: Dr. Philippe Boxho, le médecin légiste qui fait parler les morts.",19.9,"« Ce qui a motivé mon choix pour la médecine légale ? Le hasard. J’avais 18 ans, l’âge où tout est possible et la prêtrise me tentait beaucoup, j’adorais étudier l’évangile, rencontrer les gens, aider ceux qui en avaient besoin, et je me sentais prêt. (...) Au terme de la première année de médecine, j’ai revu l’évêque de Liège et lui ai confié que j’avais abandonné l’idée de la prêtrise. Il n’était guère surpris car, selon son avis, je n’avais pas vraiment la foi mais une soif intellectuelle qui ne lui correspondait guère. Mgr van Zuylen était quelqu’un de très intelligent, il était aussi hyper prudent. »

Médecin légiste et professeur en criminologie depuis plus de trente ans, le Dr. Philippe Boxho, est l’auteur de deux livres qui ont permis à un très large public de découvrir la réalité du monde fascinant de la médecine légale. C’est aussi un regard acéré sur notre société qui incite à la réflexion.

Il nous revient avec un troisième ouvrage, dans lequel il n’hésite plus à se livrer, tout en nous contant des histoires vécues plus incroyables que jamais.
Du mystère entourant la mort de Napoléon, à cette fermière noyée par son mari dans une cuve à lait en passant par les dangers du haschich assassin ou de l’alcool, il nous plonge plus profondément que jamais dans les coulisses des enquêtes sur les morts accidentelles, des suicides et meurtres, des plus célèbres aux plus confidentielles.",978-2380759785,https://m.media-amazon.com/images/I/81XpC2+esxL._SY522_.jpg,Kennes les 3 As (21 août 2024),Philippe Boxho
La fabrication du désastre - Qui ? Pourquoi ? Comment ?,29.9,"Dans son précédent livre Autopsie d’un désastre, Jean-Dominique Michel a réalisé le bilan de la gestion catastrophique du Covid-19, une épidémie relativement bénigne qui aurait été aisément gérable si l’on avait suivi la science et les bonnes pratiques en la matière. Or nos gouvernements ont systématiquement fait l’inverse de ce que l’on savait devoir faire, en imposant des mesures inutiles, liberticides et destructrices – et en terrorisant littéralement les populations. Attribuer cette dérive à des maladresses ou à des erreurs involontaires est insuffisant : nous avons aujourd’hui la preuve qu’il s’est agi en réalité d’une opération prévue et planifiée de longue date, et qui a été soigneusement mise en œuvre.",978-2874342233,https://m.media-amazon.com/images/I/61-M1kOWDFL._SY522_.jpg,M PIETTEUR (15 mai 2024),Jean-Dominique Michel
Au coeur de l'Islam de France: Trois ans d'infiltration dans 70 mosquées,19.9,"Durant trois ans, Étienne Delarcher a infiltré 70 mosquées françaises pour « voir et entendre ce que pourrait percevoir un musulman lambda ». Se faisant passer pour un jeune converti, il a assisté aux prières, écouté les prêches des recteurs ou imams, puis les a questionnés sur les droits des femmes : quid de l'inégale répartition de l'héritage, du témoignage de la femme qui vaudrait la moitié de celui de l'homme, de la domination masculine et de la violence dans le couple, de la place du mahram (tuteur) ? Il a interrogé tous ces religieux sur leur rapport aux textes sacrés, notamment le Coran, perçu comme une création divine pure, sur les hududs ou châtiments les plus cruels prescrits par la charia...Quelle distance les responsables de ces lieux de culte ont-ils vis-à-vis des textes ? Comment les interprètent-ils ? Quelle vision ont-ils de la société française ? Défendent-ils des régimes théocratiques ? Que pensent-ils de la laïcité ? Quel est le poids des discours modérés et sont-ils minoritaires ?",978-2268110554,https://m.media-amazon.com/images/I/61sYdu60KoL._SY522_.jpg,Editions du Rocher (29 mai 2024),Etienne Delarcher
A nos désirs: Dans l'intimité des lesbiennes,19.0,,978-2487162037,https://m.media-amazon.com/images/I/61q0zd9HdSL._SY522_.jpg,La Déferlante (31 mai 2024),Elodie Font
Autopsie d'un désastre - Mensonges et corruption autour du Covid,8.97,"Qui aurait pu imaginer à l’automne 2019 les années de folie que nous allions vivre ? Si les autorités de santé redoutent depuis des décennies l’apparition d’une nouvelle pandémie, les données ont été rassurantes dès la mi-mars 2020, montrant que le Covid-19 était de l’ordre de gravité d’une grippe un peu forte. Les plans pandémie à disposition devaient nous permettre de passer l’écueil sans difficulté. Or au lieu d’appliquer les connaissances et les bonnes pratiques en santé publique, nos gouvernements ont délibérément fait paniquer la population en déformant les chiffres, en interdisant aux médecins de soigner leurs patients et en imposant des mesures, liberticides et brutales, connues de longue date pour être inutiles.",978-2874342097,https://m.media-amazon.com/images/I/61CCf5cph+L._SY522_.jpg,M PIETTEUR (4 décembre 2023),Jean-Dominique Michel
L'insolence des miracles,21.9,"Le meilleur moyen d'explorer ce qui nous dépasse n'est-il pas de réconcilier l'esprit critique et la faculté d'émerveillement ? Regarder le miracle en face, c'est réfléchir sur soi. C'est remettre en question nos limites. Et si nous étions tous capables d'accomplir des prodiges ?

Rien n'est plus insolent qu'un miracle. Il se rit des lois communes, défie les autorités religieuses, provoque les sceptiques... Quand Émile Zola, voulant démystifier le sanctuaire de Lourdes, choisit sur place deux tuberculeuses mourantes pour en faire les personnages de son roman et assiste, ébahi, à leur guérison instantanée, quand le bouillonnant Padre Pio, suspendu par le Vatican pour imposture mystique, donne la vue à une enfant née sans pupilles, quand une héroïne de la Résistance porte secours à un navire bombardé alors même que la Gestapo la torture dans une prison parisienne, quand une hostie se met à léviter en direct durant une messe télévisée ou prend la forme d'un muscle cardiaque en présence du futur pape François, la raison est en droit de s'offusquer.

Et pourtant, tous ces cas ont été authentifiés par des témoins, des scientifiques, des historiens, des instruments de contrôle. Mais relèvent-ils de l'intervention divine ou des capacités secrètes de l'être humain ? À l'heure où la foi paraît s'incliner devant la peur, Didier van Cauwelaert nous offre, avec cet ouvrage hautement documenté à l'humour percutant, une profonde réflexion et un formidable message d'espoir.",978-2259315272,https://m.media-amazon.com/images/I/615yPljRR7L._SY522_.jpg,Plon; Illustrated édition (5 octobre 2023),Didier Van Cauwelaert
"Nous nous sommes tant aimés: Les Français et le divorce : coeurs brisés, lois réinventées",12.86,"Les Français et le divorce : une histoire d'amour. Michelle Dayan offre au lecteur une exploration sans précédent de cet événement de vie tant redouté (mais si commun) qu'on appelle le divorce. À travers un panorama des trois dernières décennies, elle met en lumière l'évolution des lois françaises, des subtilités de la garde alternée aux récentes avancées du mariage pour tous, en passant par la délicate question de la répartition des biens. Forte de son expérience d'avocate spécialisée, Michelle Dayan extrait son analyse de cas concrets issus de sa pratique, offrant ainsi une réflexion profonde sur les défis actuels du droit de la famille?: la modernisation nécessaire de la législation, la protection des enfants et la quête d'une équité entre les sexes.   Écrit avec une sensibilité et une pudeur qui n'entravent en rien sa portée prospective, Nous nous sommes tant aimés se présente comme une mosaïque de récits de vie, où chaque histoire de séparation devient une fenêtre ouverte sur les mutations de notre société. Michelle Dayan réussit ainsi à transformer une thématique potentiellement sombre en une réflexion profonde sur les transitions de la vie, et sur l'art délicat de rompre.",979-1032928073,https://m.media-amazon.com/images/I/4179b8adSLL.jpg,L'OBSERVATOIRE (15 mai 2024),Michelle Dayan
