Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
La frénésie du bonheur: Du bonheur différé au bonheur immédiat,15.92,"« En quelques décennies, alors qu'une autre religion gagnait les quartiers, nous avons vécu en France la déconstruction, puis l'effondrement des deux grandes religions de salut céleste (catholicisme) et terrestre (communisme). En 1950, plus de 90 % des Français étaient baptisés, ils ne sont plus que 30 % ! 45 000 prêtres diocésains prêchaient dans nos églises, ils ne sont plus que 4 500, tandis que l'électorat communiste passait de 25 % à 2,5 % ! Conséquence : s'il n'y a plus d'après, plus de seconde vie après la mort ou la Révolution, c'est ici et maintenant qu'il s'agit d'être heureux, en quoi nous vivons le passage de l'acceptation d'un bonheur différé à l'exigence du bonheur immédiat. À l'encontre de la leçon du conte, le premier petit cochon l'emporte désormais sur le troisième. Ce livre analyse les causes (non pas Mai 68, comme on le croit souvent, mais le capitalisme d'innovation, d'hyperconsommation et de rupture avec les traditions), puis les conséquences d'une profondeur abyssale de cette véritable faille dans la civilisation qui touche tous les domaines de nos existences, du rapport au travail (si je n'ai qu'une seule vie, alors on ne touche pas à ma retraite !) à la naissance des métavers, qui prétendent nous offrir une ""seconde vie plus réussie"", en passant par l'explosion de la psychologie positive et des théories du développement personnel, qui nous promettent le bonheur ici et maintenant. »   L.F.",979-1032926871,https://m.media-amazon.com/images/I/41NOgWOiADL._SY522_.jpg,L'OBSERVATOIRE (4 octobre 2023),Luc Ferry
Les Vertus de l'échec,5.11,"Et si nous changions de regard sur nos échecs ?
Les succès viennent rarement sans accroc. Charles de Gaulle, Rafael Nadal, Steve Jobs ou Barbara ont tous essuyé des revers cuisants avant de s'accomplir.
Relisant leurs parcours et de nombreux autres à la lumière de Marc Aurèle, saint Paul, Nietzsche ou Freud, cet essai nous apprend à réussir nos échecs. Il nous montre comment chaque épreuve, parce qu'elle nous confronte au réel ou à notre désir profond, peut nous rendre plus lucide, plus combatif, plus vivant.
Un petit traité de sagesse qui nous met sur la voie d'une authentique réussite.

"" Un livre qui va redonner un coup d'optimisme à tout le monde. """,978-2266285421,https://m.media-amazon.com/images/I/51tpPNRGp5L._SY522_.jpg,Pocket (6 septembre 2018),Charles Pépin
"La Confiance en soi, une philosophie",14.33,"Après le succès des Vertus de l'échec, Charles Pépin nous éclaire sur le mystère de la confiance en soi.
Cultivez les bons liens
Entraînez-vous
Écoutez-vous
Émerveillez-vous
Décidez
Mettez la main à la pâte
Passez à l'acte
Admirez
Restez fidèle à votre désir
Faites confiance au mystère

En puisant dans les textes des philosophes et des sages, dans les travaux des psychanalystes et des psychologues, mais aussi dans l'expérience de grands sportifs, d'artistes ou d'anonymes, ce livre éclaire le mystère de la confiance en soi. Et nous montre le chemin pour avoir davantage confiance en nous.",978-2266313568,https://m.media-amazon.com/images/I/61P6Dd9WOiL._SY522_.jpg,Pocket (14 janvier 2021),Charles Pépin
Pensées pour moi-même,13.05,"« Une excellente manière de te défendre d'eux, c'est d'éviter de leur ressembler. » VI, 6",978-2251445526,https://m.media-amazon.com/images/I/61dT17JJ2iL._SY522_.jpg,Les Belles Lettres (20 novembre 2015),Marc Aurèle
Le Déclin du courage,13.25,"Le 8 juin 1978 Alexandre Soljénitsyne disait aux étudiants de l'université de Harvard :
« Non, je ne peux pas recommander votre société comme idéal pour transformation de la nôtre. (…) Nous avions placé trop d’espoirs dans les transformations politico-sociales, et il se révèle qu’on nous enlève ce que nous avons de plus précieux : notre vie intérieure. À l’Est, c’est la foire du Parti qui la foule aux pieds, à l’Ouest la foire du Commerce : ce qui est effrayant, ce n’est même pas le fait du monde éclaté, c’est que les principaux morceaux en soient atteints d’une maladie analogue. »
Alexandre Issaïevitch Soljénitsyne est né le 11 décembre 1918 à Kislovodsk (Russie). Mobilisé en 1941 dans les rangs de l’Armée rouge, il est arrêté à la veille de la victoire pour avoir prétendument insulté Staline dans une lettre à un ami, et purgera huit ans de détention et trois de relégation. En 1962, la parution d’",978-2251200460,https://m.media-amazon.com/images/I/51DyEPp2lRL._SY522_.jpg,Les Belles Lettres (21 octobre 2014),Alexandre Issaïevitch Soljénitsyne
Comment le peuple juif fut inventé : De la Bible au sionisme,10.24,"La couverture de l'article peut varier

Quand le peuple juif fut-il créé? Est-ce il y a quatre mille ans, ou bien sous la plume d'historiens juifs du XIXe siècle qui ont reconstitué rétrospectivement un peuple afin de façonner une nation future ? Dans ce livre qui a fait date, Shlomo Sand a montré pour la première fois comment, à partir du XIXe siècle, le temps biblique a commencé à être considéré par les sionistes comme le temps historique, celui de la naissance d'une nation. Si ses propos ont soulevé une onde de choc dans le monde entier, c'est que derrière le débat historiographique se cache une question brûlante : à l'heure où certains généticiens israéliens cherchent encore à démontrer que les juifs forment un peuple doté d un ADN spécifique, que cache aujourd'hui le concept d'«État juif», et pourquoi cette entité n a-t-elle pas réussi jusqu'à maintenant à se constituer en une république appartenant à l'ensemble de ses citoyens, quelle que soit leur religion ? En dénonçant cette dérogation profonde au principe sur lequel se fonde toute démocratie moderne, c'est une critique de la politique identitaire de son pays que propose Shlomo Sand.",978-2081380288,https://m.media-amazon.com/images/I/61igexKAB7L._SY522_.jpg,FLAMMARION (26 septembre 2018),Shlomo Sand
L’Art d’avoir toujours raison,16.77,"Arthur Schopenhauer

Devant un tribunal, on ne débat qu’avec des autorités, celles de la loi, dont le jugement consiste à trouver quelle loi ou quelle autorité s’applique à l’affaire dont il est question. Il y a pourtant tout à fait place à user de la dialectique, car si l’affaire et la loi ne s’ajustent pas complètement, on peut les tordre jusqu’à ce qu’elles le paraissent, et vice versa.",978-1696355957,https://m.media-amazon.com/images/I/412GnrE7s+L._SY522_.jpg,Independently published (29 septembre 2019),Arthur Schopenhauer
Ainsi parlait Zarathoustra,18.12,"Ainsi parlait Zarathoustra est une oeuvre philosophique magistrale. Elle a bouleversé la pensée de l'Occident. « Nietzsche démolit, il sape », disait Gide. Il remet définitivement l'homme en question. Poète-prophète, Zarathoustra se retire dans la montagne et revient parmi les hommes pour leur parler. Sa leçon essentielle : « Vouloir libère. » Son leitmotiv : rejeter ce qui n'est pas voulu, conquis comme tel, tout ce qui est subi. C'est le sens du fameux : « Deviens celui que tu es. » La vertu est souvent le droit du plus faible, elle paralyse tout, désir, création et joie. Le surhomme nietzschéen est celui qui a la plus grande diversité d'instincts qui s'opposent puissamment mais qu'il maîtrise. La pensée de Nietzsche est un défi permanent. Elle échappe à tout système politique.
La ferveur de sa poésie, sa vigoureuse drôlerie ont donné à Nietzsche une célébrité universelle. Nos contemporains n'ont le choix qu'entre lui et Marx.",978-2253006756,https://m.media-amazon.com/images/I/81R8QHEwzXL._SY522_.jpg,Le Livre de Poche; Le Livre de poche édition (6 juin 1972),Friedrich Nietzsche
L'art de la guerre,24.9,"Lecture incontournable des stratèges orientaux depuis la nuit des temps, L'Art de la guerre de Sun Tzu est probablement le traité de guerre et de science militaire le plus connu au monde. Pragmatique, il enseigne comment s'assurer la victoire à moindre coût, grâce à toutes sortes de moyens - ruse, espionnage, mobilité, surprise... -, en s'adaptant à la stratégie de son adversaire. Véritable référence pour de nombreux leaders à travers l'histoire - Napoléon et Mao Zedong notamment -, les techniques de résolutions des conflits qu'il présente restent d'une incroyable actualité et sont facilement transposables à d'autres domaines, y compris à la stratégie d'entreprise, le commerce, ou même le sport.",978-2813215710,https://m.media-amazon.com/images/I/61gi9XB57pL._SY522_.jpg,Les éditions Trédaniel; 2e édition (17 novembre 2017),Sun Tzu
OEUVRES - II - TRAITE THEOLOGICO-POLITIQUE,14.61,OEUVRES - II - TRAITE THEOLOGICO-POLITIQUE,978-2080270764,https://m.media-amazon.com/images/I/61S7+t5YZzL._SY522_.jpg,FLAMMARION (12 janvier 2022),Spinoza
Le miracle Spinoza: Une philosophie pour éclairer notre vie,8.4,"Banni de la communauté juive à vingt-trois ans pour hérésie, Baruch Spinoza décide de consacrer sa vie à la philosophie. Son objectif ? Découvrir un bien véritable qui lui « procurerait pour l’éternité la jouissance d’une joie suprême et incessante ». Il édifie une œuvre révolutionnaire. Comment cet homme a-t-il pu, en plein XVIIe siècle, être le précurseur des Lumières et de nos démocraties modernes ? Le pionnier d'une lecture historique et critique de la Bible ? Le fondateur de la psychologie des profondeurs ? Et surtout, l'inventeur d'une philosophie fondée sur le désir et la joie, qui bouleverse notre conception de Dieu, de la morale et du bonheur ? À bien des égards, Spinoza est non seulement très en avance sur son temps, mais aussi sur le nôtre. C'est ce que j'appelle le « miracle » Spinoza.",978-2253091936,https://m.media-amazon.com/images/I/81QCgC4Y08L._SY522_.jpg,Le Livre de Poche (28 août 2019),Frédéric Lenoir
Start With Why: The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,13.6,"THE LIFE-CHANGING MILLION-COPY GLOBAL BESTSELLER - BASED ON ONE OF THE MOST WATCHED TED TALKS OF ALL TIME! DISCOVER YOUR PURPOSE WITH ONE SIMPLE QUESTION: WHY?

'One of the most incredible thinkers of our time; someone who has influenced the way I think and act every day' - Steven Bartlett, investor, BBC Dragon and host of The Diary of a CEO podcast

*****

Why are some people more inventive, pioneering and successful than others?",978-0241958223,https://m.media-amazon.com/images/I/71M1P287BjL._SY522_.jpg,Penguin; 1er édition (6 octobre 2011),Simon Sinek
Ikigai: The Japanese secret to a long and happy life,7.09,"THE INTERNATIONAL BESTSELLER

We all have an ikigai.

It's the Japanese word for 'a reason to live' or 'a reason to jump out of bed in the morning'.

It's the place where your needs, desires, ambitions, and satisfaction meet. A place of balance. Small wonder that finding your ikigai is closely linked to living longer.

Finding your ikigai is easier than you might think. This book will help you work out what your own ikigai really is, and equip you to change your life. You have a purpose in this world: your skills, your interests, your desires and your history have made you the perfect candidate for something. All you have to do is find it.

Do that, and you can make every single day of your life joyful and meaningful.
______________________________",978-1786330895,https://m.media-amazon.com/images/I/814L+vq01mL._SY522_.jpg,Hutchinson; 1er édition (7 septembre 2017),Héctor García
L'Art d'avoir toujours raison,14.12,"Vous avez tort mais refusez de l'admettre ? Avec humour et perspicacité, ce petit précis recense et analyse les stratagèmes et les ruses pour sortir vainqueur de tout débat, dispute ou joute verbale. Schopenhauer se livre à une savoureuse réflexion sur le langage et la dialectique, pour le plus grand plaisir des amoureux de la contradiction. Ces conseils, aussi précieux que sarcastiques, sont suivis de deux essais incisifs sur la pensée et la lecture : les livres nourrissent-ils notre réflexion, ou nous empêchent-ils de penser par nous-mêmes ?",978-2290258644,https://m.media-amazon.com/images/I/61Um5UKEtmL._SY522_.jpg,Librio (7 avril 2021),Arthur Schopenhauer
La crise de la culture,9.9,"L'homme se tient sur une brèche, dans l'intervalle entre le passé révolu et l'avenir infigurable. Il ne peut s'y tenir que dans la mesure où il pense, brisant ainsi, par sa résistance aux forces du passé infini et du futur infini, le flux du temps indifférent.Chaque génération nouvelle, chaque homme nouveau doit redécouvrir laborieusement l'activité de pensée. Longtemps, pour ce faire, on put recourir à la tradition. Or nous vivons, à l'âge moderne, l'usure de la tradition, la crise de la culture.Il ne s'agit pas de renouer le fil rompu de la tradition, ni d'inventer quelque succédané ultra-moderne, mais de savoir s'exercer à penser pour se mouvoir dans la brèche.Hannah Arendt, à travers ces essais d'interprétation critique - notamment de la tradition et des concepts modernes d'histoire, d'autorité et de liberté, des rapports entre vérité et politique, de la crise de l'éducation -, entend nous aider à savoir comment penser en notre époque.",978-2070325030,https://m.media-amazon.com/images/I/713gP-ULuWL._SY522_.jpg,FOLIO ESSAIS (4 avril 1989),Hannah Arendt
L'homme révolté,9.2,"""Deux siècles de révolte, métaphysique ou historique, s'offrent justement à notre réflexion. Un historien, seul, pourrait prétendre à exposer en détail les doctrines et les mouvements qui s'y succèdent. Du moins, il doit être possible d'y chercher un fil conducteur. Les pages qui suivent proposent seulement quelques repères historiques et une hypothèse de lecture. Cette hypothèse n'est pas la seule possible ; elle est loin, d'ailleurs, de tout éclairer. Mais elle explique, en partie, la direction et, presque entièrement, la démesure de notre temps. L'histoire prodigieuse qui est évoquée ici est l'histoire de l'orgueil européen"".",978-2070323029,https://m.media-amazon.com/images/I/81mGlfigybL._SY522_.jpg,Gallimard (2 mai 1985),Albert Camus
Par-delà bien et mal,13.41,"En quoi la philosophie est-elle demeurée jusqu'à présent prisonnière de préjugés ? Pourquoi le projet même de recherche du vrai est-il suspect ? C'est l'examen de ces deux questions qui conduit Nietzsche, dans Par-delà bien et mal, à récuser la problématique de la vérité pour lui substituer celle, plus radicale, de la valeur. Et c'est pourquoi ce texte de 1886 - ""une sorte de commentaire de mon Zarathoustra"" ainsi que le présente Nietzsche - constitue sans doute l'ouvrage le plus propre à faire saisir la logique spécifique, déroutante autant que rigoureuse, de la réflexion nietzschéenne, tout comme il est celui qui en détaille le plus clairement les aboutissements : la définition nouvelle du philosophe, du ""philosophe de l'avenir"", comme créateur de valeurs, et l'interprétation de la réalité comme volonté de puissance.",978-2080278036,https://m.media-amazon.com/images/I/61mq7nQNCzL._SY522_.jpg,FLAMMARION (13 avril 2022),Friedrich Nietzsche
Etre à sa place,8.4,"Ça commence parfois par une inquiétude ou un malaise. On se sent en décalage. On a le sentiment de ne pas « être à sa place ». Mais qu'est-ce qu'être à sa place, dans sa famille, son couple, son travail ? Quels sont les espaces, réels ou symboliques, qui nous accueillent ou nous rejettent ? Faut-il tenter de conquérir les places qui nous sont interdites, à cause de notre genre, notre handicap, notre âge, notre origine ethnique ou sociale ? Peut-être faut-il transformer ces lieux de l'intérieur et s'y créer une place à soi ?
C. M.
Cet ouvrage interroge ce qui est à la fois la formulation d'un désir personnel et un nouvel impératif social. Et si, comme nous le suggère Claire Marin, le propre d'une place était de sans cesse se déplacer, ou de déplacer celui qui croit pouvoir s'y installer ?",978-2253941118,https://m.media-amazon.com/images/I/61G25B2szwL._SY522_.jpg,Le Livre de Poche (8 mars 2023),Claire Marin
"Philosophie Japonaise: (5 livres en 1) Ikigai, Kaizen, Wabi Sabi, Shinrin-Yoku et Kintsugi. Améliorez votre vie grâce aux enseignements anciens du pays du soleil levant. Édition révisée",17.21,"Vous recherchez des conseils pratiques ainsi que des suggestions pour vivre une vie plus heureuse, plus saine et plus consciente ?
Vous aimeriez trouver le moyen de cultiver la conscience dans le chaos et l'imprévisibilité de la vie quotidienne, mais vous ne savez pas par où commencer ?
Richesse de la culture, traditions, respect de la nature, sécurité, éthique du travail, hospitalité et courtoisie… Ce ne sont là que quelques-uns des nombreux enseignements qui caractérisent la sagesse millénaire de la philosophie japonaise.
Si vous désirez mener une existence épanouissante, pour vous et pour les personnes que vous aimez, vous ne pourrez pas faire l'économie de l'application des cinq principes fondamentaux sur lesquels le Japon a fondé sa glorieuse histoire…",979-8375416021,https://m.media-amazon.com/images/I/71DTvgTqg9L._SY522_.jpg,Independently published (29 janvier 2023),Dai Nippon Teikoku
Le Prince - Nicolas Machiavel: Édition collector intégrale - Grand format 15 cm x 22 cm - (Annotée d'une biographie),6.76,"⭐ L'Édition collector de cette œuvre mythique ⭐
(Version mise à jour et corrigée)

Cet ouvrage comprend :
✒️ Une biographie complète de l'auteur : (Qui était-il? Son enfance, son idéologie, son ascension en politique, etc..).
📕 Le texte intégral et original de l'œuvre ""Le Prince""
📜 Un recueil des meilleures citations de l'auteur
👓 Une police d'écriture en taille 13 : pour un confort de lecture inégalé
💎 Le tout dans une édition luxe signé ""Legendary Books"" : (mise en forme améliorée, couverture brillante et papier crème 90 g/m²).",979-8752361548,https://m.media-amazon.com/images/I/81xu6EumbGL._SY522_.jpg,Independently published (23 octobre 2021),Nicolas Machiavel
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",10.5,"- THE RECORD-BREAKING, MULTIMILLION COPY GLOBAL BESTSELLER AND TIKTOK SENSATION -
Discover the #1 New York Times and Sunday Times bestselling thriller with a jaw-dropping twist that everyone is talking about - as seen on TikTok. Soon to be a major film.

Alicia Berenson lived a seemingly perfect life until one day six years ago.

When she shot her husband in the head five times.

Since then she hasn't spoken a single word.",978-1409181637,https://m.media-amazon.com/images/I/81JJPDNlxSL._SY522_.jpg,Orion (12 décembre 2019),Alex Michaelides
Éthique,8.54,"Le point de départ de la réflexion de Spinoza, c'est son expérience propre : il sait, par l'observation, qu'il a un corps, et il a conscience de ses affects. Mais, si c'est bien là une sorte de connaissance, c'est une connaissance incomplète et douloureuse : avoir conscience, c'est, pour l'être humain, sinon toujours souffrir, du moins pâtir, être contraint, accablé. Selon Spinoza, il importe de se faire de son être propre - et des accidents dont sa vie se compose - une idée comparable à celle qu'un mathématicien a d'une figure et des propriétés qui la constituent. Voilà pourquoi il écrit son Éthique ""suivant l'ordre géométrique"". À la passion succédera alors l'action, à une nécessité extérieure et contraignante, une nécessité conforme à sa volonté devenue raison. Mais, pour atteindre ce but, une connaissance adéquate des rapports que l'être humain entretient avec l'univers est indispensable. L'Éthique, en un mot, prétend nous élever de la conscience à la connaissance de nous-mêmes, et cette connaissance commence par celle de Dieu.",978-2080413550,https://m.media-amazon.com/images/I/610SJb-bl3L._SY522_.jpg,FLAMMARION (8 mars 2023),Spinoza
Éthique,35.0,"""Je me livrai à cette lecture et pensai, tandis que je plongeais en moi-même, que je n'avais jamais compris aussi clairement le monde.""Goethe"" Vous voulez être philosophe ? Commencez par être spinoziste ; vous ne pouvez rien sans cela.""Hegel",978-2081513839,https://m.media-amazon.com/images/I/71XJS1U4SeL._SY522_.jpg,FLAMMARION (10 novembre 2021),Spinoza
L'Esprit artificiel: Une machine ne sera jamais philosophe,19.0,"De la science au droit, de la médecine aux questions militaires, l'intelligence artificielle bouleverse tous nos champs de compétence. Tous ? Non ! En philosophie, l'IA ne sert à rien. Le prototype d'agent conversationnel ChatGPT, qui peut répondre à toute question, trouver une recette de cuisine à partir du contenu d'un réfrigérateur, rédiger un article ou composer un poème sur le sujet de notre choix, qui puise dans l'intégralité du savoir disponible pour en livrer une synthèse en quelques secondes... se trouve comme une poule devant un couteau quand on lui demande de réfléchir. Quelle énigme ! Pourquoi le geste tout simple qui consiste à trouver une problématique, c'est-à-dire à transformer une question en problème pour en faire la colonne vertébrale d'une réflexion, demeure-t-il hors de sa portée ? À quoi tient cette singularité, ce je-ne-sais-quoi ? Pourquoi la pratique de la philosophie est-elle inaccessible à l'intelligence artificielle ? Et pourquoi l'humanité demeure-t-elle un casse-tête pour la machine ? C'est la même question.",979-1032920619,https://m.media-amazon.com/images/I/51Ygp1Rq+-L._SY522_.jpg,L'OBSERVATOIRE (24 janvier 2024),Raphaël Enthoven
Spinoza Code,19.5,"Hollande, 1674. Spinoza termine un traité radical, l’Éthique, auquel il travaille depuis quinze ans. Son œuvre majeure. Mais l’avenir est incertain. Les ennemis du philosophe sont nombreux et puissants, sa trop grande liberté et ses idées menacent les églises et les autorités. Son ouvrage tout juste achevé, Spinoza en confie une copie à Ehrenfried Walther von Tschirnhaus, un jeune baron et brillant mathématicien allemand qui se prépare à faire le tour des capitales européennes.
Le traité, dont la publication est compromise en Hollande, parcourt l’Europe sous le manteau. Spinoza meurt en 1677, sans avoir pu publier l’Éthique, laissant soudain Tschirnhaus dépositaire d’un manuscrit inestimable. Mais la trace de ce codex se perd. Trois cent trente-trois ans plus tard, il est retrouvé au Vatican, dans les archives de l’Inquisition… Comment le Traité est-il tombé entre les mains du bras armé de l’Église ?
Récit historique et enquête littéraire, Spinoza Code nous conte la fascinante épopée du seul manuscrit de l’Éthique qui nous soit parvenu. S’y dévoile un autre XVIIe siècle, où les batailles intellectuelles se déchaînent et font avancer la Connaissance. Et où, malgré les périls encourus, un philosophe de génie vécut dans la plus grande fidélité à ses idées.",978-2246827658,https://m.media-amazon.com/images/I/71X4p5Oi1vL._SY522_.jpg,Grasset (20 mars 2024),Mériam Korichi
L'Art d'être heureux: À travers 50 règles de vie,7.9,"L’art d’être heureux
Ce volume est un petit traité de sagesse pratique pour atteindre la félicité. Comment se fait-il que le maître du pessimisme moderne, Arthur Schopenhauer, ait entrepris une telle aventure ? C’est que la philosophie théorique est une chose, la sagesse vécue une autre : on ne doit pas abandonner tout espoir et se priver de maximes et de conseils pour contrer les difficultés dont l’existence n’est pas avare. La conviction pessimiste que la vie de l’homme oscille entre douleur et ennui invite à la lucidité pour vivre au mieux. Il importe de trouver des règles de vie pour écarter les maux de l’existence, supporter les coups du sort, atteindre sinon le bonheur parfait, du moins un bonheur relatif, celui qui consiste en l’absence de souffrance.",978-2757842201,https://m.media-amazon.com/images/I/81CF215CCnL._SY522_.jpg,POINTS (28 août 2014),Arthur Schopenhauer
Du contrat social,10.3,"Paru en 1762, le Contrat social, en affirmant le principe de souveraineté du peuple, a constitué un tournant décisif pour la modernité et s'est imposé comme un des textes majeurs de la philosophie politique. Il a aussi acquis le statut de monument, plus célèbre que connu, plus révéré - ou honni - qu'interrogé. Retrouver, dans les formules fameuses et les pages d'anthologie, le mouvement de la réflexion et les questions vives qui nourrissent une œuvre beaucoup plus problématique qu'affirmative, c'est découvrir une pensée qui se tient au plus près des préoccupations d'aujourd'hui : comment intégrer les intérêts de tous dans la détermination de l'intérêt commun ? Comment lutter contre la pente de tout gouvernement à déposséder les citoyens de la souveraineté ? Comment former en chacun ce sentiment d'obligation sans lequel le lien social se défait ?",978-2081275232,https://m.media-amazon.com/images/I/711KqQmBOIL._SY522_.jpg,FLAMMARION (31 décembre 2011),Jean-Jacques Rousseau
