Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"La bible Homéopathique: Le livre de référence pour se soigner naturellement, guérir tout les maux de la famille et vivre plus sainement au quotidien I Plus de 100 remèdes pour tout les tracas !",11.39,"Découvrez comment vous guérir facilement à la maison avec plus de 100 remèdes !

Et si, au lieu d’une attente longue et coûteuse chez le médecin, vous pouviez vous soigner, vous et votre famille, à la maison, de manière sûre et efficace, pour des maladies courantes telles que le rhume, les infections, les otites et même les intoxications alimentaires ? Si c’est ce que vous recherchez, alors ce livre est fait pour vous !

Qui n’a jamais souffert d’un mauvais rhume ou d’une horrible grippe à l’étranger ? Rien ne peut plus gâcher des vacances que d’être coincé dans une chambre d’hôtel loin de chez soi, en train de vomir. Mais si vous savez comment utiliser efficacement et en toute sécurité ces",979-8429097732,https://m.media-amazon.com/images/I/611fxpXWBwL._SY522_.jpg,Independently published (8 mars 2022),Hervé Larrant
"La bible Homéopathique: Le livre de référence pour se soigner naturellement, guérir tout les maux de la famille et vivre plus sainement au quotidien I Plus de 100 remèdes pour tout les tracas !",18.83,"Découvrez comment vous guérir facilement à la maison avec plus de 100 remèdes !

Et si, au lieu d’une attente longue et coûteuse chez le médecin, vous pouviez vous soigner, vous et votre famille, à la maison, de manière sûre et efficace, pour des maladies courantes telles que le rhume, les infections, les otites et même les intoxications alimentaires ? Si c’est ce que vous recherchez, alors ce livre est fait pour vous !

Qui n’a jamais souffert d’un mauvais rhume ou d’une horrible grippe à l’étranger ? Rien ne peut plus gâcher des vacances que d’être coincé dans une chambre d’hôtel loin de chez soi, en train de vomir. Mais si vous savez comment utiliser efficacement et en toute sécurité ces",979-8429097732,https://m.media-amazon.com/images/I/611fxpXWBwL._SY522_.jpg,Independently published (8 mars 2022),Hervé Larrant
"Guérir Son Corps, Soigner Son Esprit: ALIMENTATION, NUTRITION, HERBES, MÉDECINE NATURELLE ET PENSÉES POSITIVES POUR L'INTESTIN IRRITABLE, DÉTOX DU FOIE, HORMONES, ACNÉ, ANXIÉTÉ, DÉPRESSION ET STRESS",14.44,"Élu l’un des 43 meilleurs thérapeutes du monde, auteur de 5 best-sellers, naturopathe et psychothérapeute, le Dr Ameet vous aide à régler facilement vos problèmes de santé concernant vos intestins, votre foie, vos glandes surrénales, votre dépression, votre anxiété, votre humeur, votre poids, votre peau, vos hormones, vos inflammations ainsi que vos problèmes sexuels à l’aide de votre nutrition, d’une alimentation saine, d’une médecine naturelle, de thérapie holistiques et d’une guérison émotionnelle.
Votre santé est l’un des cadeaux les plus précieux que l’on puisse vous faire. Ce livre au pouvoir holistique intense vous permettra d’améliorer rapidement votre santé, votre bonheur et votre humeur en vous aidant à traiter l’origine des maladies de votre esprit et votre corps, lesquelles sont liées à :",979-8644439393,https://m.media-amazon.com/images/I/71JeSHlGXDL._SY522_.jpg,Independently published (9 mai 2020),Dr. Ameet Aggarwal ND
Guide familial de l'homéopathie,8.9,"Ce guide complet destiné au grand public présente par ordre alphabétique les principaux médicaments homéopathiques et les différentes maladies que l’on peut traiter par cette thérapeutique douce et atoxique.
Il permet de :
• comprendre les principes théoriques de l’homéopathie ;
• décrypter les ordonnances du médecin ;
• pratiquer l’automédication pour les petites affections courantes avec le maximum de sécurité et d’efficacité : symptômes, traitements, usages.
Grâce à ses 1 000 rubriques ou entrées, il met à votre portée un savoir indispensable pour vous-même et votre famille.
Nouvelle édition entièrement remise à jour.",978-2253030768,https://m.media-amazon.com/images/I/61d3gDK20GL._SY522_.jpg,Le Livre de Poche (1 mars 2015),Alain Horvilleur
"Ma bible de l'homéopathie: De Abcès à Zona, tous les maux quotidiens et leurs solutions homéopathiques...",28.0,"Dans cette bible unique en son genre, Albert-Claude Quemoun réunit tout ce qu'il faut savoir sur l'homéopathie pour bien se soigner et mieux vivre au quotidien : Les grands principes de l'homéopathie : pourquoi et comment ça fonctionne ? Quels sont les différents types de médicaments (granules, crèmes et gels, gouttes buvables...) ? Des conseils adaptés à chacun et à chaque période de sa vie : femmes enceintes, bébés, enfants, seniors, animaux de compagnie, mais aussi beauté, bien-être... un savoir à la portée de chacun. L'abécédaire complet des médicaments homéopathiques et leurs propriétés. De Abattement à Zona, tous les maux et leurs solutions homéopathiques, pour soigner adultes comme enfants : anxiété, ballonnements, otite, ronflements... + Inclus, un cahier personnalisable 11x17.8 personnalisable et tout en couleurs, spécial enfants : 17 portraits d'enfants pour nous permettre de reconnaître le profil du notre.",979-1028514808,https://m.media-amazon.com/images/I/812CT9W8kTL._SY522_.jpg,LEDUC (15 mai 2019),Albert-Claude Quemoun
Homsham - L'homéopathie sensitive,13.58,"Il est urgent de réhabiliter nos propres moyens de guérison pour faire face en conscience aux bouleversements du monde actuel. L'accès illimité aux soins de santé et le droit de recourir aux thérapies non conventionnelles sont menacés de disparition. Apprendre à prendre soin de notre santé par nous-mêmes s'avèrera bientôt très utile. Grâce aux découvertes des neurosciences, on sait aujourd'hui qu'une capacité sensitive cérébrale est stimulée quand l'être humain fait appel aux compétences de la zone préfrontale et de l'hémisphère droit de son cerveau. Dans l'homéopathie sensitive, c'est un peu comme si « le principe actif » du remède émane du processus qu'effectue le cerveau pour le trouver et que l'esprit, l'âme et le corps du patient l'incorporent grâce aux vibrations qui se dégagent de ce processus et de la découverte du remède. La différence majeure entre L'HomSham et l'homéopathie classique est qu'il n'y a plus besoin de faire de souches de remèdes à partir d'êtres vivants ou morts... Les remèdes sont transmis de façon vibratoire sans aucun support. L'HomSham, moyen de bio-modulation sans substances ni machine, nous permet d'accéder à nos compétences inconscientes de guérison et de changement sans assistanat physico-chimique. Eduard Van den Bogaert a étudié la médecine à l'université libre de Bruxelles, pour pouvoir exercer une médecine douce, innovante, efficace et accessible à tous. À l'origine d'une nouvelle forme d'homoeopathie sensitive et évolutive, il parcourt le monde depuis 30 ans afin d'en accroître les possibilités thérapeutiques.",978-2358050937,https://m.media-amazon.com/images/I/61DAuO7ixnL._SY522_.jpg,QUINTESSENCE (13 novembre 2013),Eduard Van den Bogaert
"La bible Homéopathique: Le livre de référence pour se soigner naturellement, guérir tout les maux de la famille et vivre plus sainement au quotidien I Plus de 100 remèdes pour tout les tracas !",13.41,"Découvrez comment vous guérir facilement à la maison avec plus de 100 remèdes !

Et si, au lieu d’une attente longue et coûteuse chez le médecin, vous pouviez vous soigner, vous et votre famille, à la maison, de manière sûre et efficace, pour des maladies courantes telles que le rhume, les infections, les otites et même les intoxications alimentaires ? Si c’est ce que vous recherchez, alors ce livre est fait pour vous !

Qui n’a jamais souffert d’un mauvais rhume ou d’une horrible grippe à l’étranger ? Rien ne peut plus gâcher des vacances que d’être coincé dans une chambre d’hôtel loin de chez soi, en train de vomir. Mais si vous savez comment utiliser efficacement et en toute sécurité ces",979-8429097732,https://m.media-amazon.com/images/I/611fxpXWBwL._SY522_.jpg,Independently published (8 mars 2022),Hervé Larrant
"IKIGAI ET PHILOSOPHIE JAPONAISE: 3 livres en 1 : Ikigai, Kaizen et Shinrin-yoku - Les secrets du bonheur et de la philosophie japonaise pour une vie longue et heureuse en trouvant le sens de la vie",7.66,"Avez-vous envie de trouver votre place dans le monde, en identifiant ce qui vous rend unique et mener une vie harmonieuse et riche de sens?
Souhaitez-vous découvrir comment vivre chaque jour pleinement, en poursuivant des objectifs qui résonnent véritablement avec qui vous êtes ?
Quel est le sens de ma vie ? Quelle est ma place dans ce monde ? Ces questionnements nous accompagnent durant des années et sont souvent laissés sans réponse.

Vivre chaque jour pleinement et sereinement est l’idéal auquel nous aspirons sans trop y croire. Atteindre ses objectifs semble impossible, les poursuivre requiert déjà suffisamment d’efforts. Les conseils et méthodes de développement personnel que nous avons maintes fois tenté d’appliquer ne se sont pas avérés convaincants – au point que mener une vie harmonieuse, riche de sens, épanouie, est maintenant considéré comme utopique.",979-8873946747,https://m.media-amazon.com/images/I/71dDQROVOjL._SY522_.jpg,Independently published (11 février 2024),TETSUGAKU GROUP
"Homéopathie, le livre de référence pour se soig ner au naturel",24.9,"Le livre de référence pour se soigner au naturel
Voici un livre novateur sur l'homéopathie, attendu du grand public et des thérapeutes désirant une information sérieuse et complète sur le sujet. Il repose sur la très grande expérience du Dr Martine Gardénal, médecin homéopathe dont les quarante années de pratique et d'observation lui ont permis d'affiner sa compréhension de l'homéopathie, rendant ses prescriptions plus précises, plus justes et plus efficaces. Véritable ouvrage de référence, ce livre intègre les connaissances les plus actuelles mais aussi celles, plus anciennes, qui ont fait leurs preuves. Si l'homéopathie y tient une large part, la grande curiosité et l'intuition de Martine Gardénal l'ont poussée à explorer tout ce qui - de près ou de loin - peut améliorer la santé et la maintenir dans les meilleures conditions, le plus longtemps possible. Dans ce guide très pratique - à conserver et à consulter pour soigner toute la famille -, vous découvrirez un abécédaire incroyablement complet des maladies et des maux quotidiens, mais aussi tous les remèdes homéopathiques et les principales techniques naturelles complémentaires - alimentation, compléments alimentaires, plantes, huiles essentielles et huiles végétales, probiotiques, magnétisme, ozonothérapie, sports, techniques manuelles, pensée positive... Un guide précieux que toute personne s'intéressant à la santé et aux médecines naturelles devrait avoir chez elle.",978-2813216847,https://m.media-amazon.com/images/I/71bloAP4RAL._SY522_.jpg,Les éditions Trédaniel (22 mai 2018),Martine Gardenal
"REMÈDES HOMÉOPATHIQUES POUR TOUTES LES MALADIES: Le guide de base du sel cellulaire homéopathique et comment l'utiliser pour traiter la constipation, les ecchymoses, les allergies, la neuropathie, les",13.5,"Les sels cellulaires homéopathiques, également appelés sels tissulaires ou sels de Schuessler, constituent un aspect fascinant de la médecine homéopathique. Cette approche thérapeutique a été lancée par un médecin allemand à la fin du XIXe siècle, offrant une perspective unique sur la relation entre les minéraux et la santé cellulaire. Basés sur les principes de l'homéopathie, les sels cellulaires visent à rétablir l'équilibre et à favoriser le bien-être en s'attaquant aux déséquilibres ou aux carences en minéraux essentiels au sein des cellules.

Les recherches du Dr Schuessler ont été inspirées par son observation approfondie du rôle crucial que jouent les minéraux dans la fonction cellulaire. Il a suggéré que des déséquilibres dans la distribution ou la disponibilité de ces minéraux pourraient entraîner toute une série de problèmes de santé. Contrairement à l'homéopathie traditionnelle, qui utilise fréquemment des substances énergétiques dérivées d'animaux, de plantes ou de minéraux, les sels cellulaires ciblent spécifiquement les minéraux essentiels qui jouent un rôle crucial dans la biochimie du corps humain.

La théorie biochimique, principe fondamental de la thérapie par les sels cellulaires, suggère qu'il existe 12 sels minéraux cruciaux nécessaires à la préservation du bien-être cellulaire. Ces minéraux sont constitués d’une variété d’éléments essentiels, chacun ayant ses propres propriétés et bienfaits pour le corps. Selon l'expert, ces minéraux se trouvent dans chaque cellule et sont essentiels au bon fonctionnement des processus biochimiques du corps.
L'un des principes fondamentaux des sels cellulaires homéopathiques est le concept de dynamisation, un processus de dilution et de succussion qui joue un rôle crucial dans les remèdes homéopathiques. Bien qu'un débat soit en cours sur le mécanisme d'action précis, les partisans affirment que ce processus amplifie les propriétés énergétiques ou vibratoires de la substance tout en diminuant sa concentration matérielle. En ce qui concerne les sels cellulaires, on pense que ces préparations minérales diluées activent les processus naturels de guérison du corps.",979-8879269352,https://m.media-amazon.com/images/I/61+TkHNo9zL._SY522_.jpg,Independently published (11 février 2024),Jorge Mateo
