Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"La France, tu l aimes mais tu la quittes: Enquête sur la diaspora française musulmane",23.0,"Ils s’appellent Mourad, Samira, Karim, ou bien Sandrine et Vincent. Ils sont nés et ont grandi partout en France, la plupart sont diplômés de l’enseignement supérieur, mais ils ont décidé de s’installer à Londres, Dubaï, New York, Casablanca, Montréal ou Bruxelles... Discriminés sur le marché de l’emploi et stigmatisés pour leur religion, leurs noms ou leurs origines, ces Français de culture ou de confession musulmane trouvent à l’étranger l’ascension sociale qui leur était refusée en France. Ils y trouvent aussi le « droit à l’indifférence » qui leur permet de se sentir simplement français.

Appuyée sur un échantillon quantitatif de plus de 1000 personnes et sur 140 entretiens approfondis, cette enquête sociologique sans précédent met au jour pour la première fois un phénomène qui travaille la société française à bas bruit. En interrogeant ces élites minoritaires, elle détaille leur formation, comment elles se sentent et sont perçues comme musulmanes, les raisons de leur départ, le choix des destinations, l’expérience de l’installation et de la vie à l’étranger, le regard qu’elles portent sur la France, leurs perspectives de retour… Ce n’est pas seulement une fuite des cerveaux que l’ouvrage documente : se révèlent en creux les effets délétères de l’islamophobie qui, vus d’ailleurs, semblent bel et bien constituer une exception française.",978-2021523898,https://m.media-amazon.com/images/I/41seIuY8jtL.jpg,SEUIL (26 avril 2024),Collectif
La Destruction des Européens d'Europe,15.36,"Le génocide par substitution, ou Grand Remplacement, destruction des Européens d'Europe, est le crime contre l'humanité du XXIe siècle.",979-8321985953,https://m.media-amazon.com/images/I/51vJcAtcVDL._SY522_.jpg,Independently published (20 avril 2024),Renaud Camus
L'Autocar pour Guadix,17.36,"Règlements de comptes et coups bas sont au menu de ce thriller social aux accents polar, une plongée rare et inédite dans l'Andalousie des migrants, des trafiquants, des flics corrompus et des cultivateurs victimes de l'agro-industrie. Un roman à couteaux tirés où le suspense tient le lecteur en haleine jusqu'au dernier mot.

Âgé de 32 ans, Paul Harmann a été reporter pendant près de dix ans pour la presse écrite. Auteur de nouvelles à succès, il a côtoyé les migrants de Dakar à Tambacounda, en passant par la Gambie, et a séjourné plusieurs semaines au cœur des oliveraies andalouses, expériences qui lui ont inspiré ce récit coup de poing, authentique, plein de rebondissements mais toujours très crédible.

""",978-2959384417,https://m.media-amazon.com/images/I/71ThFhvMpjL._SY522_.jpg,Indépendant (1 juin 2024),Paul Harmann
Les Cahiers de Douai d'Arthur Rimbaud,7.53,"Dossier pédagogique de Elsa Rouvière. 1870. Arthur Rimbaud a 16 ans lorsqu'il écrit « Le Dormeur du val » et les autres poèmes composant Les Cahiers de Douai. Jeune garçon empreint de liberté, c'est lors d'une fugue à Douai qu'il confie son manuscrit à un éditeur, Paul Demeny. Le jeune poète signe ici, à travers les poèmes d'un adolescent en révolte contre la misère, l'oppression et le racisme... les prémices de la poésie moderne ! Dans le volume : è de nombreuses activités d'appropriation et d'étude de la langue et un dossier spécial BAC ; è un cahier photos et trois groupements de textes en lien avec le parcours associé « Émancipations créatrices ». Groupements de textes : 1. Émancipations créatrices  2. L'art poétique de Rimbaud 3. Rimbaud dans la littérature contemporaine",979-1035826468,https://m.media-amazon.com/images/I/61MkE63bkcL._SY522_.jpg,BELIN EDUCATION; Illustrated édition (3 mai 2023),Arthur Rimbaud
Et si on changeait d'angle ?,11.08,"Quel parent n’a jamais forcé un enfant à prêter son jouet à son copain, à mettre son manteau, à finir son assiette ou à embrasser son tonton, en considérant que ce sont des principes d’éducation tout à fait banals ?
Et si on changeait d’angle ? Si on transposait ces situations dans le monde des adultes ? Ce serait totalement incongru ! Imaginez-vous demander à votre mari de prêter sa voiture à un inconnu ou de lui imposer d’embrasser tante Agathe pour lui dire au revoir ! Avec beaucoup de subtilité, d’humour et d’ironie, Fanny Vella nous invite à voir la parentalité et l’enfant autrement afin de déconstruire bon nombre d’idées reçues !
LA NOUVELLE ÉDITION COLLECTOR, REVUE ET AUGMENTÉE, DU BEST-SELLER DE FANNY VELLA",979-1028524326,https://m.media-amazon.com/images/I/71S2NejpcCL._SY522_.jpg,LEDUC GRAPHIC; Illustrated - Enlarged édition (27 avril 2022),Fanny Vella
The Ethnic Cleansing of Palestine,13.8,"The book that is providing a storm of controversy, from ‘Israel’s bravest historian’ (John Pilger)

Renowned Israeli historian, Ilan Pappe's groundbreaking book revisits the formation of the State of Israel. Between 1947 and 1949, over 400 Palestinian villages were deliberately destroyed, civilians were massacred and around a million men, women, and children were expelled from their homes at gunpoint.

Denied for almost six decades, had it happened today it could only have been called ""ethnic cleansing"". Decisively debunking the myth that the Palestinian population left of their own accord in the course of this war, Ilan Pappe offers impressive archival evidence to demonstrate that, from its very inception, a central plank in Israel’s founding ideology was the forcible removal of the indigenous population. Indispensable for anyone interested in the current crisis in the Middle East.",978-1851685554,https://m.media-amazon.com/images/I/71JBowYUxsL._SY522_.jpg,Oneworld Publications; Reprint édition (1 septembre 2007),Ilan Pappe
"Français, ouvrez les yeux !: Une radiographie de la France par un immigré",5.23,"Driss Ghali est marocain et musulman. Il a fait ses études en France et y a commencé sa vie professionnelle. Aujourd’hui, à chaque fois qu’il revient dans l’hexagone, il est effaré et ne comprend pas ce qu’il voit. Comment le Peuple français accepte-t-il l’américanisation aussi massive de sa culture, l’ensauvagement de ses manières et une présence de l’Islam toujours plus affirmée ? Il ne s’agit pas ici d’un énième livre sur le déclin de la France, vieille névrose qui resurgit régulièrement. Non, ici l’auteur cherche à savoir comment l’abaissement du pays peut être à ce point accepté par les Français. Pourquoi reconduisent-ils scrutin après scrutin des responsables politiques qui organisent leur sortie de l’Histoire par l’immigration de peuplement et l’abdication de la souveraineté au profit de l’Union Européenne ? Pour Driss Ghali, il y a quelques explications. Elles sont douloureuses à accepter mais peut-être pourront-elles en aider certains à ouvrir enfin les yeux.

Diplômé des grandes écoles (Centrale Paris, EDHEC), Driss Ghali est spécialiste des relations internationales et intervient au Maroc, au Brésil et en France.",978-2810011469,https://m.media-amazon.com/images/I/61ehwXvKi-L._SY522_.jpg,L'artilleur (18 janvier 2023),Driss Ghali
What This Comedian Said Will Shock You,15.2,"The hilarious and controversial host of HBO’s Real Time with Bill Maher has written his funniest, most opinionated, and most necessary book ever—a brilliantly astute and acerbically funny vivisection of American life, politics, and culture.

Some of the smartest commentary about what’s happening in America is coming from a comedian—this comedian being Bill Maher. If you want to understand what’s wrong with this country, it turns out that one of the best informed and most thought-provoking analysts is this very funny pothead.

The book was inspired by the “editorial” Bill delivers at the end of each episode of Real Time. These editorials are direct-to-camera sermons about culture, politics, and what’s happening in the world. To put this book together, Maher reviewed more than a decade of his editorials, rewriting, reimagining, and updating them, and adding new material to speak exactly to the moment we’re in. Free speech, cops, drugs, race, religion, the generations, cancel culture, the parties, the media, show biz, romance, health—Maher covers it all. The result is a hugely entertaining work of commentary about American culture in the tradition of Mark Twain, Will Rogers, and H. L. Mencken.",978-1668051351,https://m.media-amazon.com/images/I/71msUJk9bRL._SY522_.jpg,Simon & Schuster (21 mai 2024),Bill Maher
To Kill A Mockingbird,17.14,"'Shoot all the Bluejays you want, if you can hit 'em, but remember it's a sin to kill a Mockingbird.'

Lawyer Atticus Finch gives this advice to his children as he defends the real mockingbird of Harper Lee's classic novel - a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with exuberant humour the irrationality of adult attitudes to race and class in the Deep South of the 1930s. The conscience of a town steeped in prejudice, violence and hypocrisy is pricked by the stamina of one man's struggle for justice. But the weight of history will only tolerate so much...

A benchmark of classic American literature, To Kill A Mockingbird",978-0099419785,https://m.media-amazon.com/images/I/51o7pRTwVnL._SY522_.jpg,Arrow; 1er édition (1 octobre 1989),Harper Lee
Histoire des Juifs en France: Du Moyen Âge à nos jours,25.0,"L'ouvrage de référence sur la relation singulière entre le "" peuple élu "" et la France.
Depuis l'époque gallo-romaine, l'histoire des Juifs en France ne cesse d'osciller entre ombre et lumière. Tantôt protecteur bienveillant, tantôt despote ostracisant, le pays des Francs demeure ambigu vis-à-vis de l'une des plus vieilles communautés d'Europe. Comment expliquer cette attitude paradoxale ?
La France, indéniablement, est une terre d'accueil depuis des siècles pour le peuple juif. Dès le Moyen Âge, la culture hébraïque est partout présente et respectée. Bien après, la Révolution permet même aux Juifs d'accéder à la citoyenneté, tandis que le Premier Empire les unifie sous l'égide d'une organisation centrale. Puis, la Restauration, Napoléon III et enfin la République facilitent leur promotion économique, politique et sociale. Après l'Occupation, les israélites français – avec l'aide d'organisations juives internationales – se dotent d'institutions pour répondre à leurs nouveaux besoins. Enfin, la guerre d'Algérie et la décolonisation font de la France l'un des trois pôles les plus dynamiques du judaïsme mondial (après Israël et les États-Unis).
Mais parallèlement, comment oublier que, dès 1209, la croisade contre les hérétiques entraîne leur persécution puis leur massacre ? Qu'on les accuse de propager la peste noire au XIVe siècle ? Que l'affaire Dreyfus est encore à ce jour la pire erreur judiciaire commise par antisémitisme ? Qu'un quart de la population juive à péri pendant la Seconde Guerre mondiale à cause du régime de Vichy ? Plus récemment, que des assassins comme les frères Merah ou Amedy Coulibaly répandent un antijudaïsme sanguinaire d'un genre nouveau ?
À la lumière des recherches les plus récentes, le grand historien Michel Abitbol répond à toutes ces questions et à beaucoup d'autres. Partant, il propose une synthèse remarquable sur la relation longue, complexe et ambiguë entre un peuple et un pays.",978-2262079154,https://m.media-amazon.com/images/I/61LBGlCno9L._SY522_.jpg,Perrin (18 janvier 2024),Michel Abitbol
