Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Courir ou mourir,5.12,"""Laisse l'instinct guider tes pas, il t'amènera vers ce que tu aimes.""Qu'est ce qui fait courir Kilian Jornet ? Quelles sont les pensées, les motivations profondes de cet extraterrestre du trail ? ""Sky runner"" à l'assaut des sommets et du ciel, il multiplie les exploits : quatre fois champion du monde de skyrunning, champion du monde de ski de montagne, il bat aussi des records en courses rapides comme la traversée du GR20, l'Ultra-Trail du Mont-Blanc ou l'ascension du Kilimandjaro.De son premier ""4000"" réalisé à l'âge de 7 ans au défi mondial Summits of my Life, Kilian Jornet revient sur son destin de champion. Cet athlète d'exception nous livre un témoignage palpitant sur sa passion pour la course et la montagne et sur sa philosophie de vie profondément ancrée dans sa pratique sportive et son amour pour les grands espaces.",978-2080234087,https://m.media-amazon.com/images/I/61ByJnuwTML._SY522_.jpg,ARTHAUD (4 novembre 2020),Kilian Jornet
Mon coach running,18.95,"SE LANCER
PROGRESSER
SE CHALLENGER
Tu as envie de te lancer dans la course à pied ?
De progresser pour atteindre un objectif ?
De performer sur les plus longues courses ?

Dans ce guide, je t'accompagne, aux côtés de Julien pour tout savoir
sur la course à pied. Cette discipline n'aura plus aucun secret pour toi.
Tu sauras où et quand courir, quoi et quand manger, comment t'habiller et t'équiper, comment t'échauffer et prendre soin de tes muscles, même en cas de blessure.
Tu trouveras des séances de renforcement musculaire, des plans d'entraînement pour chaque niveau et des plans d'alimentation au quotidien ou en période de compétition.
Bref, tu auras tous les outils pour débuter, progresser et perfomer à ton rythme et selon tes objectifs !

Dans ce livre, je veux partager avec toi ma passion et mon enthousiasme pour la course à pied. Au-delà de la performance sportive et du bien-être qu'elle procure, elle est avant tout un état d'esprit et une philosophie de vie.",978-2412079249,https://m.media-amazon.com/images/I/51+16vh5FJL._SY522_.jpg,First; Illustrated édition (15 septembre 2022),Dorian Louvet
Concours Sous-Officier de Gendarmerie: 10 semaines pour se surpasser à l'épreuve sportive et obtenir la note maximale,17.67,"Vous souhaitez devenir sous-officier de gendarmerie et vous redoutez le test sportif ? Ce livre est fait pour vous !

Ce programme a été conçu de sorte à s'adapter à chacun quelque soit les compétences physiques avec lesquelles vous débutez. Dans cet ouvrage, vous trouverez toutes les clés pour réussir les épreuves sportives du concours de sous-officier en gendarmerie. Grâce à des conseils pratiques et des exercices adaptés, vous serez prêt à affronter les différentes épreuves physiques imposées par le concours.

Alors, n'attendez plus pour réaliser votre rêve de devenir sous-officier de gendarmerie ! Avec ce programme sportif sur 10 semaines, vous aurez toutes les clés en main pour réussir l'épreuve sportive du concours en toute confiance et sans équipements sportifs nécessaires.

En suivant ce programme, vous serez capable de vous dépasser physiquement et mentalement. Vous développerez également des habitudes saines qui vous aideront à maintenir votre forme physique à long terme.",979-8865440888,https://m.media-amazon.com/images/I/61V2JpqFQsL._SY522_.jpg,Independently published (25 octobre 2023),J.L Edition
Daniels'running formula: Méthode d'entraînement du 800 mètres au marathon,24.95,Première adaptation française de ce best-seller ayant fait ses preuves depuis longtemps aux USA (plus de 140 000 exemplaires vendus). Un système de mesure simple permettant de s'entraîner efficacement aux bonnes allures. : Une méthode d'entraînement équilibrée qui met l'accent sur l'endurance et permet de progresser sur les longues distances (aucune séance de VMA). Tous les éléments permettant aux coureurs et aux entraîneurs de créer leurs propres plans d'entraînement.,978-2851809339,https://m.media-amazon.com/images/I/71Z01hs9nJL._SY522_.jpg,AMPHORA; 3e édition (7 mars 2016),JACK DANIELS
Triathlon Souvenirs : Album photos | Chronos | Récits de courses: Carnet de suivi triathlète,18.52,"Découvrez ""Triathlon Souvenirs"", le livre indispensable pour tous les passionnés de triathlon.
Capturez chaque moment, chaque victoire, et chaque défi de vos triathlons dans cet album unique qui vous accompagnera à chaque étape de votre parcours sportif.

Ce carnet est bien plus qu'un simple journal de bord : c'est votre espace personnel pour documenter vos performances, conserver vos souvenirs et analyser votre progression. Parfait pour les triathlètes de tous niveaux, il vous permet de transformer chaque course en un souvenir inoubliable et de vous motiver pour les futurs défis.

Ce que vous trouverez dans ce livre :",,https://m.media-amazon.com/images/I/717nlmRh6vL._SY522_.jpg,Independently published (31 mai 2024),Cocojatte
"Le Manuel pour Courir Plus Vite : Explose tes Chronos avec la Méthode BSR: Réinvente tes Entraînements, Brise tes Limites, Pulvérise tes Records",9.96,"Dans l'univers de la course à pied, chaque seconde gagnée est une victoire. Chaque foulée plus rapide est un pas vers la gloire personnelle. Ce guide n'est pas juste une collection de conseils; c'est un voyage vers la redécouverte de soi en tant que coureur.

Le Manuel pour Courir Plus Vite avec la Méthode BSR dévoilée dans ces pages n'est pas un simple livre sur l’entraînement course à pied, c'est une transformation plus complète de l'approche envers le running, pour renouer avec une vitesse oubliée par de nombreux runners et traileurs.

La course est une discipline qui demande plus que de l'endurance physique; elle nécessite une force mentale pour surmonter la douleur et la fatigue. Ce guide offre les clés pour non seulement booster sa VMA, mais aussi fortifier la résilience mentale, permettant de briser ses limites individuelles, de pulvériser les records personnels, et de profiter enfin d’une vitesse retrouvée en course à pied.

Le Manuel pour Courir Plus Vite, minutieusement détaillé dans ce guide, est un système d'entraînement éprouvé, conçu pour maximiser l'efficacité de chaque session, pour faire de chaque course un pas vers la maîtrise du rythme. Il ne s'agit pas seulement de courir plus rapidement, il s'agit de courir intelligemment, d'optimiser chaque effort pour obtenir les résultats souhaités.

En explorant des stratégies d'entraînement avancées, ce manuel apporte une compréhension profonde de la physiologie de l'accélération, démontrant comment intégrer des techniques d'entraînement spécifiques pour exploiter la puissance des fibres musculaires, améliorer la VMA et décoder le mystérieux rapport entre VO2max et l'accélération. Les plans d'entraînement inclus sont conçus pour des coureurs de tous niveaux.

Que l’on cherche à progresser sur un 5 km ou un marathon, ce guide offre un chemin clair vers l'amélioration des performances. Les séances combinées, le travail en côte, l'intégration des sprints courts et les stratégies de résistance pour l'accélération sont quelques-uns des nombreux sujets traités qui conduiront à une rapidité supérieure.

Ce manuel est plus qu'un livre, c'est un compagnon pour le voyage vers l'excellence en course à pied. Chaque chapitre est une étape vers la compréhension de ce qui est possible avec le bon entraînement, la bonne information, et la passion de courir. Fini les jours de frustration avec des chronos stagnants.

L'heure est venue de réinventer les entraînements, de briser les limites personnelles, et de commencer le voyage vers un rythme qui était une fois pensé comme inatteignable. Dans ces pages, le chemin vers l'excellence en course est dévoilé, promettant une aventure de running enrichissante et transformante.

Pour ceux ou celles qui cherchent des conseils sur comment courir plus vite, des plans d'entraînement Running structurés, et des stratégies pour augmenter sa VMA, ce guide est le compagnon idéal.",979-8864156346,https://m.media-amazon.com/images/I/71a4EVAsrrL._SY522_.jpg,Independently published (12 octobre 2023),Jean-Marc Enguiale
La science du running: Améliorer son entraînement et prévenir les blessures,25.0,"Ce livre, basé sur de nombreuses recherches scientifiques, propose d’analyser votre style de course et d’améliorer vos postures pour une efficacité et une sécurité optimales.
Vous apprendrez la mécanique musculaire afin de reproduire les bons gestes et vous découvrirez les systèmes énergétiques de votre corps pour maximiser le stockage et la conversion d’énergie.

Dans ce guide, vous retrouverez :
• des planches anatomiques détaillant postures, mouvements et actions ;
• des programmes d’entraînement adaptés à différentes capacités et distances (du 5 km au marathon) ;
• des exercices précis et ciblés sur la force, la flexibilité ou encore la récupération.

Que vous débutiez dans la course à pied ou que vous soyez un coureur expérimenté, ce livre vous aidera à atteindre vos objectifs et sans vous blesser !",978-2501158107,https://m.media-amazon.com/images/I/614H530CnxS._SY522_.jpg,Marabout; Illustrated édition (24 février 2021),NAPIER-C
Marathon - 42 destinations et conseils pour prendre le départ,11.96,"42, c'est le nombre de kilomètres d'un marathon. Ce livre présentant 42 marathons est notre sélection de marathons à découvrir dans le monde. Du mythique marathon de New-York à celui moins connu du loch Ness, en passant par les cinq ""majors"" que sont Tokyo, Boston, Londres, Berlin et Chicago, voici une suggestion de destinations permettant d'allier sport et tourisme, visites et balades, offrant également aux accompagnateurs la possibilité d'encourager leur coureur tout en profitant d'un environnement agréable, le temps d'un week-end ou à l'occasion de vacances. Que ce soit à Paris, qui propose un parcours jalonné de très nombreux monuments à admirer, à Valence, qui en offre un ultra roulant, propice à réaliser un record, en passant par le festif marathon du Médoc ou le doyen des marathons européens à Kosice (100e édition en 2023), il y en a pour tous les goûts : grande ville, bord de mer ou environnement bucolique. Peu importe le lieu choisi, un seul but : courir cette distance mythique de 42, 195 km, seul, avec des amis, en famille, dans un esprit de compétition, avec pour objectif principal de réaliser le meilleur temps possible, ou en mode plus contemplatif pour découvrir une ville en courant. Si ce livre vous donne l'envie de courir un marathon, proche ou très loin de chez vous, avec peu de participants ou sur une course de masse, profitez de chaque foulée et savourez. Les éventuelles difficultés rencontrées sont éphémères, les souvenirs et le titre de ""marathonien"" sont pour la vie.",978-2380584844,https://m.media-amazon.com/images/I/71HqkCPasUL._SY522_.jpg,Casa Editions; Illustrated édition (2 mai 2024),Frédéric Poirier
"Se mettre à courir quand on est vieux, gros,(sympa) et pas sportif: Pour vivre mieux et plus longtemps",14.95,"Vous n'avez plus le choix, vous l'avez décidé, vous devez impérativement reprendre une activité physique ! Votre santé en dépend... Quoi de plus naturel que de vous mettre à marcher régulièrement pour, progressivement, commencer à courir afin de mobiliser vos articulations, tonifier votre corps et muscler votre coeur ? L'auteure vous propose de vous accompagner avec bienveillance dans votre démarche afin que vos bonnes résolutions débouchent sur des résultats probants pour votre santé. Vous bénéficiez de conseils de bons sens et de séances extrêmement progressives qui vous permettront d'avancer à votre rythme et de retrouver... une seconde jeunesse. Votre corps et votre médecin vous diront merci !",978-2757604328,https://m.media-amazon.com/images/I/71+UfzlaJfL._SY522_.jpg,AMPHORA (10 mars 2020),NADINE CHARLAT
Courir lentement afin de courir plus vite et plus longtemps – 2e édition,7.84,"Courir lentement afin de courir plus vite et plus longtemps. Le titre de ce livre peut sembler paradoxal et vous laisser perplexe, mais en fait, il réfère simplement à la connaissance des zones physiologiques qui reflètent votre réponse à des vitesses de course de plus en plus grandes.
Ce livre vous enseigne comment analyser en détail vos réponses physiologiques de manière à cibler les zones de fréquences cardiaques qui produiront la meilleure adaptation possible de votre corps à l’entraînement. Et, «meilleure adaptation possible» signifie : amélioration de vos capacités, de votre condition physique, de votre endurance.
Ce livre vous explique aussi pourquoi courir ne suffit pas. Pour atteindre vos objectifs, vous devez :",978-2925189046,https://m.media-amazon.com/images/I/61qqKTzJ6SL._SY522_.jpg,Denis Boucher (23 septembre 2021),Denis Boucher
