Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
L'Impératrice Remariée T01,14.95,"Destinée depuis sa naissance à devenir l’impératrice du Grand Empire de l’Est, Naviæ n’a vécu que pour honorer son titre et son pays. Un jour, pourtant, l’arrivée d’une jeune fille dont son mari semble s’être épris va remettre sa position en question. En proie au doute et à la mélancolie, la souveraine fait alors la rencontre d'un grand et bel oiseau porteur d'un message secret. Intriguée, elle décide de se prendre au jeu. Qui peut bien se cacher derrière cette correspondance mystérieuse ?",978-2811689155,https://m.media-amazon.com/images/I/81xYMLBrFKL._SY522_.jpg,Pika (3 juillet 2024),HereLee
L'amour est dans le thé - Tome 03,7.9,"Le projet d'organiser des mariages dans les champs pour promouvoir le thé d'Isshin est tombé à l'eau ! Chako, qui voulait contribuer à l'essor de la plantation, déprime après l'avoir mise dans une situation délicate. Isshin élabore donc un plan pour résoudre leur problème, mais le prix à payer sera plus grand qu'ils l'imaginent !
Confrontés à une crise majeure imminente dans leur vie de jeunes mariés, nos faux tourtereaux verront leur “amour” mis à l'épreuve !",978-2344058626,https://m.media-amazon.com/images/I/81gOxseb8hL._SY522_.jpg,Glénat Manga; Illustrated édition (15 mai 2024),Umebachi Yamanaka
Et plus si affinités ? - (Coffret intégrale),5.32,"Et plus si affinités ? est une série adorable, mettant en scène deux adolescents déjà en couple. Avec humour et réalisme, Akari Hatta signe une romance aussi efficace que bienveillante.
Minami est une fille sérieuse, issue d'une famille aux règles strictes. Toutefois, en secret, elle fréquente depuis quelque temps le beau Tôdô, qu'elle a rencontré à son petit boulot. De quatre ans son aîné, Tôdô se montre très peu tactile à l'égard de sa petite amie... Minami a pourtant très envie que leur relation passe à la vitesse supérieure, mais elle ne sait pas comment le lui dire. Jusqu'au jour où, malencontreusement, elle laisse traîner au travail un des mangas coquins dont elle raffole...",978-2385690243,https://m.media-amazon.com/images/I/61ROO7TePnL._SY522_.jpg,Akata; Illustrated édition (7 mai 2024),Akari Hatta
My Love Story With Yamada-kun at LVL 999 T01,7.95,"Quand un jeu vidéo devient la meilleure appli de rencontre...
Dans un donjon comme en amour, il faut être prêt à parer les coups !

Akane vient de se faire larguer par son petit ami, qui l'a trompée sur un jeu en ligne. Le coeur brisé, elle décide de se connecter sur le jeu auquel ils avaient l'habitude de jouer ensemble et se défoule sur des ennemis de bas niveau pour évacuer sa tristesse et se changer les idées. C'est là qu'elle rencontre Yamada, un joueur de sa guilde avec un avatar pour le moins atypique. Elle se confie à lui sur sa récente rupture amoureuse, mais il se montre froid et ne semble pas vouloir discuter avec elle.

Plus tard, Akane se fait belle et se rend à une convention du jeu dans l'espoir d'y croiser son ex-petit ami et de lui faire regretter de l'avoir quittée. Elle tombe alors nez à nez avec un beau jeune homme qui, avec son attitude froide, lui rappelle étrangement Yamada...",979-1035505547,https://m.media-amazon.com/images/I/71+1wLDfL3L._SY522_.jpg,Mana Books (19 septembre 2024),Mashiro
Dorohedoro T06,12.99,"L'univers de Q.Hayashida est aussi violent et surprenant, que novateur. Découvrez dans cette série, les bases de ce monde post-apocalyptique, où des factions de mutants et de survivants se livrent une guérilla sans merci. Ce seinen de qualité saura vous transporter dans un univers souvent immersif aux graphismes hors du commun.",978-2302004467,https://m.media-amazon.com/images/I/91UQkCsnDzL._SY522_.jpg,Soleil (17 décembre 2008),HAYASHIDA-Q
L'amour est dans le thé - Tome 02,7.9,"Chako ment sur sa relation avec Isshin afin de repousser son ex-fiancé. Mais ce mensonge s'ébruite dans le voisinage, les obligeant de continuer à jouer la comédie. Entre émissions télévisées et séjour aux sources thermales, la nouvelle vie des deux faux tourtereaux est bien mouvementée !",978-2344058367,https://m.media-amazon.com/images/I/81pdRkRtOGL._SY522_.jpg,Glénat Manga; Illustrated édition (21 février 2024),Umebachi Yamanaka
La Concubine rebelle - Chroniques du pays radieux - Tome 2,6.99,"Entre ruses et secrets, laissez-vous embarquer par les intrigues de La Concubine rebelle, une série de fantasy asiatique mettant en scène une héroïne au caractère bien trempé qui est contrainte de trouver sa place dans un palais hostile.
Alors que l'empereur Zhu Li semble partager les sentiments de Sarannah et qu'ils se sont promis de bâtir ensemble un monde plus juste, celui-ci choisit d'épouser Ban Liang, la fille d'un ministre influent. L'irruption de cette nouvelle venue, qui tente de se rapprocher de Sarannah pour des raisons inconnues, pourrait bien mettre en danger la place de notre héroïne au sein du palais intérieur...",978-2382126400,https://m.media-amazon.com/images/I/71XKB2kwiNL._SY522_.jpg,Akata; Illustrated édition (23 mai 2024),Hiromi Ebira
TOKYO GIRLS BRAVO T.1 (1),6.18,"Sakaé Kaneda, lycéenne de province, a des goûts musicaux pointus et un look étudié. Fraîchement débarquée à Tokyo, elle s'apprête à vivre - enfin ! - la grande vie. Mais alors qu'elle rêve d'être la nouvelle égérie punk, sa mère la prive de sorties et d'argent de poche. Pire, au moindre écart, elle la menace d'aller se faire rééduquer chez sa grand-mère, la "" vieille sorcière "" ! Sakaé, la rebelle, parviendra-t-elle à vivre son rêve, malgré son entourage ringard et les désillusions qui la guettent ?",978-2203006218,https://m.media-amazon.com/images/I/51c8rH36u+L.jpg,CASTERMAN (17 février 2009),KYOKO OKAZAKI
My Love Story With Yamada-kun at LVL 999 T02,7.95,"Quand un jeu vidéo devient la meilleure appli de rencontre...
Dans un donjon comme en amour, il faut être prêt à parer les coups !

Peu de temps après l'avoir rencontré en jeu, Akane commence à côtoyer Yamada dans la vie réelle et son intérêt pour lui ne cesse de grandir. Invitée par la cheffe Princesse Ruri, Akane décide de participer à une convention avec les autres membres de sa guilde. Lors de l'événement, Akane parle à une jolie fille qui ressemble à s'y méprendre à l'avatar de Ruri, mais contre toute attente... celle-ci lui réserve un accueil glacial !

Les rebondissements s'enchaînent dans le quotidien d'Akane et de Yamada, où vie réelle et vie fictive s'entremêlent. Leur amitié en jeu pourrait-elle prendre une tout autre tournure dans la vie réelle ?",979-1035506353,https://m.media-amazon.com/images/I/71idbwB6FHL._SY522_.jpg,Mana Books (19 septembre 2024),Mashiro
Si nous étions adultes... - Tome 9,13.08,"Avec Si nous étions adultes..., Takako Shimura signe une oeuvre particulièrement moderne, en scrutant de près l'intimité de ses personnages. Tiraillées entre le poids de la société et les mauvaises décisions du passé, ses héroïnes trouveront sans mal un écho auprès des lecteurs.
À l'arrivée du printemps, une nouvelle année scolaire dans une nouvelle école commence pour Ayano, tandis qu'Akari croque à pleines dents le bonheur de vivre avec elle. C'est alors que l'institutrice reçoit une lettre de son ancienne élève, Ichika, qui souhaite lui demander quelque chose. Pendant ce temps, Eri est convoquée par la femme de Morita, qui a découvert leur relation adultère...",978-2382127988,https://m.media-amazon.com/images/I/61x9FXNuUkL._SY522_.jpg,Akata; Illustrated édition (7 mai 2024),Takako Shimura
