Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"Running, courir après un objectif et l'atteindre: avec la méthode S.M.A.R.T - 5km, 10km, Semi-marathon, Marathon... Lancez-vous à la conquête de ... grâce à ce livre sur la course à pied",14.65,"Vous souhaitez vous lancer dans le running❓
Vous êtes débutant en course à pied et voulez progresser❓
Vous êtes déjà un coureur aguerri mais aimeriez performer sur de nouvelles distances❓

Nous avons tous un objectif ou une raison propre qui nous motive à courir, que ce soit battre un chrono, boucler un marathon ou simplement réussir à courir plus pour sa santé. Malheureusement, sans méthode ni planification précise, il peut parfois s'avérer compliqué d'atteindre son but.

Si tel est votre cas, ne cherchez plus, voici le guide ultime pour la course à pied qu'il vous faut ! Précis, synthétique, complet et motivant. Que vous soyez un coureur débutant ou confirmé, ce livre vous offre toutes les connaissances et conseils pour optimiser au mieux votre expérience de course en fonction de",979-8857852767,https://m.media-amazon.com/images/I/61MK0k+kfqL._SY522_.jpg,Independently published (17 août 2023),Run Rise
"Running, courir après un objectif et l'atteindre: avec la méthode S.M.A.R.T - 5km, 10km, Semi-marathon, Marathon... Lancez-vous à la conquête de ... grâce à ce livre sur la course à pied",13.44,"Vous souhaitez vous lancer dans le running❓
Vous êtes débutant en course à pied et voulez progresser❓
Vous êtes déjà un coureur aguerri mais aimeriez performer sur de nouvelles distances❓

Nous avons tous un objectif ou une raison propre qui nous motive à courir, que ce soit battre un chrono, boucler un marathon ou simplement réussir à courir plus pour sa santé. Malheureusement, sans méthode ni planification précise, il peut parfois s'avérer compliqué d'atteindre son but.

Si tel est votre cas, ne cherchez plus, voici le guide ultime pour la course à pied qu'il vous faut ! Précis, synthétique, complet et motivant. Que vous soyez un coureur débutant ou confirmé, ce livre vous offre toutes les connaissances et conseils pour optimiser au mieux votre expérience de course en fonction de",979-8857852767,https://m.media-amazon.com/images/I/61MK0k+kfqL._SY522_.jpg,Independently published (17 août 2023),Run Rise
Les 7 clés pour se libérer du tabac + une clé secrète: De 80 000 cigarettes à 7 marathons en 7 jours !,5.57,"Dans ce livre, je te raconte mon histoire avec la cigarette pour t'aider à mieux comprendre ta relation avec la cigarette. On nous dit souvent à quel point la cigarette est nocive mais on nous dit jamais pourquoi est-ce si difficile d'arrêter de fumer.

L'addiction au tabac est très complexe car sans nous en rendre compte on devient notre propre adversaire, on fait de ce qui nous tue notre plus grand réconfort, on fait de notre pire ennemie notre meilleure amie, on fait de notre dépendance notre plus belle des récompenses, on fait de notre prison notre liberté et c'est ce qui rend l'arrêt du tabac si difficile.

J'étais persuadé que je ne fumerai jamais et pourtant j'ai fumé 80 000 cigarettes. Pendant très longtemps je ne voulais même pas arrêter de fumer tant pour moi la cigarette était indispensable. Puis quand j'ai essayé d'arrêter, je me suis retrouvé impuissant, je ne tenais pas une demi-journée, j'étais alors persuadé que je fumerai toute ma vie car ça me paraissait impossible d'arrêter.

Puis la compréhension de cette addiction sera ma révélation et me permettra de m'en libérer très facilement. Avant je ne comprenais simplement pas les mécanismes de cette addiction alors j'échouais tout le temps. Plus j'échouais, plus je pensais être faible et plus ça me paraissait impossible de réussir. J'étais dans un cercle vicieux, je m'enfonçais chaque jour de plus en plus dans cette spirale où je ne voyais pas d'issue.

Tu veux battre cet adversaire qui est la cigarette? Comprend son fonctionnement et tu gagneras !

Je t'explique tout dans ce livre :)",979-8864382110,https://m.media-amazon.com/images/I/61-EokAZemL._SY522_.jpg,Independently published (2 novembre 2023),Vincent Pellaumail
Mon coach running,18.95,"SE LANCER
PROGRESSER
SE CHALLENGER
Tu as envie de te lancer dans la course à pied ?
De progresser pour atteindre un objectif ?
De performer sur les plus longues courses ?

Dans ce guide, je t'accompagne, aux côtés de Julien pour tout savoir
sur la course à pied. Cette discipline n'aura plus aucun secret pour toi.
Tu sauras où et quand courir, quoi et quand manger, comment t'habiller et t'équiper, comment t'échauffer et prendre soin de tes muscles, même en cas de blessure.
Tu trouveras des séances de renforcement musculaire, des plans d'entraînement pour chaque niveau et des plans d'alimentation au quotidien ou en période de compétition.
Bref, tu auras tous les outils pour débuter, progresser et perfomer à ton rythme et selon tes objectifs !

Dans ce livre, je veux partager avec toi ma passion et mon enthousiasme pour la course à pied. Au-delà de la performance sportive et du bien-être qu'elle procure, elle est avant tout un état d'esprit et une philosophie de vie.",978-2412079249,https://m.media-amazon.com/images/I/51+16vh5FJL._SY522_.jpg,First; Illustrated édition (15 septembre 2022),Dorian Louvet
"Courir: De Marathon à Athènes, les ailes aux pieds",16.63,"Ces dernières décennies, un véritable engouement s'est développé pour le ""running"", pratique sportive à la portée de tous. Mais pourquoi courons-nous ? Les Grecs furent les premiers à interroger le dépassement physique, cette façon de se mesurer aux autres et à soi-même, y voyant un moyen de renforcer l'esprit aussi bien que le corps. Après des années passées entre les livres et les grammaires à essayer de ""penser comme pensaient les Grecs"", Andrea Marcolongo a voulu apprendre à ""courir comme couraient les Grecs"". Des difficiles débuts jusqu'à son objectif - courir le marathon sur les traces de Philippidès, premier à accomplir cet exploit il y a deux mille cinq cents ans -, elle nous emmène dans sa découverte de cette pratique, tout en l'interrogeant à travers une fascinante lecture des textes anciens. Que l'on soit ou non un joggeur convaincu, cette méditation érudite et personnelle offre une passionnante approche de la course, au-delà du phénomène de société, en lui donnant une profondeur philosophique et poétique.",978-2073047489,https://m.media-amazon.com/images/I/81zJ7hlN7PL._SY522_.jpg,GALLIMARD (16 mai 2024),Andrea Marcolongo
"Running, courir après un objectif et l'atteindre: avec la méthode S.M.A.R.T - 5km, 10km, Semi-marathon, Marathon... Lancez-vous à la conquête de ... grâce à ce livre sur la course à pied",17.75,"Vous souhaitez vous lancer dans le running❓
Vous êtes débutant en course à pied et voulez progresser❓
Vous êtes déjà un coureur aguerri mais aimeriez performer sur de nouvelles distances❓

Nous avons tous un objectif ou une raison propre qui nous motive à courir, que ce soit battre un chrono, boucler un marathon ou simplement réussir à courir plus pour sa santé. Malheureusement, sans méthode ni planification précise, il peut parfois s'avérer compliqué d'atteindre son but.

Si tel est votre cas, ne cherchez plus, voici le guide ultime pour la course à pied qu'il vous faut ! Précis, synthétique, complet et motivant. Que vous soyez un coureur débutant ou confirmé, ce livre vous offre toutes les connaissances et conseils pour optimiser au mieux votre expérience de course en fonction de",979-8857852767,https://m.media-amazon.com/images/I/61MK0k+kfqL._SY522_.jpg,Independently published (17 août 2023),Run Rise
La science de l'endurance: 40 découvertes qui vont améliorer vos performances,14.23,"« Si vous cherchez des réponses claires et documentées scientifiquement aux questions que vous vous posez sur votre pratique des sports d’endurance, lisez ce livre ! »
– Simon Chrétien, Jogging International

Ce livre intègre, synthétise et adapte toutes les dernières découvertes en science de l’endurance et les traduit en conseils pratiques pour les marathoniens, les triathlètes, les traileurs, les cyclistes.
Grâce à lui, vous allez bénéficier dès aujourd’hui des dernières avancées scientifiques qui vous permettront d’optimiser votre entraînement, de progresser sans vous blesser, d’améliorer vos performances et de prendre encore plus de plaisir dans votre sport.",978-2365497817,https://m.media-amazon.com/images/I/616B4ZvaNIL._SY522_.jpg,THIERRY SOUCCAR; Illustrated édition (12 décembre 2023),Dr Fabrice Kuhn
Yoga sur chaise pour Magrir: Le guide ultime pour perdre la graisse du ventre en moins de 10 minutes et une forme parfaite avec des exercices simples e pratiques. Defi et Plan alimentaire 28 jours,12.05,"💫 Plongez dans l'univers apaisant du ""Yoga sur chaise pour les femmes"" ! 💫

Découvrez comment ce guide révolutionnaire vous permettra d'atteindre votre forme et votre poids idéal en seulement 10 minutes par jour, grâce à des exercices simples et efficaces. Que vous soyez novice ou experte, ce livre vous offre une approche holistique pour transformer votre vie.

📘 À l'intérieur du livre, vous trouverez des explications claires et détaillées sur les différents aspects du yoga sur chaise :

• Explorez les fondements du yoga, comprenez ses bienfaits pour la santé et découvrez comment cette pratique millénaire peut transformer votre quotidien.

• Plongez dans l'univers du yoga sur chaise, une méthode innovante et accessible à tous, en particulier aux femme. Apprenez à tirer parti de ses avantages uniques par rapport au yoga traditionnel.

• Suivez un programme progressif, adapté à votre niveau de compétence. Du programme pour débutantes, avec des postures simples et des séances types sur 28 jours, au programme pour expertes, comprenant des exercices plus avancés et des séances approfondies.

• Explorez également un plan de nutrition sur 30 jours pour compléter votre pratique de yoga et maximiser vos résultats.
•",979-8321149027,https://m.media-amazon.com/images/I/61hqn58aqjL._SY522_.jpg,Independently published (10 avril 2024),Clotilde Morgaut
Daniels'running formula: Méthode d'entraînement du 800 mètres au marathon,24.95,Première adaptation française de ce best-seller ayant fait ses preuves depuis longtemps aux USA (plus de 140 000 exemplaires vendus). Un système de mesure simple permettant de s'entraîner efficacement aux bonnes allures. : Une méthode d'entraînement équilibrée qui met l'accent sur l'endurance et permet de progresser sur les longues distances (aucune séance de VMA). Tous les éléments permettant aux coureurs et aux entraîneurs de créer leurs propres plans d'entraînement.,978-2851809339,https://m.media-amazon.com/images/I/71Z01hs9nJL._SY522_.jpg,AMPHORA; 3e édition (7 mars 2016),JACK DANIELS
"Running, courir après un objectif et l'atteindre: avec la méthode S.M.A.R.T - 5km, 10km, Semi-marathon, Marathon... Lancez-vous à la conquête de ... grâce à ce livre sur la course à pied",12.94,"Vous souhaitez vous lancer dans le running❓
Vous êtes débutant en course à pied et voulez progresser❓
Vous êtes déjà un coureur aguerri mais aimeriez performer sur de nouvelles distances❓

Nous avons tous un objectif ou une raison propre qui nous motive à courir, que ce soit battre un chrono, boucler un marathon ou simplement réussir à courir plus pour sa santé. Malheureusement, sans méthode ni planification précise, il peut parfois s'avérer compliqué d'atteindre son but.

Si tel est votre cas, ne cherchez plus, voici le guide ultime pour la course à pied qu'il vous faut ! Précis, synthétique, complet et motivant. Que vous soyez un coureur débutant ou confirmé, ce livre vous offre toutes les connaissances et conseils pour optimiser au mieux votre expérience de course en fonction de",979-8857852767,https://m.media-amazon.com/images/I/61MK0k+kfqL._SY522_.jpg,Independently published (17 août 2023),Run Rise
