Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Mon rendez-vous avec moi-même – Découvre ta vraie nature: le livre de remplissage ultime avec des exercices passionnants et des découvertes étonnantes sur toi-même,11.95,"Ce livre veut t'inviter à un rendez-vous.

Cependant, le rendez-vous ne doit pas être un rendez-vous ordinaire entre deux personnes. Ce rendez-vous doit être un rendez-vous avec toi-même. Tu vas découvrir des aspects de toi qui sont restés cachés pendant longtemps. Tu vas prendre conscience de tes souhaits et de tes rêves. Tu pourras mieux te comprendre et mieux comprendre ta vie.

Tu commences le voyage le plus important de ta vie : Le voyage à la découverte de soi. Tu vas redécouvrir la personne qui est en toi et t'amuser beaucoup en même temps.

Celui qui ne se connaît pas lui-même est perdu. Celui qui ne s'aime pas lui-même ne peut pas vraiment aimer les autres. Il n'est pas égoïste de passer du temps avec soi-même. Oublie un instant le stress de la vie quotidienne.",979-8353510628,https://m.media-amazon.com/images/I/51u9ZDJdVfL._SY522_.jpg,Independently published (18 septembre 2022),Sofia Rouxel
ABBÉ JULIO - PRIÈRES MERVEILLEUSES - NOUVELLE ÉDITION: Prières Merveilleuses : Pour la Guérison de toutes les Maladies Physiques et Morales - par ... / prières / prieres / guérison / guerison ),11.95,"LA NOUVELLE ÉDITION EST MAINTENANT DISPONIBLE !
-30% OFFRE SPÉCIALE LANCEMENT (7,70€ au lieu de 11,00€)

Dans cette nouvelle édition, vous retrouverez toutes les prières merveilleuses de L’Abbé Julio dans un format plus adapté à leur mise en pratique. De plus, la fin de ce nouvel ouvrage intègre les 7 premiers pentacles de l’Abbé Julio avec leurs significations ainsi que leur mode d’application.

L'Abbé Julio tenait ces prières du guérisseur Jean Sempé, homme de grande vertu, mort en 1892. Cet homme de bien avait des centaines de guérisons miraculeuses à son actif, obtenues au moyen de ces prières. Elles ont de multiples applications, aussi bien pour les maladies physiques que ''morales''.

Le pouvoir de ces prières n’étant plus à démontrer, il vous suffit de les utiliser selon vos besoins et vos envies.",979-8372689008,https://m.media-amazon.com/images/I/61LvI7LJcgL._SY522_.jpg,Independently published (5 janvier 2023),L'Abbé Julio
Neville Goddard - LA LOI - L'oeuvre intégrale,13.52,"Découvrez le secret derrière la loi de l'attraction, une des lois fondamentales de l'univers.

""Neville Goddard - LA LOI - L'oeuvre intégrale"" est une compilation unique d’une toute nouvelle traduction regroupant l'ensemble des 12 publications majeures de Neville Goddard, un des pionniers de la Loi de l’Attraction, la Loi de l’Assomption et de la manifestation créatrice. Cet ouvrage exceptionnel rassemble les enseignements fondamentaux de cet auteur renommé, offrant aux lecteurs un guide complet pour transformer leur vie et atteindre leurs désirs les plus profonds.
Dans ce livre, vous découvrirez les écrits emblématiques de Neville Goddard, qui ont captivé des milliers de personnes à travers le monde. Vous explorerez les concepts clés tels que",979-8375330686,https://m.media-amazon.com/images/I/615-yj2ljTL._SY522_.jpg,Independently published (28 janvier 2023),Neville Goddard
ABBÉ JULIO : PENTACLES ET PRIÈRES: NOUVELLE ÉDITION - Retrouvez les 44 pentacles et les 7 prières de l'Abbé Julio en format plus adapté (livre plus grand et pentacles tous colorisés),10.81,"LA NOUVELLE ÉDITION 2022 EST MAINTENANT DISPONIBLE!
-30% OFFRE SPÉCIALE LANCEMENT (19,18€ au lieu de 27,40€)

Dans cette nouvelle édition, vous retrouverez dans un format plus adapté les 44 Pentacles tous colorisés et les 7 prières de l’Abbé Julio, avec leurs significations ainsi que leur mise en pratique.
Leurs pouvoirs n’étant plus à démontrer, il suffit, selon vos besoins et vos envies, de les utiliser en suivant les instructions données par l’Abbé Julio.
À la fin de l’ouvrage, vous retrouverez les pentacles ainsi que les prières prêts à être découpés.",979-8783562525,https://m.media-amazon.com/images/I/61fXQSNM+2L._SY522_.jpg,Independently published (4 janvier 2022),Abbé Julio
,12.68,,,,,
"Aphorismes sur la Sagesse dans la Vie - Épanouissement personnel, sagesse philosophique et éveil spirituel pour changer sa vie: Édition Intégrale et Collector",15.5,"Plongez dans l'univers profondément réfléchi d'Arthur Schopenhauer avec ""Aphorismes sur la Sagesse dans la Vie"".

Dans ce recueil, Schopenhauer nous offre une vision inégalée de l'existence humaine. À travers une division fondamentale en six chapitres éclairants, il nous invite à nous interroger sur l'essence même de notre être, sur ce que nous possédons réellement, sur le rôle que nous jouons dans ce vaste théâtre qu'est la vie.
Découvrez les parénèses et maximes qui ponctuent ces pages, chacune résonnant comme une leçon précieuse pour quiconque aspire à une compréhension plus profonde du monde qui l'entoure. En plongeant dans",979-8867255695,https://m.media-amazon.com/images/I/716GgVDcyBL._SY522_.jpg,Independently published (10 novembre 2023),Arthur Schopenhauer
Frequency Wave Theory: Expands on Terrence Howard’s Theories,19.68,"Frequency Wave Theory: Expands on Terrence Howard’s Theories
By Drew Ponder
Unlock the mysteries of the universe with ""Frequency Wave Theory: Expands on Terrence Howard’s Theories"" by Drew Ponder. This groundbreaking book delves into a revolutionary framework that redefines our understanding of reality, bridging the gap between science, philosophy, and everyday life.
Discover the Power of Frequencies
In this comprehensive exploration, Drew Ponder takes you on a journey through the foundational principles of Frequency Wave Theory, revealing how all matter and energy are manifestations of underlying waveforms. From subatomic particles to cosmic structures, this theory offers a unified perspective that explains the complex dynamics of the natural world.",979-8326603807,https://m.media-amazon.com/images/I/61e2YQgm+8L._SY522_.jpg,Independently published (25 mai 2024),Drew Ponder
Métaphysique,13.0,"Il n'y avait à ce jour que deux traductions disponibles de la Métaphysique d'Aristote en français. Celle de Jules Barthélémy Saint-Hilaire date de 1878. Il est évident que depuis sa parution beaucoup de travaux en codicologie, en paléographie et en philosophie ont amélioré notre connaissance du texte et notre compréhension de son contenu. La seconde traduction, celle de Jules Tricot, a paru en 1933, puis a été plusieurs fois rééditée, en particulier en 1964. Le traducteur déclare lui-même avoir voulu ""rendre la pensée d'Aristote"" plutôt que de s'astreindre à ""une exactitude littérale"" . La présente traduction suit une méthode exactement opposée : elle se conforme rigoureusement au texte grec, tel qu'il est transmis par les manuscrits les plus anciens, pour tenter de saisir la pensée d'Aristote. Il est clair que la tâche n'en est pas simplifiée. Cependant l'évolution des connaissances philologiques et philosophiques autant que les exigences actuelles en matière de traduction montrent l'utilité de proposer une nouvelle version d'un texte rarement traduit.",978-2080705631,https://m.media-amazon.com/images/I/71nMpGG+VZL._SY522_.jpg,FLAMMARION (20 février 2008),Aristote
Basic Writings,16.24,"“One of the most profound thinkers of the 20th century.” — New York Times
The finest single-volume anthology of the great philosopher’s work, with a new introduction by leading Heidegger scholar Taylor Carman
Basic Writings is the finest single-volume anthology of the work of Martin Heidegger, widely considered one of the most important modern philosophers. Its selections offer a full range of the influential author's writings—including ""The Origin of the Work of Art,"" the introduction to Being and Time, ""What Is Metaphysics?,"" ""Letter on Humanism,"" ""The Question Concerning Technology,"" ""The Way to Language,"" and ""The End of Philosophy."" This essential collection provides readers with a concise introduction to the groundbreaking philosophy of this brilliant and essential thinker.",978-0061627019,https://m.media-amazon.com/images/I/61Pb6A-DVEL._SY522_.jpg,Harper Perennial Modern Classics (4 novembre 2008),Martin Heidegger
Florence Scovel Shinn - L'oeuvre intégrale - 4 Livres en 1: Le jeu de la vie et comment le jouer / Votre Parole est votre baguette magique / La porte secrète du succès / Le pouvoir de la Parole,12.27,"Toute l’oeuvre de Florence Scovel Shinn - auteure métaphysique du début du 20ème siècle - en UN SEUL LIVRE:
Le Jeu de la vie et comment le jouer (1925)
Votre Parole est votre baguette magique (1928)
La porte secrète du succès (1940)
Le pouvoir de la Parole (1945)
Dans ses livres, Florence Scovel Shinn enseigne que la pensée positive, la confiance en soi et la foi en un pouvoir supérieur peuvent influencer positivement notre réalité et conduire à la réalisation de nos désirs les plus profonds. Elle encourageait les gens à se défaire des pensées négatives et des croyances limitantes pour attirer le succès, la prospérité et le bonheur dans leur vie.",979-8854125208,https://m.media-amazon.com/images/I/7174eK9KpRL._SY522_.jpg,Independently published (29 juillet 2023),Florence Scovel Shinn
