Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
,12.41,,,,,
,18.85,,,,,
"Le Régime Anti-Inflammatoire: Le livre de cuisine pour débutants avec un plan de repas - Renforce ton système immunitaire, soigne ton corps et booste ta santé avec des recettes saines et délicieuses",17.47,"Le guide complet de l’alimentation anti-inflammatoire pour débutants
Élimine l'inflammation chronique qui te cause souffrances, mal-être et handicap au quotidien. À l'origine de nombreuses maladies, parfois mortelles, l'inflammation chronique peut pourtant être combattue en grande partie par l’alimentation. Adopte les bons réflexes et prends soin de ton corps grâce aux conseils prodigués dans cet ouvrage et régale-toi avec nos recettes spécialement dédiées à la lutte contre l'inflammation chronique !
Tu es intéressé par ce mode de vie simple et salvateur ? Clique sur “Acheter” pour te procurer sans plus attendre ce précieux ouvrage.",979-8872322429,https://m.media-amazon.com/images/I/7178T96Uo0L._SY522_.jpg,Independently published (19 décembre 2023),Abelle Leroy
N’attendez pas de tomber (vraiment) malade !: Tous les conseils du Dr Yoni Assouly (@dr_yoni_assouly) pour rester naturellement en bonne santé,19.9,"Découvrez les lois naturelles de votre santé !
« Au début de ma carrière de médecin, j’ai constaté que les médicaments soulageaient les patients à court terme… mais que leurs problèmes de santé finissaient par réapparaître aussitôt le traitement terminé. »
Pourquoi ? Parce que la médecine moderne ne s’attaque souvent qu’aux symptômes, pas aux causes de la maladie.
Dans ce livre, le docteur Yoni Assouly révèle les lois naturelles de votre santé, pour prévenir et soigner :
les troubles digestifs,
le surpoids,
les troubles du sommeil,
la fatigue,",978-2807359604,https://m.media-amazon.com/images/I/71u9r21mkAL._SY522_.jpg,DE BOECK SUP; 1er édition (24 avril 2024),Yoni Assouly
"Le Régime Anti-Inflammatoire: Découvrez des astuces simples pour purifier votre corps, renforcer votre système immunitaire tout en retrouvant une silhouette uniforme.",7.75,"⭕️ Vous souffrez d’inflammation chronique? Vous avez tout essayé sans succès?

⭕️ Vous aspirez à retrouver un confort de vie avec des méthodes simples et naturelles?

⭕️ Vous voulez améliorer votre santé et commencer ainsi une vie plus saine?

Si vous avez répondu à une ou plusieurs de ces questions, le livre ""Le Régime Anti-Inflammatoire"" va vous apporter des solutions simples et naturelles qui changeront votre vie durablement voire définitivement.",979-8321901403,https://m.media-amazon.com/images/I/71l+y395dGL._SY522_.jpg,Independently published (5 avril 2024),Martine Voclain
AVE CESAR 1789,6.83,"Ce livre, c’est mon histoire, mon carnet d’aventure, commencé dès le premier jour où j’ai appris que j’avais développé un cercan.
Ce jour-là, je suis rentré dans un labyrinthe.
J’ai voulu comprendre, j’ai voulu apprendre, pour me donner le maximum de chance d’en sortir.
J’ai mené une enquête sur mon mode de vie, sur ma réalité, pour regrouper tous les facteurs pouvant influer sur cette pathologie.
Nous avons deux vies, la deuxième commence quand on comprend que nous en avons qu’une.
Je me suis réveillé et j’ai compris !",979-1041542529,https://m.media-amazon.com/images/I/61Vk6dusSGL._SY522_.jpg,CS64 (7 mai 2024),Christophe Serresseque
,14.3,,,,,
Gourmandises IG Bas: Recettes plaisir pour des Goûters et Desserts IG Bas faciles,9.7,"Qui a dit que la cuisine IG bas interdisait le plaisir ? Avec nos recettes de desserts IG bas, régalez-vous avec de délicieux cookies et gourmandises à faible index glycémique, qui limiteront votre glycémie tout en enchantant vos papilles !

❌ Vous cherchez à garder la ligne, mais vous ne savez pas comment vous passer du sucre et vous faire plaisir malgré tout ?
❌ Vous pratiquez déjà le régime IG bas, et vous pensez ne plus pouvoir déguster un dessert digne de ce nom sans casser votre détox sucre ?

Dites enfin adieu à la frustration : avec « Gourmandises IG Bas », de délicieuses recettes sucrées et gourmandes vous attendent",979-8421839132,https://m.media-amazon.com/images/I/61YAdKmwd-L._SY522_.jpg,Independently published (23 février 2022),IGFacile
"So Good: The instant #1 Sunday Times bestseller: Food you want to eat, designed by a nutritionist",29.02,"THE NUMBER 1 SUNDAY TIMES BESTSELLER

Delicious recipes. Nutritionally balanced. So Good.

When we think of nutrition and eating well, so many of us jump to the words 'diet', 'unenjoyable', and 'sacrifice'. Sometimes we see healthy eating as something we should do, rather than something we want to do.

This is the book to help you kickstart healthy eating as an enjoyable lifelong habit rather than a fad for a week. A perfect collection of over 80 vibrant, tasty and easy recipes all steeped in nutritional science, So Good explains the principles of healthy eating in a fun and relatable way.

With recipes including...

Fluffy Ricotta Lemon Pancakes
Hot Honey Halloumi Avocado Toast
Mango And Crunchy Chickpea Salad, With Jalapeno Dressing.
Chicken And Spicy Guacamole Lunch Time Tacos
Garlic Crumbed Salmon With Courgettes And Yoghurt
Creamy Parmesan Chickpeas With Pickled Chillies
Greek Yoghurt Roasted Strawberry Eton Mess

Food should be a celebration, a memory, a moment. It's not about counting calories; it's about making every meal count. Let every meal you make nourish your body and bring you joy with every bite.

Number 1 Sunday Times bestseller, May 2024",978-1399620055,https://m.media-amazon.com/images/I/71-rJ9rZ6jL._SY522_.jpg,Seven Dials (9 mai 2024),Emily English
Mon Agenda Minceur 365 Jours: Joli Cahier de Rééquilibrage Alimentaire et de Suivi de Régime Journalier et d’activités Sportives- Meilleure Idée De Cadeau Pour Femme,10.48,"Nous savons tous combien c’est frustrant d’avoir essayé un régime particulier afin de perdre du poids mais l’avoir abandonné rapidement du moment que les résultats obtenus ne se lèvent pas à nos attentes et à nos espérances.
Pour atteindre votre objectif d’un corps idéal vous devez savoir que la perte de poids ne se résume pas au suivi d’un régime alimentaire particulier mais elle consiste surtout sur le changement et l’amélioration de votre mode de vie en sa totalité.
Vous devez adopter une approche globale visant à améliorer plusieurs aspects de votre vie quotidienne : votre besoin en sommeil, nourriture, activités physiques, hydratation, suppression de mauvaises habitudes, motivations, spiritualité ……etc.",,https://m.media-amazon.com/images/I/61vFlhOjQ6L._SY522_.jpg,Independently published (27 mars 2023),Livres Sanitaires Editions
Air Fryer IG Bas Facile: 300 Recettes Rapides et Sans Effort,16.1,"Air Fryer IG Bas Facile : 300 Recettes Rapides et Sans Effort pour Tous
Le grand livre de recettes Air Fryer français et IG Bas : 300 recettes faciles, savoureuses et inratables pour tous les jours.
Bienvenue dans le monde de la cuisine à l’Air Fryer, où simplicité rime avec plaisir !
Si vous cherchez à transformer votre routine culinaire avec des recettes simples, rapides et savoureuses tout en respectant les principes de l'alimentation à indice glycémique bas, ""Air Fryer IG Bas Facile"" est le guide parfait pour vous.

Vous êtes :
❌ Fatigué(e) des idées reçues sur la cuisine à l'Air Fryer, limitée à des frites et ailes de poulet ?
❌ Vous souhaitez des plats variés, croustillants et sains, adaptés à une alimentation à indice glycémique bas ?
❌ En quête de recettes faciles, sans ingrédients compliqués ni processus fastidieux ?",979-8877720206,https://m.media-amazon.com/images/I/71ynXHjFMmL._SY522_.jpg,Independently published (30 janvier 2024),IG Media
,15.92,,,,,
Glucose Revolution: The life-changing power of balancing your blood sugar,15.64,"***THE INSTANT SUNDAY TIMES BESTSELLER***

""Jessie (a.k.a. the Glucose Goddess) takes you on a fun and informative journey to understand how food affects your sugar spikes and your health. This practical guide is full of wonderful tips and hacks on how and what to eat; a must for anyone who wants to understand their body and improve their health."" - Professor Tim Spector, author of Diet Myth and Spoon Fed, professor of genetic epidemiology at King's College, London

""Glucose Revolution will help you feel better, cut cravings, connect with yourself, balance your hormones, live longer, teach you science and put a smile on your face along the way. This book is one of my references - don't wait to read it."" - Davinia Taylor, British actor and #1",978-1780725239,https://m.media-amazon.com/images/I/71VRx5RJhxL._SY522_.jpg,Short Books (31 mars 2022),Jessie Inchauspe
Le miracle de l'argent colloïdal: Un remède pour tout et un antibiotique naturel ! Découvrez les vertus de l'argent colloïdal et comment en fabriquer à la maison,13.83,"Et si je vous disais qu’un antibiotique naturel pourrait guérir tous vos maux ? Me croiriez-vous ?
Pire encore, si je vous disais que ce même antibiotique naturel était discrédité par les industries pharmaceutiques, car il menace leurs chiffres d'affaires, me croiriez-vous ? Et si je vous disais qu’il ne coûte quasiment rien et ne dispose d’aucun effet secondaire, à nouveau, me croiriez-vous ?
Pourtant, il existe bel et bien : L’argent colloïdal !
Mais qu’est-ce que l’argent colloïdal et à quoi sert-il ? Où s’en procurer et même comment le fabriquer ? Voici quelques-unes des nombreuses questions auxquelles ce livre répond.",979-8428516555,https://m.media-amazon.com/images/I/613PF4M4ggL._SY522_.jpg,Independently published (7 mars 2022),Roger Poncelet
