Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Les Indégivrables Infox à gogo,19.0,"Satiriques, ridicules, craquants, mordants, givrés, incorrigibles : en un mot, Indégivrables ! Ces drôles de petits pingouins aiment bien poser les questions qui fâchent et mettre les pieds dans le plat. Leur allure humaine, leurs travers, individuels et collectifs, leurs convictions qui naviguent entre absurdité et clairvoyance en font nos doubles inconséquents, dérisoires et burlesques. A travers eux, Xavier Gorce livre une analyse mordante de notre société. Cet ouvrage rassemble une sélection de dessins autour des différentes problématiques liées aux fake news et à la liberté d'expression. Des excès des réseaux sociaux à la cancel culture, du règne de la rumeur au droit au blasphème, entre petites lâchetés et scandales insupportables, c'est toute l'absurdité de nos comportements incohérents que l'au>teur dénonce avec un humour grinçant, réveillant ainsi nos consciences.",978-2283035801,https://m.media-amazon.com/images/I/51DHiauvm1L._SY522_.jpg,BUCHET CHASTEL; Illustrated édition (21 octobre 2021),Xavier Gorce
Les Indégivrables Infox à gogo,19.0,"Satiriques, ridicules, craquants, mordants, givrés, incorrigibles : en un mot, Indégivrables ! Ces drôles de petits pingouins aiment bien poser les questions qui fâchent et mettre les pieds dans le plat. Leur allure humaine, leurs travers, individuels et collectifs, leurs convictions qui naviguent entre absurdité et clairvoyance en font nos doubles inconséquents, dérisoires et burlesques. A travers eux, Xavier Gorce livre une analyse mordante de notre société. Cet ouvrage rassemble une sélection de dessins autour des différentes problématiques liées aux fake news et à la liberté d'expression. Des excès des réseaux sociaux à la cancel culture, du règne de la rumeur au droit au blasphème, entre petites lâchetés et scandales insupportables, c'est toute l'absurdité de nos comportements incohérents que l'au>teur dénonce avec un humour grinçant, réveillant ainsi nos consciences.",978-2283035801,https://m.media-amazon.com/images/I/51DHiauvm1L._SY522_.jpg,BUCHET CHASTEL; Illustrated édition (21 octobre 2021),Xavier Gorce
Jennifer Aniston: L'impossible bonheur,24.95,"Découvrez la fascinante histoire de l'une des actrices les plus emblématiques de notre époque. Plongez dans la vie d'une célébrité hors du commun : son parcours, ses succès et ses épreuves.

Cette biographie captivante retrace l'incroyable ascension de Jennifer Aniston, une « girl next door » californienne, enfant de la balle qui rêvait de faire mieux que ses parents. Légendaire Rachel de la série Friends, mariée un temps au sex-symbol de l'Amérique, Jennifer Aniston a gagné son statut d'icône et son étoile sur Hollywood boulevard.

Mais plus que l'actrice, c'est la femme qui mérite d'être connue. Son rêve de maternité brisé, son mariage ultra-compliqué avec Brad Pitt et les véritables raisons de leur rupture, ses relations jamais apaisées avec sa mère, sont autant d'épreuves qu'elle a su surmonter. Aux prises avec les démons de son ami Matthew Perry - c'est elle qui, la première, a deviné ses addictions - elle reste aujourd'hui le pilier de la famille de",978-2017234418,https://m.media-amazon.com/images/I/81DDkRmZFLL._SY522_.jpg,Hachette Pratique (15 mai 2024),Anaïs Maquiné Denecker
Incandescente pour toujours,19.0,"Professeure de chant de la Star Academy, Adeline Toniutti est LA révélation, sur TF1, de l'émission culte. Chaque semaine, sa flamboyance, son énergie, son expertise ont touché des millions de téléspectateurs. Derrière les feux des projecteurs, celle qu'on surnomme la « fille du facteur » ou la « soprano rock'n'roll » a réalisé un véritable parcours du combattant pour traverser les épreuves que la vie lui a infligées et pour retrouver le bonheur. Destinée à être chanteuse d'opéra, un accident domestique la prive de sa voix. Son compagnon se met alors à la maltraiter, les coups s'enchaînent, anorexie et chute sociale s'ensuivent. Cette vie, qui a pu la mener au bord du suicide, Adeline Toniutti nous la raconte dans Incandescente pour toujours. Intime, elle se livre, « l'âme dans la plume », à travers un récit poignant avec le ton et la force qu'on lui connaît, afin de nous rappeler : « Tant qu'on respire encore et qu'on ne nous a pas fermé les yeux, il faut se battre. »",978-2268110349,https://m.media-amazon.com/images/I/71L4QhM0B2L._SY522_.jpg,Editions du Rocher (3 avril 2024),Adeline Toniutti
"Moi, millionnaire ?",18.9,"L'incroyable destin de Bruno Hourcade, grand vainqueur des "" 12 Coups de Midi "" et recordman de victoires individuelles dans un jeu télé
Je n'étais, a priori, pas destiné aux paillettes des plateaux de télévision. Mais les livres, qui ont toujours été mes compagnons, ont guidé ma soif d'apprendre et de me cultiver. Une curiosité qui m'a propulsé, le 20 janvier 2021, sur le plateau des "" 12 Coups de Midi "", l'émission de jeu de culture générale la plus populaire de France, animée par le charismatique Jean-Luc Reichmann.

Neuf mois plus tard, je me retrouvais à la tête de plus d'un million d'euros. Un record en termes d'argent gagné, mais aussi de participations, deux-cent-cinquante-deux jours au total et une somme que je n'aurais jamais réussi à accumuler en toute une vie de travail.

Une aventure à peine imaginable que je vous propose de suivre à mes côtés en vous dévoilant au passage les coulisses de cette télévision qui a fait de moi un millionnaire.",978-2701404158,https://m.media-amazon.com/images/I/6149KCY9xWL._SY522_.jpg,Hors Collection (18 avril 2024),Bruno Hourcade
Dictionnaire Le Robert de Poche langue française,9.95,"La nouvelle édition du dictionnaire de référence dans un format pratique.
LE DICTIONNAIRE DE RÉFÉRENCE DANS UN FORMAT PRATIQUE

Un dictionnaire de langue française :
66 000 définitions
De nombreux exemples d'emploi
Les niveaux de langue (littéraires, familier, argotique...)
Les synonymes et les contraires
Les expressions et locutions
Pour écrire sans fautes :
Toute la conjugaison
Une grammaire complète
Un aide-mémoire d'orthographe
Pour développer sa culture générale :
10 000 noms propres (personnes, lieux, évènements) dans tous les domaines: histoire, géographie, arts, science, politique...",978-2321016557,https://m.media-amazon.com/images/I/61+smzT17EL._SY522_.jpg,Le Robert (7 mai 2021),Collectif
Les Indégivrables Infox à gogo,19.0,"Satiriques, ridicules, craquants, mordants, givrés, incorrigibles : en un mot, Indégivrables ! Ces drôles de petits pingouins aiment bien poser les questions qui fâchent et mettre les pieds dans le plat. Leur allure humaine, leurs travers, individuels et collectifs, leurs convictions qui naviguent entre absurdité et clairvoyance en font nos doubles inconséquents, dérisoires et burlesques. A travers eux, Xavier Gorce livre une analyse mordante de notre société. Cet ouvrage rassemble une sélection de dessins autour des différentes problématiques liées aux fake news et à la liberté d'expression. Des excès des réseaux sociaux à la cancel culture, du règne de la rumeur au droit au blasphème, entre petites lâchetés et scandales insupportables, c'est toute l'absurdité de nos comportements incohérents que l'au>teur dénonce avec un humour grinçant, réveillant ainsi nos consciences.",978-2283035801,https://m.media-amazon.com/images/I/51DHiauvm1L._SY522_.jpg,BUCHET CHASTEL; Illustrated édition (21 octobre 2021),Xavier Gorce
Oxford English Dictionary,7.38,"This fully updated edition offers over 120,000 words, phrases, and definitions. It covers all the words you need for everyday use, carefully selected from the evidence of the Oxford English Corpus, a databank of 21st century English, containing over 2 billion words.The Factfinder centre section gives quick-reference entries on topics including famous people, countries, and science.",978-0199640942,https://m.media-amazon.com/images/I/71WBsAYF7TL._SY522_.jpg,Franklin Watts; 7e édition (7 mai 2012),Oxford Languages
La Prochaine fois je vous l'écrirai...,22.0,""" Nommer ma dette ne suffit pas à la payer. Peut-être même cela l'aggrave-t-il. Après tout, comme le disait Victor Hugo : ""Il y a, dans l'admiration, je ne sais quoi de fortifiant.' ""
Philippe Meyer n'est jamais meilleur qu'en admirant ceux dont il brosse le portrait. La galaxie épatante de ses amis donne le tournis : deux académiciens, deux cinéastes, un ancien Premier ministre, mais aussi des inconnus, comme un médecin luttant pour la dignité des malades mentaux, un jeune haut fonctionnaire pétri d'idéaux...
Parmi ceux qu'il a aimés, on retrouve les figures de Bertrand Tavernier, Cyril Collard, Annie Kriegel, Pierre Desproges, Michel Rocard, Frédéric Rossif, René de Obaldia, Charles Aznavour, Jean-Marie Domenach, Jean-François Revel, Claude Sautet, Jean d'Ormesson...
Parfois piquant, toujours tendre, avec son humour subtil et sa culture ébouriffante, Philippe Meyer rend grâce et c'est formidable.",979-1037511751,https://m.media-amazon.com/images/I/618DHBfWEzL._SY522_.jpg,Les Arènes (25 avril 2024),Philippe Meyer
Je m'appelais Franck,9.2,""" Je vais te raconter ma vie. Une vie de surprises, de chocs et de désillusions qui m'a fait prendre conscience de la fragilité de l'existence. Mais un parcours ponctué d'expériences plus ou moins heureuses dont j'ai toujours tiré une leçon. Et déjà, tu le sais, puisque c'est le titre du livre : avant d'être Vincent, je m'appelais Franck... ""
"" Je vais te raconter ma vie. Une vie de surprises, de chocs et de désillusions qui m'a fait prendre conscience de la fragilité de l'existence. Mais un parcours ponctué d'expériences plus ou moins heureuses dont j'ai toujours tiré une leçon. Et déjà, tu le sais, puisque c'est le titre du livre : avant d'être Vincent, je m'appelais Franck... ""

"" Vincent Lagaf' est un survivant. """,978-2266340755,https://m.media-amazon.com/images/I/71ncSAwW-AL._SY522_.jpg,Pocket (4 avril 2024),Vincent Lagaf
