Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Le Petit Guide illustré du TDAH: Enfin comprendre comment je fonctionne ! Enfin apprendre à vivre avec !,16.17,"Qu'est-ce qui ne va pas chez moi ? Qu'est-ce que ça fait de vivre avec un TDAH ? Puis-je avoir ce trouble et m'épanouir ?
Alice Gendron est bien placée pour en parler, elle qui a longtemps vécu avec un trouble du déficit de l'attention avec ou sans hyperactivité (TDAH) sans comprendre ce qui lui arrivait. Son objectif: à travers ses illustrations et ses conseils pratiques, réaffirmer à ceux qui ont ce trouble ou qui vivent avec une personne diagnostiquée TDAH, et pour qui la vie quotidienne est un défi, qu'ils ne sont pas seuls avec leur atypisme et qu'il leur est possible de s'épanouir !
Ce guide en trois parties offre un aperçu complet de ce que c'est que vivre avec un TDAH, et des solutions concrètes : Tout ce que vous devez savoir sur le TDAH : types, symptômes, diagnostic, idées fausses, glossaire.",978-2226486523,https://m.media-amazon.com/images/I/71+74lv9LQL._SY522_.jpg,Albin Michel; Illustrated édition (4 octobre 2023),Alice Gendron
Neurovision chez l'enfant et troubles des apprentissages,45.0,"L'ouvrage
La vision est à la fois l'un de nos meilleurs outils pour explorer notre environnement et un ressort capital des apprentissages.

Souvent masqués ne se révélant alors que par des troubles des apprentissages les dysfonctionnements neurovisuels sont complexes et pluriels pouvant concerner l'attention visuelle ou visuo-spatiale les stratégies d'exploration visuelle l'organisation visuo-spatiale du geste ou encore l'interprétation des images rétiniennes (gnosies).

Cet ouvrage aborde ainsi en trois temps les liens entre neurovision et troubles des apprentissages chez l'enfant :
l'analyse du message visuel à partir du chiasma optique la description des voies empruntées et des connexions cérébrales ;
les méthodes d'exploration des fonctions visuelles et neurovisuelles ainsi que l'interprétation des bilans spécifiques ;
l'impact de ces troubles dans les apprentissages scolaires (dyslexies/dysorthographies dyspraxies dyscalculies) les caractéristiques de leurs manifestations cliniques ainsi que les principales stratégies d'aide pour un accompagnement efficace des jeunes concernés.",978-2294786525,https://m.media-amazon.com/images/I/71Tz3vSfJBL._SY522_.jpg,Elsevier Masson (22 mai 2024),Michèle Mazeau
Mon cerveau a besoin de lunettes - Le TDAH expliqué aux enfants - 4e édition,13.9,"Le TDAH vu par les enfants.
Le trouble du déficit de l'attention avec ou sans hyperactivité (TDAH) est une problématique fréquente, mais encore souvent méconnue. Les enfants ont besoin de comprendre cette affection autant que les adultes, et le présent ouvrage représente un trésor d'informations et de trucs utiles à leur offrir en cadeau pour répondre à leurs questions. Le journal imaginaire de Tom, un garçon de huit ans, permet aux enfants (et à leurs parents et aux intervenants) de composer plus efficacement avec le TDAH. Les mots drôles et imaginatifs de cet ami fictif, accompagnés de jolis dessins d'enfants, guident les jeunes lecteurs dans leur découverte du TDAH afin de bien comprendre leur situation qui comporte de multiples défis qui n'ont rien d'imaginaires.

Fidèle au ton et à l'esprit des éditions antérieures, ce nouvel ouvrage a été mis à jour pour mieux répondre aux besoins des lecteurs d'aujourd'hui. L'information scientifique s'appuie sur les données concluantes les plus récentes. Les stratégies pour mieux composer avec le TDAH s'accompagnent de conseils, particulièrement sur des sujets comme le mode de vie et la gestion du temps, les émotions (partie bonifiée), ainsi que la vie scolaire. Une nouvelle section a été ajoutée pour mieux décrire le problème d'inattention. Un livre indispensable pour toute personne déjà touchée par cette question ou qui veut en apprendre davantage sur le sujet.",978-2761958851,https://m.media-amazon.com/images/I/617mgs+psqL._SY522_.jpg,de l'Homme; 4e édition (21 avril 2022),Annick Vincent
Manuel de l'hyperactivité et du déficit de l'attention: Le TDAH chez l'adulte,6.32,"Des diﬃcultés à se concentrer et à s’organiser… De l’impulsivité et des émotions non contrôlables… Une tendance à couper la parole et à multiplier les oublis… Le TDAH (trouble du déﬁcit de l’attention avec ou sans hyperactivité), s’il est souvent diagnostiqué chez les enfants, est pourtant fréquent chez les adultes. Les personnes TDAH, fâchées avec les contraintes et la routine, dépassées voire épuisées à force de compenser les diﬃcultés, en souﬀrent autant au travail que dans leur vie personnelle.

Ce livre présente les particularités du TDAH chez les adultes, ses symptômes, les diﬃcultés qu’il génère et les troubles fréquemment associés, ainsi que ses liens avec le haut potentiel et la bipolarité notamment. Il fait un point sur le diagnostic et présente de nombreuses stratégies à mettre en place pour faciliter le quotidien et les relations sociales. Riche d’outils et de témoignages, ce manuel pratique sera aussi utile aux personnes TDAH qu’à leurs proches.",978-2212572025,https://m.media-amazon.com/images/I/61N0rN6E02L._SY522_.jpg,EYROLLES; Illustrated édition (24 septembre 2020),Martin Desseilles
Mon cerveau a encore besoin de lunettes - Le TDAH chez les adolescents et les adultes - 4e édition,14.52,"Le TDAH expliqué aux grands.
Les difficultés à moduler l'attention, les mouvements et les comportements liés au trouble du déficit de l'attention avec ou sans hyperactivité (TDA/TDAH) se manifestent dès l'enfance et 60% de ces enfants en gardent des symptômes à l'âge adulte .Il importe de comprendre ce qui se cache derrière les symptômes, d'identifier les impacts et de mettre en place des stratégies efficaces. Celles-ci agissent comme des "" lunettes pour le cerveau"", qui aident l'individu à mieux centrer son attention et à s'automoduler. Au fil des clins d'œil humoristiques et des témoignages vivants, le lecteur découvre les symptômes cliniques et les traitements pharmacologiques pour traiter ce trouble neurologique.
Fidèle au ton et à l'esprit des ouvrages précédents, la présente édition a été mise à jour pour mieux répondre aux besoins des lecteurs d'aujourd'hui.",978-2761958837,https://m.media-amazon.com/images/I/61-jWlMNVsL._SY522_.jpg,de l'Homme; 4e édition (21 avril 2022),Annick Vincent
La santé mentale en france,49.0,"Avec treize millions de personnes concernées chaque année par un trouble psychique en France, la « médecine de l’âme » s’est installée au cœur de la santé publique de ce XXIe siècle. Jamais les Français n’ont été si nombreux à s’intéresser à la santé mentale et à la psychiatrie.

Toutefois, la morosité règne parmi les acteurs des soins, les patients et leurs proches : listes d’attentes interminables pour obtenir un rendez-vous, difficultés d’accès à certaines thérapeutiques, déstabilisation due à la crise de la Covid-19, discours simplistes ou caricaturaux… La psychiatrie a pourtant profondément évolué au cours des dernières décennies.

Ce livre est donc né d’une double ambition. D’une part, permettre au lecteur d’embrasser ce que sont santé mentale et psychiatrie en France au quart de ce siècle. D’autre part, porter un plaidoyer citoyen, afin de faire de la psychiatrie une grande cause nationale.

Trois axes structurent l’ouvrage : les troubles et thérapeutiques ; l’organisation des soins ; la place de la santé mentale dans nos sociétés avec l’éclairage des sciences humaines.

De façon inédite, 114 auteurs, issus de toute la France, médecins, directeurs d’hôpitaux, universitaires, soignants, personnes concernées, représentants institutionnels, dessinent, chacun dans leur champ, les grands enjeux d’aujourd’hui et de demain, pour imaginer le monde d’après.

Œuvre collective dans la nuit, ce livre se veut un pas sur le chemin de l’aurore.",978-2848749884,https://m.media-amazon.com/images/I/61pGVuQHGxL._SY522_.jpg,Les Etudes Hospitalières édition (22 mai 2024),LEH Edition
"Papa pour la Premiére Fois: Le guide pratique pour les SuperPapas. Comment être le meilleur partenaire et parent,de la conception à la naissance et bien plus encore. Exercises, Anecdotes et Réflexions",6.45,"Devenir un Super Papa ne se fait pas par hasard mais par choix. Découvre comment tu peux devenir le meilleur père et le meilleur partenaire, une étape à la fois.

OK, si tu as réussi à surmonter le choc de ce bizarre thermomètre qui montre les deux lignes parallèles, tu es déjà sur la bonne voie. Tu vas devenir un père, et c’est maintenant que commence la partie la plus difficile. Commençons par une chose : il n'y a rien de plus naturel que de ne pas se sentir prêt à commencer une aventure de cette ampleur. C'est la réflexion à laquelle tout nouveau parent doit faire face. Cela dit, essayons de rester calmes.

Devenir père est une étape de la vie qui apporte couleur et émotion, mais qui peut être très déstabilisante, notamment car elle implique beaucoup de changements et de nouvelles responsabilités.",979-8385862085,https://m.media-amazon.com/images/I/61EIvDHIKCL._SY522_.jpg,Independently published (12 mars 2023),Albert Bigot
Borderline: Cahier pratique de thérapie à domicile,17.32,"plus efficaces permettant de réguler vos émotions, de diminuer votre impulsivité et d’améliorer vos relations avec les autres.
Vous découvrirez aussi tout ce que nous savons aujourd’hui sur ce trouble. Ce livre constitue le premier guide pratique intégrant les éléments centraux des thérapies validées dans le trouble borderline.
Voici le livre qui va vous aider à dépasser les difficultés du quotidien et vivre une vie qui a du sens pour vous.

Déborah Ducasse est médecin, psychiatre-psychothérapeute.
Véronique Brand-Arpon est docteur en biologie de la santé, infirmière-psychothérapeute.",978-2738135957,https://m.media-amazon.com/images/I/715mJ4g7x-L._SY522_.jpg,Odile Jacob (17 mai 2017),Docteur Deborah Ducasse
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",16.09,"THE INTERNATIONAL BESTSELLER - OVER 3 MILLION COPIES SOLD

'Dr. van der Kolk's masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller' Judith Herman, author of Trauma and Recovery

The effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world's experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.",978-0141978611,https://m.media-amazon.com/images/I/71-OnTj8N8L._SY522_.jpg,Penguin; 1er édition (24 septembre 2015),Bessel van der Kolk
Le TDA/H chez la femme: Bien vivre avec le trouble du déficit de l'attention avec ou sans hyperactivité,15.04,"Un guide qui met en lumière la lutte invisible que mènent les femmes TDA/H et les aide à en faire une force.

Imaginez un tourbillon d'idées et d'impulsivité, des émotions qui jaillissent comme des feux d'artifice, et une bataille constante pour rester concentrée et organisée. Bienvenue dans le monde du TDAH au féminin, une réalité souvent méconnue ! Les femmes qui ont un TDAH sont des esprits dynamiques, créatifs et passionnés, qui se retrouvent souvent à jongler avec des défis qui les poussent au-delà de leurs limites. Maîtresses de l'imprévu, elles font face à des luttes incessantes pour garder le cap. Les interruptions fréquentes, les mots qui fusent, les oublis qui s'accumulent... Pourtant, malgré ces défis, ces femmes qui ont un TDAH sont des guerrières incroyablement résilientes, des vraies héroïnes au quotidien. Elles cherchent constamment des moyens de s'adapter et de surmonter leurs difficultés. Dans ce livre, Pascale De Coster, qui a elle-même un TDAH nous invite à mieux comprendre le TDAH chez les femmes, à reconnaître leur force et propose de nombreux conseils pour les accompagner au quotidien.",978-2804734572,https://m.media-amazon.com/images/I/61XXRv3iUEL._SY522_.jpg,MARDAGA PIERRE; 1er édition (13 mars 2024),Pascale De Coster
