Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"Auto-thérapie de couple: améliorer la communication, retrouver le désir et casser la routine",5.41,"Nous avons tous connu des périodes compliquées en couple...
Les raisons peuvent être multiples : problème de communication, disputes à répétition, routine qui s'installe, jalousie, infidélité… Selon l'INSEE, en 15 ans, le nombre de ruptures a bondi de 63%. Les unions qui durent longtemps sont également de moins en moins nombreuses.
Quel est l’objectif de ce livre ?
Nous avons voulu à travers ce livre proposer une auto-thérapie, à faire à son rythme depuis chez soi. Imaginé et conçu en collaboration avec une psychothérapeute ayant de nombreuses années d'expérience dans la thérapie de couple.",979-8617534926,https://m.media-amazon.com/images/I/416CHnagJ9L.jpg,Independently published (24 février 2020),Florence Alexandre
"Auto-thérapie de couple: améliorer la communication, retrouver le désir et casser la routine",7.9,"Nous avons tous connu des périodes compliquées en couple...
Les raisons peuvent être multiples : problème de communication, disputes à répétition, routine qui s'installe, jalousie, infidélité… Selon l'INSEE, en 15 ans, le nombre de ruptures a bondi de 63%. Les unions qui durent longtemps sont également de moins en moins nombreuses.
Quel est l’objectif de ce livre ?
Nous avons voulu à travers ce livre proposer une auto-thérapie, à faire à son rythme depuis chez soi. Imaginé et conçu en collaboration avec une psychothérapeute ayant de nombreuses années d'expérience dans la thérapie de couple.",979-8617534926,https://m.media-amazon.com/images/I/416CHnagJ9L.jpg,Independently published (24 février 2020),Florence Alexandre
Trop intelligent pour être heureux ? L'adulte surdoué,23.9,"?Et si l'extrême intelligence créait une sensibilité exacerbée ? Et si elle pouvait aussi fragiliser et parfois faire souffrir ? Être surdoué est une richesse. Mais c'est aussi une différence qui peut susciter un sentiment de décalage, une impression de ne jamais être vraiment à sa place. Comment savoir si l'on est surdoué ? Comment alors mieux réussir sa vie ? Comment aller au bout de ses ressources ? Ce livre permet de mieux comprendre et de réapprivoiser sa personnalité. Pour se sentir mieux avec soi et avec les autres, pour se réaliser enfin. Ancienne attachée des Hôpitaux de Paris et de Marseille, Jeanne Siaud-Facchin est psychologue praticienne. Spécialiste reconnue des surdoués, elle est notamment l'auteur de L'Enfant surdoué, le livre de référence sur ce sujet. Elle a également créé Cogito'Z, premiers centres français de diagnostic et de prise en charge des troubles des apprentissages scolaires.",978-2738120878,https://m.media-amazon.com/images/I/81vkda1roiL._SY522_.jpg,Odile Jacob (13 mars 2008),Jeanne Siaud-Facchin
"Aïe, mes aïeux !",22.5,"Liens transgénérationnels, secrets de famille, syndrome d'anniversaire, transmissions des traumatismes et pratique du génosociogramme.
Anne Ancelin Schutzenberger livre dans cet ouvrage, à travers son analyse clinique et sa pratique professionnelle de près d'une vingtaine d'années, une «thérapie transgénérationnelle psychogénéalogique contextuelle».En langage courant, ceci signifie que nous sommes un maillon dans la chaîne des générations et que nous avons parfois, curieusement, à «payer les dettes» du passé de nos aïeux. C'est une sorte de «loyauté invisible» qui nous pousse à répéter, que nous le voulions ou non, que nous le sachions ou pas, des situations agréables ou des événements douloureux. Nous sommes moins libres que nous le croyons, mais nous avons la possibilité de reconquérir notre liberté et de sortir du destin répétitif de notre histoire, en comprenant les liens complexes qui se sont tissés dans notre famille.Ce livre passionnant et truffé d'exemples s'inscrit parmi les toutes récentes recherches en psychothérapie intégrative. Il met particulièrement en évidence les liens transgénérationnels, le syndrome d'anniversaire, le non-dit-secret et sa transformation en un «impensé dévastateur».",978-2220067100,https://m.media-amazon.com/images/I/81dnx+K6oyL._SY522_.jpg,Desclée De Brouwer; 16e édition (13 mai 2015),Anne Ancelin-Schutzenberger
Le grand livre des thérapies cognitives et comportementales,22.9,""" Le livre le plus important dans le domaine des thérapies cognitives et comportementales. "" Association britannique des TCC
Voici un livre phénomène : il a déjà aidé plus d'un million de lecteurs à surmonter leur souffrance émotionnelle. Il les a rendus plus heureux, plus sereins, plus confiants. Il est d'ailleurs recommandé par le ministère de la Santé britannique.
Basé sur les thérapies cognitives et comportementales (TCC), il propose une autothérapie extrêmement efficace pour vaincre dépression, anxiété, attaques de panique, colère, culpabilité, honte, faible estime de soi, mais aussi troubles du comportement alimentaire, addictions et problèmes relationnels.
Si ces troubles vous empoisonnent la vie, vous devez lire ce livre qui intègre les dernières recherches scientifiques mais surtout l'expérience des auteurs.",978-2365494687,https://m.media-amazon.com/images/I/61gBh05GrQL._SY522_.jpg,Thierry Souccar (18 février 2021),Dennis Greenberger
40 séances d'hypnose - Scripts professionnels d'hypnose thérapeutique,7.73,"Le guide quotidien de l'apprenti hypnothérapeute. Conçu pour inspirer votre pratique de l'hypnothérapie, vous découvrirez dans ce livre des scripts complets : des textes d'inductions hypnotiques (phrases, métaphores) ; le déroulé des protocoles d'hypnose (25 à 60mn chaque) ; des astuces de pratique (thérapie professionnelle). En Hypnose Ericksonienne comme en Hypnose Humaniste, si vous cherchez des exemples de séances d'hypnose qui ont fait leurs preuves : ce livre est pour vous ! 40 textes de séances d'hypnose. Les scripts originaux des séances à succès de YouTube, par les pionniers de l'Hypnose en France, remaniés pour être utilisés avec vos patients et accompagnés de conseils de pratique, sur les thèmes principaux de la thérapie. « Connectez-vous à la magie du changement ». Avec les séances d’hypnose à télécharger.",978-2916149448,https://m.media-amazon.com/images/I/71HKlCCfeqL._SY522_.jpg,IFHE (13 novembre 2023),Olivier Lockert
Femmes qui courent avec les loups,10.4,"Chaque femme porte en elle une force naturelle, instinctive, riche de dons créateurs et d'un savoir immémorial. Mais la société et la culture ont trop souvent muselé cette « Femme sauvage », afin de la faire entrer dans le moule réducteur des rôles assignés. Psychanalyste et conteuse, fascinée par les mythes et les légendes, auteur également du Jardinier de l'éden, Clarissa Pinkola Estés nous propose de retrouver cette part enfouie, pleine de vitalité et de générosité, vibrante, donneuse de vie. A travers des « fouilles psycho-archéologiques » des ruines de l'inconscient féminin, en faisant appel aux traditions et aux représentations les plus diverses, de la Vierge Marie à Vénus, de Barbe-Bleue à la petite marchande d'allumettes, elle ouvre la route et démontre qu'il ne tient qu'à chacune de retrouver en elle la Femme sauvage.
Best-seller aux Etats-Unis, ce livre exceptionnel est destiné à faire date dans l'évolution contemporaine de l'identité féminine.",978-2253147855,https://m.media-amazon.com/images/I/91MAdXqhX6L._SY522_.jpg,Le Livre de Poche (17 octobre 2001),Clarissa Pinkola Estés
50 exercices de TCC: Libérez-vous de vos blocages et comportements répétitifs,16.18,"Exercice n° 00 : Ce livre est-il fait pour vous ?
Parmi les propositions ci-dessous, cochez celles qui vous correspondent.
Les mauvaises habitudes ont la peau dure.
Vous êtes doué pour les scénarios catastrophe.
Relativiser, en revanche, n'est pas votre fort.
Les situations à enjeu vous stressent.
On vous dit perfectionniste.
Vous ne parvenez pas à dire non.
Vous préférez ne pas vous lancer, plutôt qu'échouer.
Vous avez tendance à voir le verre à moitié vide.
Les émotions sont mauvaises conseillères.
Vous aspirez à plus de sérénité.",978-2416007811,https://m.media-amazon.com/images/I/616qJpdhJLL._SY522_.jpg,EYROLLES; Illustrated édition (1 septembre 2022),Juliette Marty-Groleas
"Les thérapies comportementales, cognitives et émotionnelles en 150 fiches: + Les Boîtes à outils numériques du praticien",5.23,"Cet ouvrage a pour ambition d’être le support essentiel pour tous les professionnels qui souhaitent se former aux thérapies comportementales cognitives et émotionnelles (TCCE) et plus largement pour tous les thérapeutes en exercice soucieux de retravailler sur des concepts anciens ou récents.
La structure de l’ouvrage suit la logique historique des TCCE et guide le lecteur dans les différentes étapes de son apprentissage :
- les grands principes ;
- l’analyse fonctionnelle ;
- l’entretien motivationnel ;
- la relaxation ;
- l’exposition ;
- l’activation comportementale ;
- l’affirmation de soi ;
- la restructuration cognitive ;
- la thérapie orientée schémas ;
- les thérapies de pleine conscience et d’acceptation ;
- les thérapies sur les émotions.
Le système de fiches offre une synthèse complète et accessible des TCCE dont les indications sont de plus en plus larges. Complété par plus de",978-2294766619,https://m.media-amazon.com/images/I/41bLFZv8TAL.jpg,Elsevier Masson (8 janvier 2020),Docteur Clément Lecomte
"Auto-thérapie de couple: améliorer la communication, retrouver le désir et casser la routine",8.56,"Nous avons tous connu des périodes compliquées en couple...
Les raisons peuvent être multiples : problème de communication, disputes à répétition, routine qui s'installe, jalousie, infidélité… Selon l'INSEE, en 15 ans, le nombre de ruptures a bondi de 63%. Les unions qui durent longtemps sont également de moins en moins nombreuses.
Quel est l’objectif de ce livre ?
Nous avons voulu à travers ce livre proposer une auto-thérapie, à faire à son rythme depuis chez soi. Imaginé et conçu en collaboration avec une psychothérapeute ayant de nombreuses années d'expérience dans la thérapie de couple.",979-8617534926,https://m.media-amazon.com/images/I/416CHnagJ9L.jpg,Independently published (24 février 2020),Florence Alexandre
