Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"Méditations: Le journal de Marc Aurèle - Souvenirs, Pensées et Réflexions - La Philosophie Stoïcienne du plus grand Empereur Romain",9.02,"""La vie d'un homme consiste en ce que ses pensées en font.""

Voici l'essence de la sagesse stoïcienne à travers les yeux de l'un des plus grands empereurs romains, Marc Aurèle, dans ce voyage « Méditations : Le Journal de Marc Aurèle ».
Cet ouvrage vous plongera au cœur de la philosophie stoïcienne, combinant un récit historique approfondi avec l'introspection philosophique et la sagesse du plus grand empereur de Rome.

Marc Aurèle : l'empereur philosophe
Marc Aurèle, connu comme le dernier des « cinq bons empereurs », régna de 161 à 180 après JC. Sa vie, un incroyable mélange de puissance et de sagesse, était un exemple de vertu et de dévouement stoïque. En tant qu'empereur, il fit face à des défis à la fois internes et externes, mais fut toujours guidé par sa profonde conviction éthique et sa recherche de la vertu.",979-8876927606,https://m.media-amazon.com/images/I/71WeBCZqwtL._SY522_.jpg,Independently published (8 février 2024),Marc Aurèle
"STOÏCISME - L'art de mieux penser: Comment développer une discipline intérieure, gérer ses émotions & traverser la vie avec une sérénité à toute épreuve grâce à la philosophie antique",11.16,"Aborder la vie avec sérénité comme un guerrier stoïque - Comment utiliser la philosophie antique pour réussir.

Votre verre est-il toujours à moitié vide au lieu d’être à moitié plein ?
Vous avez du mal à mettre de côté vos incertitudes et vos soucis ?
Souhaitez-vous être plus heureux et ne plus vous laisser déstabiliser par quoi que ce soit ?

Si votre réponse à ces questions est « oui », alors lisez la suite …

Depuis des milliers d’années, le stoïcisme change de manière positive et radicale la vie de ses adeptes – et il peut désormais faire de même pour vous.

Les stoïciens ont fait des découvertes étonnantes sur l’existence humaine, découvertes qui sont encore pertinentes aujourd’hui dans nos vies de tous les jours. L’une des idées fondamentales de leur philosophie est que nous réagissons à nos",979-8422022410,https://m.media-amazon.com/images/I/619v+c+cBYL._SY522_.jpg,Independently published (23 février 2022),Elias Theodorakis
La France périphérique : Comment on a sacrifié les classes populaires,6.0,"L'auteur constate que les classes populaires, exclues des bénéfices de la mondialisation, sont reléguées dans la France périphérique, soit les petites villes et les territoires éloignés des métropoles. Celle-ci rassemble des bassins industriels asséchés, des zones d'emploi public ou touristiques et concentre l'essentiel des votes pour le Front national.",978-2081347519,https://m.media-amazon.com/images/I/61MOFbYnWzL._SY522_.jpg,FLAMMARION (2 septembre 2015),Christophe Guilluy
"L'Art de Comprendre l'Autre: Comment Connaître une Personne en Décryptant son Comportement, ses Pensées et ses Émotions",18.18,"Vous êtes-vous déjà demandé ce qui se cache derrière un sourire, un regard fuyant ou un silence pesant ?
Avez-vous déjà rêvé de comprendre les non-dits et de décrypter les émotions cachées ?
Souhaitez-vous découvrir les secrets qui se cache derrière l'esprit de chacun ?

Imaginez pouvoir lire les signaux subtils de vos collègues, comprendre les besoins non exprimés de vos proches, et vous orienter avec aisance dans le monde complexe de la communication !

Découvrez ""L'Art de Comprendre l'Autre"", le guide révolutionnaire de Gaël Lefort qui vous transporte au cœur des dynamiques humaines. Ce livre n'est pas un simple manuel, c'est une véritable exploration des profondeurs de la psychologie humaine, un voyage enrichissant vers une meilleure compréhension de soi et des autres.",979-8878533928,https://m.media-amazon.com/images/I/61Z6yeFrJeL._SY522_.jpg,Independently published (4 février 2024),Gaël Lefort
"Stoïcisme: Les 10 Secrets de la Spiritualité Antique pour Mieux Vivre la Vie Modern. Comment Éveiller la Conscience de Soi, Développer sa Force Mentale et Retrouver sa Sérénité.",12.4,"Voulez-vous vivre une vie meilleure, plus paisible et satisfaisante, sans être submergé par les difficultés ?
Alors, c'est le livre qu'il vous faut !

Vous découvrirez une philosophie millénaire qui a résisté à l'épreuve du temps. Vous plongerez dans les principes fondamentaux de cette discipline ancienne et vous apprendrez comment les appliquer dans la vie moderne.
En lisant ce livre, vous découvrirez :
Tout (mais vraiment tout) sur le stoïcisme, de l'histoire de ses origines à son évolution ;
Comment le stoïcisme peut améliorer votre quotidien ;
Comment accepter vos limites et prendre soin de vous de la meilleure façon possible ;",979-8860883383,https://m.media-amazon.com/images/I/61O5ITcnQsL._SY522_.jpg,Independently published (9 septembre 2023),Aurèle Martin
Le bonheur paradoxal: Essai sur la société d'hyperconsommation,10.4,"Nous sommes entrés dans une nouvelle phase du capitalisme de consommation : la société d'hyperconsommation.Un Homo consumericus de troisième type voit le jour, une espèce de turbo-consommateur décalé, mobile, flexible, largement affranchi des anciennes cultures de classe, imprévisible dans ses goûts et ses achats, à l'affût d'expériences émotionnelles et de mieux-être, de qualité de vie et de santé, de marques et d'authenticité, d'immédiateté et de communication, dans un système où l'acheteur est de plus en plus informé et infidèle, réflexif et ""esthétique"".L'esprit de consommation s'infiltre jusque dans le rapport à la famille et à la religion, à la politique et au syndicalisme, à la culture et au temps disponible. Mais ces plaisirs privés débouchent sur un bonheur blessé : jamais l'individu contemporain n'a atteint un tel degré de déréliction.",978-2070379880,https://m.media-amazon.com/images/I/91JK2lIF9NL._SY522_.jpg,FOLIO ESSAIS (15 janvier 2009),Gilles Lipovetsky
L'image de la cité,16.05,,978-2040004941,https://m.media-amazon.com/images/I/416KwTMEpVL.jpg,Dunod (1 février 1993),Kevin Lynch
Avis d'expulsion: Enquête sur l'exploitation de la pauvreté urbaine,15.52,"Plongée dans le quotidien disloqué de huit foyers des quartiers pauvres de Milwaukee, au Wisconsin, où chaque jour, des dizaines de ménages sont expulsés de leurs maisons. Arleen élève ses garçons avec les 20 dollars qui lui restent pour tout le mois, après avoir payé le loyer. Lamar, amputé des jambes, s'occupe des gamins du quartier en plus d'éduquer ses deux fils. Scott, infirmier devenu toxicomane après une hernie discale, vit dans un mobile home insalubre. Tous sont pris dans l'engrenage de l'endettement et leur sort est entre les mains de leurs propriétaires, que l'on suit aussi au fil du récit.
Fruit de longues années de terrain, ce livre montre comment la dégradation des politiques du logement et la déréglementation du marché de l'immobilier fabriquent et entretiennent l'endettement chronique et la pauvreté, une violente épidémie qui s'avère très rentable pour certains et qui frappe surtout les plus vulnérables, en l'occurrence les femmes noires. Ouvrage magistral et captivant qui offre un regard précis et juste sur la pauvreté et un implacable plaidoyer pour le droit à un habitat digne pour tous.",978-2895962472,https://m.media-amazon.com/images/I/61L0vtJyeCL._SY522_.jpg,Lux Editeur (19 septembre 2019),Matthew Desmond
"La politique de la ville: Idéologies, acteurs et territoires",7.79,"Alors que la politique de la ville est de plus en plus critiquée par les chercheurs, dans les médias et au sein du champ politique, cet ouvrage propose de la réinterroger. Quelles sont les idéologies qui ont permis sa mise en place ? Comment ont-elles évolué et comment se sont-elles traduites sur le terrain ? Quels sont ses effets, voulus ou non, sur les « quartiers » ? Cette action publique est-elle cohérente sur la durée ? Que signifie, en d'autres termes, lutter contre le « ghetto » en France ?",978-2343059266,https://m.media-amazon.com/images/I/81e3jcwwOdL._SY522_.jpg,Editions L'Harmattan (1 mars 2016),Grégory Busquet
Sociologie de Paris,11.0,"Nouvelle édition à jour de ce grand succès de la collection Repères, vendu à plus de 20 000 exemplaires, et toujours sans équivalent.Cette Sociologie de Paris entend en restituer toute la richesse et donner les clefs de lecture d'une vie foisonnante, mais menacée.
Paris s'embourgeoise. Les richesses et les pouvoirs s'y concentrent. Si tous les Franciliens ne peuvent habiter dans la capitale, résider à Paris ne peut être réservé aux seules familles fortunées sans redoubler symboliquement les inégalités.
Cela pose le problème de la mixité sociale. Paris est encore une mosaïque de classes et d'origines. Peut-on lire dans les oppositions entre l'Est et l'Ouest, entre le centre et la périphérie, entre la rive gauche et la rive droite, les clivages de la société ? Quelles sont les forces qui conduisent à la déprolétarisation d'une ville qui fut ouvrière et révolutionnaire ? Comment alors expliquer que la majorité municipale soit toujours à gauche ? Comment une capitale embourgeoisée et une banlieue populaire peuvent-elles fonctionner ensemble ?
La diversité du peuplement de la capitale en fait, toujours, un lieu d'expression des différences sociales et des cultures du monde. Cette",978-2707182623,https://m.media-amazon.com/images/I/71Uvl1wBdzL._SY522_.jpg,La Découverte; 3e édition (28 août 2014),Michel Pinçon
