Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Dis-lui au revoir: Un drame psychologique inspiré d'une histoire vraie,19.91,"""Percutant, ne prenant pas la peine de ménager son lecteur, le roman se suit presque comme un thriller sous haute tension alors qu'il s'agit avant tout d'un drame humain.""

Il croyait connaître son épouse. Mais comment pouvait-il soupçonner ce qu'elle-même ignorait ?

À la suite d'un accident de la route, la vie de Julie et de sa famille vole en éclats. Le choc de l'accident en réveille un autre, cadenassé dans les tréfonds de sa mémoire pendant plusieurs décennies. Entre oubli et vérité cachée, elle découvre qu'elle a sombré dans l'amnésie traumatique pour se préserver de l'innommable. Aidée de Franck, son mari, elle va remonter le fil de son passé.
Parviendront-ils à rassembler tous les morceaux du puzzle de son histoire ? Pourra-t-elle se libérer de ses démons pour, enfin, vivre ?",978-2956747017,https://m.media-amazon.com/images/I/61A0qWuL8HL._SY522_.jpg,,Jeanne Yliss
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",16.08,"THE INTERNATIONAL BESTSELLER - OVER 3 MILLION COPIES SOLD

'Dr. van der Kolk's masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller' Judith Herman, author of Trauma and Recovery

The effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world's experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.",978-0141978611,https://m.media-amazon.com/images/I/71-OnTj8N8L._SY522_.jpg,Penguin; 1er édition (24 septembre 2015),Bessel van der Kolk
Le corps n'oublie rien,8.1,"Bessel van der Kolk, psychiatre américain d'origine néerlandaise, spécialiste du syndrome de stress post-traumatique, professeur de psychiatrie à la Boston University, a fondé le Trauma Center de Boston.

Ce livre de référence présente pour la première fois, de façon scientifique, les conséquences des traumatismes.
Vous comprendrez enfin ce qui se passe dans le cerveau de quiconque subit des violences et pourquoi il est si difficile de les surmonter. Vous saurez ce qu'est ce fameux Stress Post Traumatique et quelles techniques simples, efficaces et scientifiquement prouvées, peuvent aider les victimes à guérir.

Ce livre a été traduit dans plus de 15 langues et a guidé des millions de personnes.

Traduit de l'anglais par Aline Weill",978-2266300728,https://m.media-amazon.com/images/I/61tm1hyuGAL._SY522_.jpg,Pocket (14 octobre 2021),Bessel A. Van der kolk
"Guérir Son Corps, Soigner Son Esprit: ALIMENTATION, NUTRITION, HERBES, MÉDECINE NATURELLE ET PENSÉES POSITIVES POUR L'INTESTIN IRRITABLE, DÉTOX DU FOIE, HORMONES, ACNÉ, ANXIÉTÉ, DÉPRESSION ET STRESS",9.38,"Élu l’un des 43 meilleurs thérapeutes du monde, auteur de 5 best-sellers, naturopathe et psychothérapeute, le Dr Ameet vous aide à régler facilement vos problèmes de santé concernant vos intestins, votre foie, vos glandes surrénales, votre dépression, votre anxiété, votre humeur, votre poids, votre peau, vos hormones, vos inflammations ainsi que vos problèmes sexuels à l’aide de votre nutrition, d’une alimentation saine, d’une médecine naturelle, de thérapie holistiques et d’une guérison émotionnelle.
Votre santé est l’un des cadeaux les plus précieux que l’on puisse vous faire. Ce livre au pouvoir holistique intense vous permettra d’améliorer rapidement votre santé, votre bonheur et votre humeur en vous aidant à traiter l’origine des maladies de votre esprit et votre corps, lesquelles sont liées à :",979-8644439393,https://m.media-amazon.com/images/I/71JeSHlGXDL._SY522_.jpg,Independently published (9 mai 2020),Dr. Ameet Aggarwal ND
,5.54,,,,,
Nous avons tous des Parties: Un guide illustré pour la guérison des traumatismes avec la thérapie INTERNAL FAMILY SYSTEMS,13.96,"Nous avons tous des Parties est un petit guide illustré destiné aux survivants à des traumatismes et à des négligences pendant l'enfance, pour les aider à commencer dès maintenant à travailler sur leurs traumatismes. Il vous orientera vers votre système intérieur de sous-personnalités ou de parties, dans un langage simple et avec de nombreuses illustrations. Ce guide parle notamment de : la fenêtre de tolérance, les défenses autonomes, les flashbacks, la dissociation, la cartographie des parties, et plus encore. Conçu pour les personnes pratiquant la thérapie Internal Family Systems (IFS), la dissociation structurelle, l'expérience somatique, la sensori-motricité, l'EMDR et la thérapie de l'état du moi.
40 pages, couleur, beaucoup d'images
Psychoéducation pour les symptômes de trouble de stress post-traumatique complexe",979-8767415427,https://m.media-amazon.com/images/I/61hc316VPpL._SY522_.jpg,Independently published (9 mai 2022),Colleen West
Le Trauma et Moi,17.02,"On nous parle beaucoup de trauma et de résilience mais les termes perdent de leur substance pour le grand public tout en privant les victimes de leur expérience singulière et de leurs ressentis personnels.
Nous allons tenter de cheminer ensemble dans cet ouvrage qui est le premier opus pour adultes de la collection des P’tits cahiers du PHARE, en utilisant la médiation artistique relationnelle ainsi que d’autres outils complémentaires.
Avec le trauma, on ne refait pas l’histoire, on tente de vivre avec elle et d’en construire la suite.
Cela va advenir avec nos mots, nos émotions, nos crayons, nos ressentis et tout cela reste un travail d’équipe, avec les textes d’Armelle (chercheuse et thérapeute spécialisée en trauma et en neurodiversité) et avec les illustrations expressives et poétiques de Cécile.
Que ce chemin, au fil des pages, vous soit le plus doux possible !",979-8324913618,https://m.media-amazon.com/images/I/61WHGQ4uJwL._SY522_.jpg,Independently published (8 mai 2024),Armelle VAUTROT
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",16.09,"Oprah Winfrey and renowned brain development and trauma expert, Dr Bruce Perry, discuss the impact of trauma and adverse experiences and how healing must begin with a shift to asking 'What happened to you?' rather than 'What’s wrong with you?'.

Through wide-ranging and often deeply personal conversation, Oprah Winfrey and Dr Perry explore how what happens to us in early childhood – both good and bad - influences the people we become. They challenge us to shift from focusing on 'What’s wrong with you?' or 'Why are you behaving that way?' to asking 'What happened to you?'. This simple change in perspective can open up a new and hopeful understanding for millions about why we do the things we do, why we are the way we are, providing a road map for repairing relationships, overcoming what seems insurmountable, and ultimately living better and more fulfilling lives.

Many of us experience adversity and trauma during childhood that has lasting impact on our physical and emotional health. And as we’re beginning to understand, we are more sensitive to developmental trauma as children than we are as adults. ‘What happened to us’ in childhood is a powerful predictor of our risk for physical and mental health problems down the road, and offers scientific insights into the patterns of behaviours so many struggle to understand.

A survivor of multiple childhood challenges herself, Oprah Winfrey shares portions of her own harrowing experiences because she understands the vulnerability that comes from facing trauma at a young age. Throughout her career, Oprah has teamed up with Dr Bruce Perry, one of the world’s leading experts on childhood trauma. He has treated thousands of children, youth, and adults and has been called on for decades to support individuals and communities following high-profile traumatic events. Now, Oprah joins forces with Dr Perry to marry the power of storytelling with the science and clinical experience to better understand and overcome the effects of trauma.

Grounded in the latest brain science and brought to life through compelling narratives, this book shines a light on a much-needed path to recovery – showing us our incredible capacity to transform after adversity.ines a light on a much-needed path to recovery – showing us our incredible capacity to transform after adversity.",978-1529068504,https://m.media-amazon.com/images/I/61GfOqwSEPL._SY522_.jpg,Bluebird; Heruitgave édition (28 avril 2022),Oprah Winfrey
Heal Your Nervous System: The 5-stage Plan to Reverse Nervous System Dysregulation,27.15,"Relieve anxiety, burnout, feelings of overwhelm, and chronic physical symptoms by healing your dysregulated nervous system with this 5-stage roadmap based on the latest science.
 
Dr. Linnea Passaler has helped thousands globally in her digital health program address a wide range of symptoms associated with nervous system dysregulation—from mental symptoms, including anxiety, burnout, and brain fog, to physical symptoms, such as digestive issues, chronic inflammation, and fatigue. In Heal Your Nervous System, Dr. Passaler presents her 5-stage plan, developed over the last decade, to equip you with the knowledge to understand and regulate your unique nervous system.
 
Despite its advances, conventional medicine has often overlooked the importance of nervous system regulation in our health and quality of life. This is especially true for highly sensitive individuals, who may be more susceptible to a dysregulated nervous system. Instead of merely treating the symptoms, Dr. Passaler shows you how to make a profound shift from reactive treatment to proactive healing.
 
Grounded in recent scientific advances in neurobiology, chronic stress, trauma, and sensitivity, this is not a short-term or one-size-fits-all solution, but a comprehensive strategy to tackle the source of your symptoms, and restore your physical, cognitive, and emotional health.
 
In",978-0760385654,https://m.media-amazon.com/images/I/81ar6FuvK8L._SY522_.jpg,Fair Winds Press; 1er édition (25 janvier 2024),Dr. Linnea Passaler
"Angoisse et Anxiété Anticipatoire: Un guide pratique pour se débarrasser des pensées négatives, ne pas se perdre dans l'indécision chronique et retrouver la confiance en soi",5.28,"Un guide complet pour surmonter l'anxiété et retrouver une bonne qualité de vie.


Si vous êtes anxieux à propos de situations qui ne se sont pas encore déroulées ou si vous êtes tourmenté par des pensées catastrophiques, vous pourriez souffrir",979-8377102274,https://m.media-amazon.com/images/I/61mnB16REBL._SY522_.jpg,Independently published (11 février 2023),Robert Mercier
