Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Les Criminels les plus cons de l'histoire,12.95,"Les criminels ne sont pas toujours bien organisés et parfois cela donne lieu à des histoires quelque peu cocasses...
Il existe des génies du crime. Des faussaires, délinquants, voleurs, escrocs, dealers, assassins, tellement organisés et inventifs qu'on ne peut se retenir de les traiter de "" beaux voyous "".
La plupart des biographies policières, gendarmiques ou magistrales, font leur part à ce petit moment de nostalgie ou d'émotion devant le souvenir d'une rencontre avec un ou une formidable criminel(le).
Et il y a les autres. Au masculin, ou au féminin. Seul(e) ou en groupe.
Tous les autres. Malchanceux, mal organisés. Emotifs. Désorganisés.
Ou tout simplement idiots.
Voici les histoires, collectées et vérifiées pour l'essentiel. Et d'autres introuvables, relevant d'autres catégories, qu'on n'a pas pu ne pas conserver.",978-2412057575,https://m.media-amazon.com/images/I/61GnERedm8L._SY522_.jpg,First (15 octobre 2020),Alain Bauer
J'attends un enfant - édition 2024,29.9,"Vous attendez un enfant... Vous vous posez 1 001 questions ? Le livre de Laurence Pernoud répond à vos interrogations, vous rassure et vous donne confiance. Il s'adresse à tous les futurs parents, quelles que soient les situations familiales : parents biologiques, mères seules, couples homoparentaux...
Incontournable. Ouvrage de référence sur la maternité, il vous accompagne depuis votre désir d'enfant, durant votre grossesse, lors de votre accouchement et pendant les premières semaines qui suivent la naissance de votre bébé.
Exhaustif. Dans un style clair et chaleureux, tous les sujets sont abordés : consultations médicales, transformation de votre corps, bien-être, alimentation, sommeil, travail, sports et loisirs, émotions et ressentis des futurs parents, post-partum...",978-2226490360,https://m.media-amazon.com/images/I/71Y2zVUVk2L._SY522_.jpg,Albin Michel; Illustrated édition (10 janvier 2024),Laurence Pernoud
Israël: Le piège de l'Histoire,19.46,"« N’y aurait-il qu’une chance sur cent de réussir qu’il faudrait essayer. Comment organiser la coexistence pacifique de sept millions de Juifs et de huit millions de Palestiniens ? Les uns et les autres y sont chez eux. Il faut regarder vers l’avenir dans une région accablée d’histoire et laisser parler la raison sur une terre où on invoque trop facilement Dieu. »
Les violences atroces perpétrées par le Hamas le 7 octobre 2023 sur la population israélienne et leurs terribles conséquences sur le peuple palestinien ont ravivé les passions d’un conflit que l’on croyait dissous dans l’indifférence. Sur le mode du récit, Gérard Araud revient sur ses souvenirs, ses rencontres marquantes lors de son premier poste à Tel-Aviv, puis comme ambassadeur. Il raconte ce pays complexe qu’il a vu en vingt ans changer du tout au tout et décrypte le conflit israélo-palestinien : sa radicalisation, ses rendez-vous manqués avec la paix, la violence de la colonisation en Cisjordanie… En diplomate, il dresse quelques pistes pour l’avenir et démontre que pour réussir, il faudra commencer par oublier l’Histoire. Une Histoire si contradictoire qu’elle n’est qu’un piège pour s’y égarer.",979-1021061507,https://m.media-amazon.com/images/I/61h8cwj+g0L._SY522_.jpg,TALLANDIER (7 mars 2024),Gérard Araud
Nudist Beach,14.5,"Un nouveau hentai délirant par l'auteur de la série best-seller Peace Hame !
La plus déjantée des professeures, madame Suomi, décide d'emmener toute sa classe en voyage scolaire... sur une plage naturiste ! Et pas n'importe quelle plage : le genre d'endroit où tout le monde s'envoie en l'air entre les dunes ! L'occasion pour chacun de découvrir ses camarades sous un jour nouveau, car après tout, une fois déshabillé, impossible de tricher. Le caïd que toute la classe craignait se révèle chétif et inoffensif, tandis que l'intello en chef, le délégué Naotatsu, dévoile un corps de rêve... et un énorme engin ! Bientôt les plus jolies filles, qu'elles soient célibataires ou en couple, se pressent devant sa tente pour lui offrir leur virginité.
SEIKO CARDS : Retrouvez 2 cartes hentai à collectionner dans ce volume !",978-2362345937,https://m.media-amazon.com/images/I/716xuDFt6cL._SY522_.jpg,Dynamite (23 mai 2024),Shiwasunookina
Désirer la violence: Ce(ux) que la pop culture nous apprend à aimer,13.88,"Qui n'a jamais jubilé devant la vengeance sanglante de Breatrix Kiddo dans Kill Bill ? Fondu devant la rencontre d'Allie et Noah dans N'oublie jamais ? Ri aux éclats devant Friends ? Chanté à tue-tête devant Grease ?

À travers l’archétype du bad boy, les scénarios balisés des comédies romantiques, la profusion de baisers « volés », et même les dessins animés de notre enfance, ce livre nous plonge dans les eaux troubles de la pop culture pour révéler comment la fiction influence insidieusement nos comportements et nos relations amoureuses. En analysant les rouages de la narration, l’autrice démystifie nos fascinations et idées reçues, et met à nu les dynamiques toxiques qui s’étalent sur nos écrans.

Comment les films et les séries parviennent-ils à nous faire apprécier des comportements douteux, voire illégaux, y compris dans la vie réelle ? Comment nous inculquent-ils qu’il est normal d’aimer avoir mal ou qu’on nous fasse du mal ? Comment nous apprennent-ils à désirer la violence ?

Un essai percutant, émaillé d’exemples précis et ponctué d’analyses de spécialistes (historiennes, scénaristes, linguiste, psychanalyste, sexologue…), qui invite à une réflexion profonde et audacieuse sur les violences sexistes et sexuelles qui se cachent sous le vernis de nos divertissements préférés.",978-2017255802,https://m.media-amazon.com/images/I/610nT+u8DTL._SY522_.jpg,Les Insolentes (24 avril 2024),Chloé Thibaud
World's end harem Fantasy T10,8.5,"Dans un monde attaqué par des légions de démons, Ark, un jeune noble, est amoureux d'Aurelia, la fille du seigneur local. Mais, après avoir été humilié, il apprend que cette dernière a été promise au prince. En échange d'un futur service, Lati, une elfe noire, le transforme alors en être de pure luxure en lui attribuant de grands pouvoirs, pour récupérer sa belle et conquérir le monde.",978-2413076445,https://m.media-amazon.com/images/I/81TSSncRFlL._SY522_.jpg,Delcourt; Illustrated édition (2 mai 2024),LINK+SAVAN
"Femmes, soyez soumises à vos maris",18.95,"« Aux Scouts, au moment du signe de croix, je me suis trompée de main. Pas de bol, j’avais une chance sur deux. Soit personne n’a rien vu, soit ils ont fait semblant.
On a bien rigolé le soir, quand j’ai raconté ça à mes parents. Ils m’ont dit « Tu es sûre que tu veux continuer ? » J’ai acquiescé. Bien sûr on ignore, à huit ans, qu’un simple « oui » peut modifier le cours d’une vie. »

C’est l’histoire d’Alice, une enfant heureuse, puis une jeune fille enjouée, qui rencontre un homme mystérieux et fascinant, pour qui seul Dieu compte. C’est l’histoire vraie d’une toile qui se tisse, années après années. C’est une maison sans chauffage, sans musique, sans jouets, sans espoir, dans laquelle une femme et ses enfants devront apprendre à survivre.",978-2036055544,https://m.media-amazon.com/images/I/71CjYsbd+CL._SY522_.jpg,Larousse (14 février 2024),Alice Davril
Tout le monde savait,18.25,"« Tout le monde savait. Tout le monde se doutait. Beaucoup de gens avaient leur petite idée de ce qui pouvait m’arriver dans l’intimité du foyer. Les coups, la violence banalisée, les humiliations quotidiennes… Tous les invariables de cette vie qui n’en est pas vraiment une. Un jour, pour qu’il ne nous tue pas, je l’ai tué.
Depuis cette nuit-là, celle du 13 mars 2016, le sommeil ne m’a plus jamais trouvée.
Je pense à mon procès. Ces cinq jours devant la cour d’assises de Chalon-sur-Saône, au cours desquels la société va me demander de raconter mon histoire. C’est encore un combat entre lui et moi.
Est-il possible qu’on me comprenne ? Vais-je être écoutée, ou entendue ? Est-il encore capable de me faire du mal, de m’envoyer finir ma vie en prison ? »
Dès l’âge de douze ans, Valérie Bacot connaît la peur et l’emprise auprès de Daniel, son beau-père, son violeur, puis son mari et proxénète. Elle raconte ici sa vérité, celle de la tyrannie quotidienne et de l’abandon.",978-2253937302,https://m.media-amazon.com/images/I/71-ItnFgmxL._SY522_.jpg,Le Livre de Poche (5 octobre 2022),Valérie Bacot
Roses et Champagne T01,13.43,"A Moscou, l'avocat Jeong Iwon lutte dans un procès sans merci. Son seul espoir, un allié inattendu : César Alexandrovitch Sergueiev, héritier d'un groupe de la mafia. Entre les deux hommes, un jeu tortueux se met rapidement en place. Entre violence, complots et désir, lequel sera le premier à céder à son attirance brûlante ?",978-2382882016,https://m.media-amazon.com/images/I/81MkUIwMHYL._SY522_.jpg,Kbooks; Illustrated édition (2 novembre 2023),Ttung Gae
Se préparer au pire,19.9,"« La violence, c'est pour les autres... »
Si vous êtes de ceux qui pensent être préservés, la question est : jusqu'à quand le serez-vous ? La montée de la violence ces dernières années est une évidence.
Vous avez des enfants ? Vous êtes sans doute attentifs au harcèlement scolaire.
Vous êtes une femme, une mère ? Vous avez une fille ? Une épouse ? Vous êtes inquiet si celle-ci fait un footing seule, en ville ou à la campagne.
La police ? Elle est submergée. La justice ? Elle croule sous les dossiers. Et les prisons sont pleines. La récidive est omniprésente.
Nous vivons une crise sociale comme rarement nous en avons connu. La pandémie, le terrorisme, les émeutes urbaines ont mis à jour nos faiblesses. Les gouvernements donnent le sentiment d'être impuissants.",978-2226483461,https://m.media-amazon.com/images/I/71T3vnW8W3L._SY522_.jpg,Albin Michel (27 septembre 2023),Jean-Luc Riva
