Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
The Moon on a Rainy Night - Tome 03,7.95,"Quand des obstacles invisibles laissent place à des sentiments inestimables…

Saki est attirée par Kanon, une camarade de classe sourde. Cette dernière se retrouve chez elle et lui parle de ses plans d'avenir. Elle avoue à Saki qu'elle aimerait habiter seule, tout en pouvant compter sur quelqu'un.
Après avoir exprimé ces deux pensées contradictoires, elle s'endort. En la regardant, Saki est animée par des sentiments qu'elle aimerait ne pas éprouver, mais qu'elle ne peut réprimer.

Un sentiment qu’elle désire garder secret, mais qu’elle ne peut réprimer...",978-2385032111,https://m.media-amazon.com/images/I/81PCF9MeKiL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (22 mai 2024),Kuzushiro
Nos différences enlacées - Tome 07,6.95,"De belles histoires de romance entre jeunes femmes !

Je n'arrive plus à la lâcher des yeux...

J’ignore tout de son passé et elle ne veut pas m'en parler...
Tu sortais avec une autre fille, avant ? Et alors, qu'est-ce que ça peut me faire ? Je le vois bien, que tu as parfois l'air triste... mais je finirai par te montrer, moi, que tu n'es pas seule !

Tout les sépare... mais leurs sentiments seront plus forts !",978-2385030711,https://m.media-amazon.com/images/I/81hesvi-Y5L._SY522_.jpg,Meian; Meian (Collection Yuri) édition (22 mai 2024),Mikanuji
The Moon on a Rainy Night - Tome 1,17.68,"Quand des obstacles invisibles laissent place à des sentiments inestimables...

Un soir, juste avant sa rentrée au lycée et alors qu'elle se rendait à son cours de piano, Saki Kindaichi bouscule une fille et s'écorche la main en tombant par terre. L'inconnue la regarde fixement sans dire un mot, ramasse soigneusement ses partitions tombées et lui donne même un pansement. Il s'avère que celle-ci est l'une de ses nouvelles camarades de classe, Kanon Oikawa, devenue sourde. Alors que Kanon prend ses distances avec les autres élèves à cause de son handicap, Saki essaie tant bien que mal de la comprendre pour l'approcher. Petit à petit, Kanon s'ouvre un peu plus à elle...",978-2385032098,https://m.media-amazon.com/images/I/81b8FuisYBL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (14 décembre 2023),Kuzushiro
Notre été éphémère - Tome 1,16.49,"Un récit doux et tragique entre deux jeunes filles, le temps d’un été…

Shizuku Hoshikawa, une jeune lycéenne asociale, termine enfin de rédiger dans le plus grand secret un roman tragique. S’apprêtant à se débarrasser de ses écrits sans avoir laissé quiconque les lire, elle croise Kaori Asaka, une de ses camarades de classe, qui s’empare de son oeuvre et file sans demander son reste.

Shizuku s’attend à ne recevoir que du mépris de la part de Kaori, mais à sa grande surprise, celle-ci lui fait un retour des plus inattendus.",978-2385034160,https://m.media-amazon.com/images/I/81T+j-T33hL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (30 novembre 2023),Yuama
Anémone flamboyante - Tome 2,9.87,"Elle l'aime, mais n'en a pas conscience.
Quand la haine se transforme en amour...

La haine de Nagisa envers Mashiro s'est transformée en amour. Néanmoins, elle ne parvient toujours pas à croiser son regard…

Premiers émois dans le second tome de ce yuri sensuel et intense.",978-2385031220,https://m.media-amazon.com/images/I/81h8--63sPL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (7 décembre 2023),Ren Sakuragi
"Today, She is not here... - Tome 02",15.3,"Un double jeu dangereux.

La relation entre Yuni et Nanase est toujours secrète. Yuni aime voir Nanase s'entraîner de toutes ses forces, mais elle a du mal à s'intéresser au volley ball. Quand le sujet vient sur le tapis, la conversation devient forcée. C'est là que Nanase se blesse au coude et qu'elle va à l'infirmerie se faire soigner. Et qui rencontre-t-elle là-bas ? Fûko.",978-2385034238,https://m.media-amazon.com/images/I/71YnqR+ioYL._SY522_.jpg,Meian; Yuri édition (19 avril 2024),Kiyoko Iwami
Anémone flamboyante - Tome 1,6.77,"Je veux réussir à t'aimer…
Je ne comprends pas ce sentiment.

Parce qu'elle la déteste, elle va commencer à l'aimer.

Ayant échoué à l'examen d'entrée du lycée qu'elle visait, Nagisa rejoint un lycée public. Quelle n'est pas sa surprise de découvrir que Mashiro, la jeune fille responsable de cet échec, compte parmi ses camarades ! Déterminée à dépasser son traumatisme, Nagisa décide de tout faire pour « aimer » Mashiro…

Un yuri sensuel dans lequel les sentiments maladroits s’entremêlent.",978-2385031213,https://m.media-amazon.com/images/I/81gvnqPBm5L._SY522_.jpg,Meian; Meian (Collection Yuri) édition (7 décembre 2023),Ren Sakuragi
"Today, She is not here... - Tome 01",18.93,"Pour vivre heureuses, vivons cachées.

Yuni et Nanase vivent une relation secrète. Alors que Yuni comprend que sa petite amie soit accaparée par son club de volley ball, elle ne peut s'empêcher de se sentir frustrée de se retrouver seule après les cours.
C'est pourquoi elle a décidé de parler de sa relation secrète sur un compte confidentiel. Elle y partage des selfies ou sa frustration avec d'autres, peu importe qui ils sont, ce sont des inconnus, après tout. Elle n'envoie que des messages innocents.
Alors quand une camarade découvre son secret, elle ne peut plus se contenter de sortir avec Nanase. Elle se met à mener une double vie, à l'insu de sa copine...",978-2385034221,https://m.media-amazon.com/images/I/71RdXwnHH2L._SY522_.jpg,Meian; Yuri édition (19 avril 2024),Kiyoko Iwami
She Wasn't a Guy T01,9.95,"Aya, une jeune lycéenne populaire, tombe sous le charme d'un mystérieux disquaire. Leur passion commune pour le rock les rapproche de plus en plus... Mais derrière le masque du disquaire mystérieux et charismatique se cache en réalité Mitsuki, une camarade de classe d'Aya, d'habitude très discrète.
Comment cet amour improbable va-t-il évoluer ? Aya va-t-elle accepter d'être tombée amoureuse... d'une fille ?!
Véritable phénomène sur Twitter, She Wasn't a Guy est la première oeuvre de Sumiko Arai, autrice suivie par un million de followers !",978-2382817759,https://m.media-amazon.com/images/I/81MOyzxg+IL._SY522_.jpg,Mangetsu; Illustrated édition (26 juin 2024),Sumiko Arai
The Moon on a Rainy Night - Tome 2,12.34,"Kanon est sourde. Quelque chose chez elle attire Saki.

Kanon utilise la lecture labiale pour com-muniquer avec les personnes qui l'entourent. Grâce à sa nouvelle amitié avec sa voisine de classe Saki, elle commence peu à peu à trouver sa place au sein du lycée.
Saki rencontre la petite sœur de Kanon, Rinne, qui sait lire sur les lèvres et dit être douée pour comprendre les expressions faciales des gens. Celle-ci pense que Saki est une fille louche qui cache quelque chose à sa grande sœur.
Malgré ces circonstances, Kanon lui ouvre son cœur et Saki arrive à mettre un nom sur ce qu'elle ressent…

Comme la lune par une nuit pluvieuse, les deux jeunes filles possèdent quelque chose qui ne peut être vu avec les yeux.",978-2385032104,https://m.media-amazon.com/images/I/81bioHRIOXL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (14 décembre 2023),Kuzushiro
