Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Vous êtes Elon Musk: Un livre dont vous êtes le héros,14.98,,978-1698872889,,Independently published (10 octobre 2019),
Le nom sur le mur,19.8,,978-2073061539,,GALLIMARD; Illustrated édition (18 avril 2024),
Un enfant sans ombre,12.15,,979-8547546846,,Independently published (1 août 2021),
... mais la vie continue,14.72,,978-2253107378,,Le Livre de Poche (6 avril 2022),
Mes guerres: Confidences d'une grand reporter,23.0,,979-1032930267,,L'OBSERVATOIRE; Illustrated édition (17 avril 2024),
La Lignée,21.9,,978-2213720562,,Fayard; 1er édition (28 février 2024),
Marion et les crocodiles d'Amstrad: L'histoire d'Amstrad France,12.8,,979-8884534582,,Independently published (27 avril 2024),
CIEL DE TRAINE,11.13,,979-8326062529,,Independently published (19 mai 2024),
"Tout ce que je voulais, c'était courir",20.0,,978-2080439482,,FLAMMARION (3 avril 2024),
Résilience: Ce qui ne me tue pas...,14.04,,979-8326109385,,Independently published (28 mai 2024),
La petite fille qui peignait sur les pianos,17.21,,979-8882528927,,Independently published (23 janvier 2020),
SAHARA,8.48,,978-2367060255,,BOOKS ON DEMAND (23 avril 2021),
Je sais pourquoi chante l'oiseau en cage,8.4,,978-2253127536,,Le Livre de Poche (30 septembre 2009),
Il vaso di Pandoro. Ascesa e caduta dei Ferragnez,9.29,,979-1255430483,,PaperFIRST (14 mai 2024),
Mes nuits parisiennes,22.0,,978-2080422033,,FLAMMARION (24 avril 2024),
Vous êtes Elon Musk: Un livre dont vous êtes le héros,14.98,,978-1698872889,,Independently published (10 octobre 2019),
The Bell Jar,11.55,,978-0571226160,,Faber & Faber; Main édition (2 juin 2005),
PARODIE,10.73,,978-2367060279,,BOOKS ON DEMAND (23 avril 2021),
"Jamais sans ma fille, tome 2 : Pour l'amour d'un enfant",7.0,,978-2266112345,,Pocket (15 mars 1992),
Rayonnante: Du silence à l'éclat spirituel,11.09,,978-2959364907,,Anne-Charlotte Blan (19 mai 2024),
"Ma mère, Dieu et Litzie",10.19,,978-2365698429,,Les escales éditions (26 octobre 2023),
Passion simple - Prix Nobel de Littérature 2022,7.8,,978-2930000015,,FOLIO; First Thus édition (4 janvier 1994),
Yamma,14.2,,978-2080429889,,FLAMMARION (22 mai 2024),
Le Monde d'hier: Souvenirs d'un Européen,8.61,,978-2070792191,,Folio (1 avril 2016),
Le Journal d'Anne Frank (Nouvelle édition),7.9,,978-2253937432,,Le Livre de Poche (25 mai 2022),
Juliette Drouet,16.11,,978-2080674418,,FLAMMARION (1 novembre 1998),
Vous êtes Elon Musk: Un livre dont vous êtes le héros,14.98,,978-1698872889,,Independently published (10 octobre 2019),
La mirada de las plantas,11.69,,978-8412520507,,Almadia Aljosan S.R.L.U.; 1er édition (20 avril 2022),
"Allez fils, on s'relève !",19.0,,979-8877827592,,Independently published (18 février 2024),
Le cercle littéraire des amateurs d'épluchures de patates,9.2,,978-2264053510,,10 X 18 (6 janvier 2011),
,18.23,,,,,
"I Love You, I Love You, I Love You: The laugh-out-loud funny, nostalgic, heart-warming, heart-breaking, new novel for 2024. Perfect for fans of One Day",17.33,,978-0008586928,,HQ (20 juin 2024),
Lettres aux résidents Baschung,16.5,,979-1092091007,,BOOKS ON DEMAND; 2e Revue et augmentée édition (13 novembre 2012),
Jackie et Lee,8.4,,978-2253934752,,Le Livre de Poche (5 mai 2021),
Pleurer au supermarché,15.82,,978-2267048919,,BOURGOIS (2 mai 2024),
Open Strings,13.37,,978-1788649735,,Cinnamon Press; Fiction (Novel) édition (20 octobre 2023),
Kitchen Confidential: Insider's Edition.,5.98,,978-1408845042,,Bloomsbury Publishing PLC; 1er édition (23 mai 2013),
Balzac,9.7,,978-2253139256,,Le Livre de Poche; Le Livre de Poche édition (1 mars 1996),
Orlando,9.4,,978-2070452132,,FOLIO (DOMAINE PUBLIC) (14 juin 2018),
Vous êtes Elon Musk: Un livre dont vous êtes le héros,14.98,,978-1698872889,,Independently published (10 octobre 2019),
Le temps des secrets,19.43,,978-2877065092,,Grasset (25 août 2004),
"Le premier plongeur: Frédéric ""Didi"" Dumas",10.8,,978-2959138454,,978-2-9591384 (11 janvier 2024),
Le dernier amour de Kafka. La vie de Dora Diamant.,35.0,,978-2705666125,,Hermann (14 octobre 2006),
Jennifer Aniston: L'impossible bonheur,24.95,,978-2017234418,,Hachette Pratique (15 mai 2024),
Hamnet: WINNER OF THE WOMEN'S PRIZE FOR FICTION 2020 - THE NO. 1 BESTSELLER,11.13,,978-1472223821,,Tinder Press; 1er édition (31 mars 2021),
,19.25,,,,,
La jeunesse du monde: Le destin brisé de Gauthier et Vincent Malraux,23.0,,978-2207179772,,DENOEL (28 février 2024),
On Earth We're Briefly Gorgeous,18.08,,978-1529110685,,Vintage; 1er édition (1 septembre 2020),
Tintamarre,27.0,,978-2493255716,,LA ROUTE (8 avril 2024),
Les Hommes sont-ils eux aussi des Princesses?,6.43,,979-8327027930,,Independently published (31 mai 2024),
Jean le bleu,7.9,,978-2253000228,,Le Livre de Poche (1 janvier 1974),
La Nuit de feu,7.7,,978-2253070689,,Le Livre de Poche; 1er édition (25 janvier 2017),
Arthur Rimbaud : Biographie,10.48,,978-2221247082,,Bouquins (10 septembre 2020),
