Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Antigone,6.5,,978-2710381419,,La Table Ronde; 1er édition (8 juin 2016),
Incendies le sang des promesses - Babel 1027,7.7,,978-2742793129,,Actes Sud (5 janvier 2011),
Le Médecin malgré lui,17.65,,978-2081386747,,FLAMMARION (22 juin 2016),
1984,9.4,,978-2072878497,,FOLIO (28 mai 2020),
La gloire de mon père,7.9,,978-2877065078,,Grasset; Student édition (25 août 2004),
Rhinocéros,8.9,,978-2070368167,,FOLIO; New édition (1 mai 1972),
La peste,8.3,,978-2070360420,,FOLIO; 1er édition (1 janvier 1972),
Les Fourberies de Scapin,17.1,,978-2091887630,,Nathan; Illustrated édition (23 mai 2018),
Twelfth Night,14.62,,978-1903436998,,The Arden Shakespeare; Reprint édition (9 mai 2008),
Antigone,10.34,,978-2218959226,,Hatier (21 mars 2012),
Le Menteur suivi de La Suite du menteur,7.59,,978-2253081081,,Le Livre de Poche (10 mars 2010),
"L'obsolescence de l'homme : Sur l'âme à l'époque de la deuxième révolution industrielle, 1956",15.91,,978-2910386146,,Editions de l'Encyclopédie des Nuisances; 1er édition (10 avril 2002),
Combat de nègre et de chiens: (suivi des) Carnets,10.5,,978-2707312983,,Editions de Minuit (1 janvier 1990),
Le Dieu du carnage - Classiques et Contemporains,5.4,,978-2210755642,,MAGNARD; 1er édition (27 avril 2011),
Dans la solitude des champs de coton,15.79,,978-2707311030,,Editions de Minuit (1 janvier 1987),
La Place Royale,14.68,,978-2081470118,,FLAMMARION (16 janvier 2019),
Les Poupées,5.6,,978-2266331319,,Pocket (9 mars 2023),
Incendies,12.0,,978-2742783366,,Actes Sud Papiers; 2e édition (20 avril 2009),
Les Justes,6.3,,978-2070364770,,"FOLIO; N°477; © Éditions Gallimard, 1950. (8 novembre 1973)",
Le Procès du loup - Classiques et Contemporains,5.4,,978-2210754911,,MAGNARD; 1er édition (6 juin 2006),
Le grand livre de la synergologie - Décoder le langage corporel pour mieux comprendre l'autre: Décoder le langage corporel pour mieux comprendre l'autre,9.18,,978-2761956703,,de l'Homme (27 janvier 2022),
Ouest américain - 10ed,25.0,,978-2816186093,,Lonely Planet; 10e édition (10 septembre 2020),
Knock ou Le Triomphe de la Médecine,7.4,,978-2070360604,,FOLIO; Folio édition (28 mars 1972),
Espagne du Nord Ouest 4ed,14.09,,978-2816199918,,Lonely Planet; 4e édition (4 mai 2023),
Rose et Massimo,12.0,,978-2213720975,,Fayard (31 mai 2023),
Synchronicity,29.9,,978-2813226662,,Les éditions Trédaniel; Illustrated édition (9 juin 2022),
Initiation au théâtre - Courtes pièces à lire et à jouer - Classiques et Contemporains,5.4,,978-2210755758,,MAGNARD; 1er édition (22 mars 2013),
Huis clos: Pièce en un acte,7.8,,978-2072790416,,FOLIO THEATRE (26 septembre 2019),
Trois courtes pièces,19.15,,978-2070793136,,FOLIO+ COLLEGE (9 juin 2016),
The Tragedy of King Lear,9.69,,978-1316646977,,Cambridge University Press; 3e édition (14 mai 2020),
Costa Rica 10ed,15.71,,978-2384923618,,Lonely Planet; 10e édition (16 novembre 2023),
Le Prénom,11.0,,978-2749812236,,L'Avant-Scène théâtre; 1er édition (16 mai 2012),
Caligula,7.8,,978-2070446599,,FOLIO PLUS CLASSIQUE (7 juin 2012),
Intimate Apparel,10.14,,978-1848424371,,Nick Hern Books (3 juillet 2014),
Le Médecin volant - Classiques et Patrimoine,14.49,,978-2210760899,,MAGNARD; 1er édition (28 juin 2013),
Le Square - Bac Pro 2025,7.58,,978-2073082817,,FOLIO (7 mai 2024),
Juste la fin du monde,6.9,,978-2846816120,,SOLITAIRES INT (26 juin 2020),
Cyrano de Bergerac,18.19,,978-2290158012,,J'ai lu (10 janvier 2018),
Quel oiseau-mouche te pique ?: L'éclosion d'une compagnie théâtrale atypique,15.0,,978-2343131900,,Editions L'Harmattan; Illustrated édition (1 novembre 2017),
La Réunification des deux Corées,18.43,,978-2330019471,,Actes Sud Papiers (20 novembre 2013),
"Huis clos, suivi de Les mouches",8.1,,978-2070368075,,Gallimard; Première édition (18 février 2000),
The Train Driver and Other Plays,19.02,,978-1559363860,,"Theatre Communications Group Inc.,U.S. (22 novembre 2012)",
"Dramatizing Dido, Circe, and Griselda",43.88,,978-0772720696,,University of Toronto Press; Critical ed. édition (1 mai 2010),
Italie 11ed,31.0,,978-2384923663,,Lonely Planet; 11e édition (18 janvier 2024),
