Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Antigone,6.5,,978-2710381419,https://m.media-amazon.com/images/I/71EoBhWCc4L._SY522_.jpg,La Table Ronde; 1er édition (8 juin 2016),Jean Anouilh
Incendies le sang des promesses - Babel 1027,7.7,,978-2742793129,https://m.media-amazon.com/images/I/61TBf3HC2pS._SY522_.jpg,Actes Sud (5 janvier 2011),Wajdi Mouawad
Le Médecin malgré lui,17.84,,978-2081386747,https://m.media-amazon.com/images/I/51fHHLdrAFL._SY522_.jpg,FLAMMARION (22 juin 2016),Molière
1984,9.4,,978-2072878497,https://m.media-amazon.com/images/I/71Y9X7FYkcL._SY522_.jpg,FOLIO (28 mai 2020),George Orwell
La gloire de mon père,7.9,,978-2877065078,https://m.media-amazon.com/images/I/91CiR5IZWLL._SY522_.jpg,Grasset; Student édition (25 août 2004),Marcel Pagnol
Rhinocéros,8.9,,978-2070368167,https://m.media-amazon.com/images/I/71bSIQCGAwL._SY522_.jpg,FOLIO; New édition (1 mai 1972),Eugène Ionesco
La peste,8.3,,978-2070360420,https://m.media-amazon.com/images/I/61FqU895FsL._SY522_.jpg,FOLIO; 1er édition (1 janvier 1972),Albert Camus
Les Fourberies de Scapin,19.32,,978-2091887630,https://m.media-amazon.com/images/I/61STzA3R6GL._SY522_.jpg,Nathan; Illustrated édition (23 mai 2018),Molière
Twelfth Night,17.05,,978-1903436998,https://m.media-amazon.com/images/I/815i0BD-dFL._SY522_.jpg,The Arden Shakespeare; Reprint édition (9 mai 2008),William Shakespeare
Antigone,15.27,,978-2218959226,https://m.media-amazon.com/images/I/81ZL2pk6NVL._SY522_.jpg,Hatier (21 mars 2012),Sophocle
Le Menteur suivi de La Suite du menteur,17.38,,978-2253081081,https://m.media-amazon.com/images/I/81THoU7JHvL._SY522_.jpg,Le Livre de Poche (10 mars 2010),Pierre Corneille
"L'obsolescence de l'homme : Sur l'âme à l'époque de la deuxième révolution industrielle, 1956",18.01,,978-2910386146,https://m.media-amazon.com/images/I/91HiSzTJpaL._SY522_.jpg,Editions de l'Encyclopédie des Nuisances; 1er édition (10 avril 2002),Günther Anders
Combat de nègre et de chiens: (suivi des) Carnets,10.5,,978-2707312983,https://m.media-amazon.com/images/I/41gUi5M5lgL._SY522_.jpg,Editions de Minuit (1 janvier 1990),Bernard-Marie Koltès
Le Dieu du carnage - Classiques et Contemporains,5.4,,978-2210755642,https://m.media-amazon.com/images/I/61QZheDNZ0L._SY522_.jpg,MAGNARD; 1er édition (27 avril 2011),Yasmina Reza
Dans la solitude des champs de coton,19.0,,978-2707311030,https://m.media-amazon.com/images/I/61PD++H9fdL._SY522_.jpg,Editions de Minuit (1 janvier 1987),Bernard-Marie Koltès
La Place Royale,7.26,,978-2081470118,https://m.media-amazon.com/images/I/61gMgAL2Y5L._SY522_.jpg,FLAMMARION (16 janvier 2019),Pierre Corneille
Les Poupées,13.28,,978-2266331319,https://m.media-amazon.com/images/I/71WiCfZVdxL._SY522_.jpg,Pocket (9 mars 2023),Alexis Laipsker
Incendies,12.0,,978-2742783366,https://m.media-amazon.com/images/I/61gu6NljmVL._SY522_.jpg,Actes Sud Papiers; 2e édition (20 avril 2009),Wajdi Mouawad
Les Justes,6.3,,978-2070364770,https://m.media-amazon.com/images/I/81jCaXf8UAL._SY522_.jpg,"FOLIO; N°477; © Éditions Gallimard, 1950. (8 novembre 1973)",Albert Camus
Le Procès du loup - Classiques et Contemporains,5.4,,978-2210754911,https://m.media-amazon.com/images/I/91wjMQ4yj-L._SY522_.jpg,MAGNARD; 1er édition (6 juin 2006),Zarko Petan
Le grand livre de la synergologie - Décoder le langage corporel pour mieux comprendre l'autre: Décoder le langage corporel pour mieux comprendre l'autre,10.08,,978-2761956703,https://m.media-amazon.com/images/I/6195C7QbYIL._SY522_.jpg,de l'Homme (27 janvier 2022),Philippe Turchet
Ouest américain - 10ed,25.0,,978-2816186093,https://m.media-amazon.com/images/I/71LjVUsACLL._SY522_.jpg,Lonely Planet; 10e édition (10 septembre 2020),Lonely planet fr
Knock ou Le Triomphe de la Médecine,7.4,,978-2070360604,https://m.media-amazon.com/images/I/71SK+1lYzmL._SY522_.jpg,FOLIO; Folio édition (28 mars 1972),Jules Romains
Espagne du Nord Ouest 4ed,8.74,,978-2816199918,https://m.media-amazon.com/images/I/81tyBFZSiAL._SY522_.jpg,Lonely Planet; 4e édition (4 mai 2023),Lonely Planet
Rose et Massimo,12.0,,978-2213720975,https://m.media-amazon.com/images/I/91hh7MzAzaL._SY522_.jpg,Fayard (31 mai 2023),Félix Radu
Synchronicity,29.9,,978-2813226662,https://m.media-amazon.com/images/I/611ci92E+EL._SY522_.jpg,Les éditions Trédaniel; Illustrated édition (9 juin 2022),Romuald Leterrier
Initiation au théâtre - Courtes pièces à lire et à jouer - Classiques et Contemporains,5.4,,978-2210755758,https://m.media-amazon.com/images/I/614dnueTpVL._SY522_.jpg,MAGNARD; 1er édition (22 mars 2013),Roland Dubillard
Huis clos: Pièce en un acte,7.8,,978-2072790416,https://m.media-amazon.com/images/I/61C5OrAcu-L._SY522_.jpg,FOLIO THEATRE (26 septembre 2019),Jean-Paul Sartre
Trois courtes pièces,8.62,,978-2070793136,https://m.media-amazon.com/images/I/81l8mqDFCrL._SY522_.jpg,FOLIO+ COLLEGE (9 juin 2016),Molière
The Tragedy of King Lear,11.85,,978-1316646977,https://m.media-amazon.com/images/I/81dKUuE9mSL._SY522_.jpg,Cambridge University Press; 3e édition (14 mai 2020),William Shakespeare
