Nom,Description,Photo
Steve Rioux,,
Hervé Le Tellier,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Prof. Shaul Harel,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3mn6ijq73n0r0l42r4rj9uagvm._SY600_.jpg
Bernard Pivot,"Journaliste, écrivain et critique littéraire, Bernard Pivot, à travers ses émissions Ouvrez les Guillemets, Apostrophes ou encore Bouillon de culture, a donné le goût de la lecture à des millions de téléspectateurs. Il a présidé l’Académie Goncourt de 2014 à 2019.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marine Jacquemin,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aurélie Valognes,"Louise et Madeleine. Deux écrivaines, deux générations. L'une écrit pour fuguer, l'autre fugue pour écrire. L'une débute dans l'écriture, l'autre n'écrit plus.
À travers une correspondance intime, elles partagent leurs doutes face à la création et à leurs vies de femmes artistes, d'épouses et de mères. Être prête à décevoir, à déplaire, à oser dire ce que l'on pense et à faire ce qui doit être fait pour devenir – au-delà des injonctions, de la culpabilité, des injustices sociales et de genre – la personne que l'on devait être.

Une ode à la transmission, à la nature et à la liberté qui pose la question brûlante : quand on a pris certains chemins dans la vie – travail, mariage, enfants –, a-t-on encore le droit d'être soi ?

À travers cette amitié épistolaire, qui nous plonge dans les abîmes de la création et dans la solitude de la vie d'écrivain, Aurélie Valognes nous livre son roman le plus intime.",https://m.media-amazon.com/images/I/815kf3YG6fL._SY600_.jpg
David Hecq,,https://m.media-amazon.com/images/S/amzn-author-media-prod/vvnpbpkf0bbm6utjque5s752pf._SY600_.jpg
EDOUARD MAITRE,,
Anaïs Quemener,"Anaïs Quemener, 32 ans, est aide-soignante et athlète de haut niveau. Multiple championne de France de marathon, elle s'est battue contre un cancer du sein au cours de sa vingtaine, sans jamais cesser de courir.

Cécile est Coulon est née en 1990. Après une hypokhâgne et une khâgne à Clermont-Ferrand, elle poursuit ses études en Lettres Modernes. Elle se consacre actuellement à sa thèse dont le sujet est ""Sport et Littérature"". Son premier roman Le voleur de vie et son recueil de nouvelles Sauvages ont paru aux Éditions Revoir. Outre son goût prononcé pour la littérature, de Steinbeck à Luc Dietrich, Nathalie Sarraute ou Marie-Hélène Lafon en passant par Tennessee Williams, Stephen King ou Prévert, elle est aussi passionnée de cinéma (Pasolini, La Nuit du chasseur, The Big Lebowski, L'Année dernière à Marienbad, Bruno Dumont, Duncan Tucker, Larry Clark, John Waters) et de musique (Elvis Presley, Jerry Lee Lewis, Chuck Berry, Ramones, Lesley Gore, Otis Redding, John Legend). Cinq romans ont paru aux Éditions Viviane Hamy : Méfiez-vous des enfants sages (2010), Le Roi n'a pas sommeil (2012, couronné Prix Mauvais Genres France Culture / Le Nouvel Observateur la même année), Le Rire du grand blessé (2013), Le Coeur du Pélican (2015) et Trois saisons d'orage, Prix des Libraires 2017.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Delphine Rougeot,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j9mf1sfhb5jf1m363p1nf45hhk._SY600_.jpg
François Le Tertre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j8s2supp3vdhc7prmot3hlvqvk._SY600_.jpg
Cizia Zykë,"Fils d'un légionnaire français d'origine albanaise et d'une mère grecque, Cizia Zykë passe son enfance à Taroudant dans le sud du Maroc. Sa famille s'installe à Bordeaux lorsque le Maron gagne son indépendance en 1956. Cizia Zykë a terminé son aventure terrestre le 26 septembre 2011 à Bordeaux.",
Maya Angelou,"Née le 4 avril 1928 à Saint-Louis, Missouri, Maya Angelou a vu défiler le xxe siècle américain et s'y est engagée corps et âme. Elle a été nominée pour le prix Pulitzer et le National Book Award, et a remporté une longue liste de prix littéraires et autres distinctions, dont la médaille présidentielle de la Liberté en 2010, la plus haute distinction civile aux États-Unis. Personnalité riche et multiple, femme audacieuse et engagée, véritable source d'inspiration pour les américains de tous horizons, Maya Angelou est décédée en 2014.",https://m.media-amazon.com/images/I/31BeYfYenML._SY600_.jpg
Selvaggia Lucarelli,,
Agathe Godard,"Agathe Godard a été grand reporter à Paris Match dès 1978, responsable du "" Match de la vie parisienne "".",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Steve Rioux,,
Sylvia Plath,"When Esther Greenwood wins an internship on a New York fashion magazine in 1953, she is elated, believing she will finally realise her dream to become a writer. But in between the cocktail parties and piles of manuscripts, Esther's life begins to slide out of control. She finds herself spiralling into serious depression as she grapples with difficult relationships and a society which refuses to take her aspirations seriously. The Bell Jar, Sylvia Plath's only novel, was originally published in 1963 under the pseudonym Victoria Lucas. The novel is partially based on Plath's own life and descent into mental illness, and has become a modern classic.",https://m.media-amazon.com/images/I/31c7izVLq8L._SY600_.jpg
Cizia Zykë,"Fils d'un légionnaire français d'origine albanaise et d'une mère grecque, Cizia Zykë passe son enfance à Taroudant dans le sud du Maroc. Sa famille s'installe à Bordeaux lorsque le Maron gagne son indépendance en 1956. Cizia Zykë a terminé son aventure terrestre le 26 septembre 2011 à Bordeaux.",https://m.media-amazon.com/images/I/41wGd6vHOeL._SY600_.jpg
Betty Mahmoody,"5 février 1986: hagardes, épuisées, Betty Mahmoody et sa fille voient flotter le drapeau américain devant leur ambassade à Ankara. Elles sont libres. Le cauchemar iranien s'efface alors peu à peu. Mais Betty devra encore braver ses peurs les plus secrètes pour raconter son histoire. Son livre, le film qui en est tiré, la rendent célèbre. Et c'est par centaines que d'autres parents, qui vivent le même drame qu'elle, lui téléphonent, démunis, désespérés. Ce sont ces histoires bouleversantes qu'a choisi de raconter cette ""Mère Courage"", devenue présidente de la fondation ""Un monde pour les enfants"". L'aventure d'hommes et de femmes qui, en Afrique du Sud, au Yémen, en Allemagne, en France et partout dans le monde défient les lois et les frontières pour l'amour de leur enfant, kidnappé par leur conjoint.",
Anne-Charlotte Blan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dnahonsln3dt8chs7l37a0rh29._SY600_.jpg
Roland Perez,"Roland Perez est avocat et animateur de radio et de télévision. Son premier roman, Ma mère, Dieu et Sylvie Vartan (Les Escales, 2021 ; Pocket, 2023), lauréat du Prix du Cheval Blanc 2022, a rencontré un grand succès.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Annie Ernaux,"""À partir du mois de septembre l'année dernière, je n'ai plus rien fait d'autre qu'attendre un homme : qu'il me téléphone et qu'il vienne chez moi.""Annie Ernaux.",https://m.media-amazon.com/images/S/amzn-author-media-prod/u6vvs4a0njj1vvdnn7ba9ier6g._SY600_.jpg
Ouissem Belgacem,"Ancien footballeur professionnel, Ouissem Belgacem est aujourd'hui écrivain, réalisateur et conférencier. Engagé dans la lutte contre toutes les formes de discriminations, il partage son expérience et son expertise à travers des prises de paroles en France et à l'étranger. Il a récemment porté son histoire à l'écran, dans une série- documentaire diffusée sur Canal + en juin 2023 qu'il a écrite et co-produite.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Stefan Zweig,"Rédigé en 1941 au Brésil où le triomphe du nazisme en Autriche a contraint Zweig à émigrer, Le Monde d'hier raconte une perte : celle d'un monde de sécurité et de stabilité apparentes, où chaque chose avait sa place dans un ordre culturel, politique et social qui nourrissait l'illusion de l'éternité. Un monde austro-hongrois et une ville sans égale, Vienne, qu'engloutira le cataclysme de 1914. Dans ce qui est l'un des plus grands livres-témoignages sur l'évolution de l'Europe de 1895 à 1941, Zweig retrace dans un va-et-vient constant la vie de la bourgeoisie juive éclairée, moderne, intégrée, et le destin de l'Europe jusqu'à son suicide, sous les coups du nationalisme, de l'antisémitisme, de la catastrophe de la Première Guerre mondiale et de l'effondrement de l'Empire austro-hongrois, sans oublier le rattachement de Vienne au Reich national-socialiste. Ce tableau d'un demi-siècle de l'histoire de l'Europe résume le sens d'une vie, d'un engagement d'écrivain, d'un idéal d'une République de l'intelligence par-dessus les frontières. Chemin faisant, le lecteur croise les amis de l'auteur : Schnitzler, Rilke, Rolland, Freud, Verhaeren ou Valéry.",
Anne Frank,A tenu un journal du 14 juin 1942 au 1er août 1944. Auteur de contes.,
