Nom,Description,Photo
Jean Anouilh,"""L'Antigone de Sophocle, lue et relue et que je connaissais par coeur depuis toujours, a été un choc soudain pour moi pendant la guerre, le jour des petites affiches rouges. Je l'ai réécrite à ma façon, avec la résonance de la tragédie que nous étions alors en train de vivre."" Jean Anouilh.",https://m.media-amazon.com/images/I/41sRZ6W+kpL._SY600_.jpg
Wajdi Mouawad,"Lorsque le notaire Lebel fait aux jumeaux Jeanne et Simon Marwan la lecture du testament de leur mère Nawal, il réveille en eux l’incertaine histoire de leur naissance : qui dont fut leur père, et par quelle odyssée ont-ils vu le jour loin du pays d’origine de leur mère ? En remettant à chacun une enveloppe, destinées l’une à ce père qu’ils croyaient mort et l’autre à leur frère dont ils ignorent l’existence, il va les plonger dans l’aveu de l’irréparable…",https://m.media-amazon.com/images/I/71Ue7gVMPbL._SY600_.jpg
Molière,"Sganarelle, ivrogne notoire et mari violent, mérite sans doute une bonne punition... Sa femme Martine se venge et voilà le bûcheron contraint de se dire médecin, puis de guérir Lucinde qui a subitement perdu la parole. Mais les coups de bâton - pire, la potence! - le guettent, et pour y échapper, il lui faut ruser. Et Sganarelle de feindre l'assurance, les gestes et le langage des médecins du XVIIe siècle... sans jamais lever le masque! L'édition : • parcours de lecture dans l'oeuvre • comprendre la langue de Molière • les ressorts du comique • mises en scène récentes de la pièce • groupements de textes : - la représentation du rusé à travers les âges - trois scènes de Molière récrites par Dario Fo • culture artistique : - cahier photos - histoire des arts : la satire des médecins - un livre, un film : à la découverte de Certains l'aiment chaud (Billy Wilder)",
George Orwell,"George Orwell (de son vrai nom Eric Blair) est né aux Indes en 1903 et a fait ses études à Eton. Sa carrière est très variée et beaucoup de ses écrits sont un rappel de ses expériences. De 1922 à 1928 il sert dans la police indienne impériale. Pendant les deux années suivantes il vit à Paris puis part pour l'Angleterre comme professeur. En 1937 il va en Espagne combattre dans les rangs républicains et y est blessé. Pendant la guerre mondiale il travaille pour la B.B.C., puis est attaché, comme correspondant spécial en France et en Allemagne, à l'Observer. Il meurt à Londres en janvier 1950.",https://m.media-amazon.com/images/S/amzn-author-media-prod/m7s55i3lt6q4gp809evnvbqkr3._SY600_.jpg
Marcel Pagnol,"Marcel Pagnol (1895-1974) est un écrivain, dramaturge, cinéaste et producteur français. En 1957, il commence la rédaction de ses Souvenirs d’enfance avec La Gloire de mon père, suivi par Le Château de ma mère, Le Temps des secrets et Le Temps des amour (inachevé, publié après sa mort), où il fait revivre avec vivacité et imagination le petit monde provençal.Il est élu à l’Académie française en 1946.",https://m.media-amazon.com/images/I/51bszyOMq9L._SY600_.jpg
Eugène Ionesco,"Eugène Ionesco (1909-1994) prend place dès les années 1950 parmi les représentants de ce qu'on appellera ""le théâtre de l'absurde"". Ses premières pièces (La Cantatrice chauve, La Leçon) traduisent son étonnement devant la vacuité des êtres et toutes les formes d'abrutissement. Tueur sans gages défend l'individu face à une société léthifère ; Rhinocéros délivre un message plus clair encore : qui voudra rester un homme aura à se méfier de tous. Malgré une angoisse toujours croissante (Voyages chez les morts), Ionesco est de ceux qui ne capitulent pas.",
Albert Camus,"Albert Camus naît à Mondovi, en Algérie, le 7 novembre 1913. Pendant la seconde guerre mondiale, il intègre un mouvement de résistance à Paris, puis devient rédacteur en chef de quotidienCombat à la Libération. Journaliste, mais aussi philosophe, romancier et dramaturge, il reçoit le prix Nobel de littérature en 1957. Pour ce ""Français d'Algérie"" pauvre et sans racines, le tragique est indissociable de l'aspiration à un bonheur qu'il sait aussi précaire que le soleil de midi. S'il voue sa vie entière au théâtre (Caligula,L'État de siège,Les Justes), ses romans (L'Étranger,La Peste,La Chute) et son oeuvre de journaliste l'imposent comme l'un des principaux acteurs de son temps.Il meurt en 1960 dans un accident de voiture, laissant le manuscrit du Premier homme inachevé.",https://m.media-amazon.com/images/I/71jqyXVmw0L._SY600_.jpg
Molière,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
William Shakespeare,"William Shakespeare (1564-1616) was an English dramatist, poet, and actor, generally regarded as the greatest playwright of all time.

Keir Elam is Professor of English Literature at the University of Bologna, where he is resident member of the Institute for Advanced Studies and evaluator for the Humanities in the University Research Observatory (Osservatorio della Ricerca).

ANN THOMPSON is Emeritus Professor in English at King' s College London UK.

David Scott Kastan is the George M. Bodman Professor of English at Yale University, USA.

Henry Woudhuysen is Rector of Lincoln College, Oxford, UK.",https://m.media-amazon.com/images/S/amzn-author-media-prod/d6boihls8itdk3ba7umg8invib._SY600_.jpg
Sophocle,,
Pierre Corneille,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Günther Anders,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
