Nom,Description,Photo
fabian gambacorta,,
fabian gambacorta,,
Laurent Gounelle,"Écrivain, Laurent Gounelle est également un spécialiste des sciences humaines, formé en France et aux États-Unis. Ses livres expriment sa passion pour la philosophie, la psychologie et le développement personnel. Ses romans – L'homme qui voulait être heureux (Anne Carrière, 2008), Dieu voyage toujours incognito (Anne Carrière, 2010, paru chez Pocket en 2012 sous le titre Les dieux voyagent toujours incognito), Le philosophe qui n'était pas sage (Kero, 2012), Le jour où j'ai appris à vivre (Kero, 2014) et Et tu trouveras le trésor qui dort en toi (Kero, 2016) – sont des best-sellers internationaux, tout comme son dernier ouvrage, Je te promets la liberté, paru aux éditions Calmann-Lévy en 2018.
Retrouvez toute l'actualité de l'auteur sur :",https://m.media-amazon.com/images/I/91366+0XFvL._SY600_.jpg
Joël Dicker,"Joël Dicker est né à Genève en 1985.
La Vérité sur l'Affaire Harry Quebert s'est vendu à des millions d'exemplaires dans le monde entier et a été adapté en série télévisée par Jean-Jacques Annaud.
Ce livre a obtenu successivement en 2012 le Prix de la Vocation Bleustein-Blanchet, le Grand Prix du Roman de l'Académie française et le Prix Goncourt des Lycéens.",https://m.media-amazon.com/images/S/amzn-author-media-prod/69jgvi936qkt91lmd6l08s8c3f._SY600_.jpg
Hélène Dorion,"Hélène Dorion, première Québécoise vivante au programme du Baccalauréat, vit environnée de lacs et de forêts, de fleuves et de rivages, de brumes de mémoire et de vastes estuaires où la pensée s’évase. À travers cette expérience immersive dans la forêt des mots, elle nous invite à traverser les paysages pour aller vers « ce que l’on nomme humanité ».

En supplément, un dossier consacré à la poésie, la nature et l’intime, pour élargir les horizons du lecteur et lui donner envie de poursuivre le voyage.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Lucas Clavel,,https://m.media-amazon.com/images/S/amzn-author-media-prod/t3fl2nbcc94g2prar1s0l0qfju._SY600_.jpg
fabian gambacorta,,
FEF,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ddulv7r6tfa7esna5576encren._SY600_.jpg
Alya Shaini,,
A G,,https://m.media-amazon.com/images/S/amzn-author-media-prod/g3c2e411egr42s65ig2u2csdng._SY600_.jpg
Christian Bobin,"Christian Bobin est né en 1951 au Creusot. Il est l'auteur d'ouvrages dont les titres s'éclairent les uns les autres comme les fragments d'un seul puzzle. Entre autres : Souveraineté du vide, Le Très-Bas, La part manquante, La plus que vive, La Présence pure, L'homme-joie, La grande vie, Noireclaire, Un bruit de balançoire, La nuit du coeur et Pierre,. Il a reçu le prix d'Académie 2016 pour l'ensemble de son oeuvre. Il est décédé en 2022.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
fabian gambacorta,,
