Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Antigone,6.5,"""L'Antigone de Sophocle, lue et relue et que je connaissais par coeur depuis toujours, a été un choc soudain pour moi pendant la guerre, le jour des petites affiches rouges. Je l'ai réécrite à ma façon, avec la résonance de la tragédie que nous étions alors en train de vivre."" Jean Anouilh.",978-2710381419,https://m.media-amazon.com/images/I/71EoBhWCc4L._SY522_.jpg,La Table Ronde; 1er édition (8 juin 2016),Jean Anouilh
Incendies le sang des promesses - Babel 1027,7.7,"Lorsque le notaire Lebel fait aux jumeaux Jeanne et Simon Marwan la lecture du testament de leur mère Nawal, il réveille en eux l’incertaine histoire de leur naissance : qui dont fut leur père, et par quelle odyssée ont-ils vu le jour loin du pays d’origine de leur mère ? En remettant à chacun une enveloppe, destinées l’une à ce père qu’ils croyaient mort et l’autre à leur frère dont ils ignorent l’existence, il va les plonger dans l’aveu de l’irréparable…",978-2742793129,https://m.media-amazon.com/images/I/41On6Aj0qaS._SY445_SX342_.jpg,Actes Sud (5 janvier 2011),Wajdi Mouawad
Le Médecin malgré lui,16.43,"Sganarelle, ivrogne notoire et mari violent, mérite sans doute une bonne punition... Sa femme Martine se venge et voilà le bûcheron contraint de se dire médecin, puis de guérir Lucinde qui a subitement perdu la parole.
Mais les coups de bâton pire, la potence ! le guettent, et pour y échapper, il lui faut ruser. Et Sganarelle de feindre l assurance, les gestes et le langage des médecins du XVIIe siècle... sans jamais lever le masque !",978-2081386747,https://m.media-amazon.com/images/I/41sW50Lt2jL._SY445_SX342_.jpg,FLAMMARION (22 juin 2016),Molière
1984,9.4,"Année 1984 en Océanie. 1984 ? C'est en tout cas ce qu'il semble à Winston, qui ne saurait toutefois en jurer. Le passé a été réinventé, et les événements les plus récents sont susceptibles d'être modifiés. Winston est lui-même chargé de récrire les archives qui contredisent le présent et les promesses de Big Brother. Grâce à une technologie de pointe, ce dernier sait tout, voit tout. Liberté est Servitude. Ignorance est Puissance. Telles sont les devises du régime. Pourtant Winston refuse de perdre espoir. Avec l'insoumise Julia, ils vont tenter d'intégrer la Fraternité, une organisation ayant pour but de renverser Big Brother. Mais celui-ci veille...",978-2072878497,https://m.media-amazon.com/images/I/71Y9X7FYkcL._SY522_.jpg,FOLIO (28 mai 2020),George Orwell
La gloire de mon père,7.9,"Un petit Marseillais d'il y a un siècle: l'école primaire ; le cocon familial ; les premières vacances dans les collines, à La Treille ; la première chasse avec son père...

Lorsqu il commence à rédiger ses Souvenirs d'enfance, au milieu des années cinquante, Marcel Pagnol est en train de s'éloigner du cinéma., et le théâtre ne lui sourit plus.
La Gloire de mon père, dès sa parution, en 1957, est salué comme marquant l'avènement d'un grand prosateur. Joseph, le père instituteur., Augustine, la timide maman., l'oncle Jules, la tante Rosé, le petit frère Paul, deviennent immédiatement aussi populaires que Marius, César ou Panisse. Et la scène de la chasse à la bartavelle se transforme immédiatement en dictée d?école primaire...
Les souvenirs de Pagnol sont un peu ceux de tous les enfants du monde. Plus tard, paraît-il, Pagnol aurait voulu qu'ils deviennent un film. C 'est Yves Robert qui, longtemps après la mort de l'écrivain, le réalisera.",978-2877065078,https://m.media-amazon.com/images/I/51IOuzfhWzL._SY445_SX342_.jpg,Grasset; Student édition (25 août 2004),Marcel Pagnol
Rhinocéros,8.9,"""Ce sont eux qui sont beaux. J'ai eu tort ! Oh ! comme je voudrais être comme eux. Je n'ai pas de corne, hélas ! Que c'est laid, un front plat. Il m'en faudrait une ou deux, pour rehausser mes traits tombants. Ça viendra peut-être, et je n'aurai plus honte, je pourrai aller tous les retrouver. Mais ça ne pousse pas ! (Il regarde les paumes de ses mains.) Mes mains sont moites. Deviendrontelles rugueuses ? (Il enlève son veston, défait sa chemise, contemple sa poitrine dans la glace.) J'ai la peau flasque. Ah, ce corps trop blanc, et poilu ! Comme je voudrais avoir une peau dure et cette magnifique couleur d'un vert sombre, une nudité décente, sans poils, comme la leur !""",978-2070368167,https://m.media-amazon.com/images/I/71bSIQCGAwL._SY522_.jpg,FOLIO; New édition (1 mai 1972),Eugène Ionesco
La peste,8.3,"""- Naturellement, vous savez ce que c'est, Rieux ? - J'attends le résultat des analyses. - Moi, je le sais. Et je n'ai pas besoin d'analyses. J'ai fait une partie de ma carrière en Chine, et j'ai vu quelques cas à Paris, il y a une vingtaine d'années. Seulement, on n'a pas osé leur donner un nom, sur le moment... Et puis, comme disait un confrère : ""C'est impossible, tout le monde sait qu'elle a disparu de l'Occident."" Oui, tout le monde le savait, sauf les morts. Allons, Rieux, vous savez aussi bien que moi ce que c'est... - Oui, Castel, dit-il, c'est à peine croyable. Mais il semble bien que ce soit la peste.""",978-2070360420,https://m.media-amazon.com/images/I/61FqU895FsL._SY522_.jpg,FOLIO; 1er édition (1 janvier 1972),Albert Camus
Les Fourberies de Scapin,10.33,"Carrés Classiques Collège : Les Fourberies de Scapin de Molière
Léandre et Octave voient leurs amours contrariées par leurs pères. Mais, c'est compter sans Scapin, le valet aux mille fourberies qui veut faire triompher la jeunesse sur l'autorité et la sottise...

Enjeux pédagogiques :
- Des pauses lecture qui accompagnent efficacement les nombreux rebondissements de la pièce liés aux ruses de Scapin.
- Une étude approfondie du personnage de Scapin, valet de son maître mais maître des situations.
- Une étude de l'évolution de la figure de Scapin dans l'histoire du théâtre, depuis la commedia dell'arte.
- Une analyse du passage de la farce à la comédie.
- Deux lectures d'images en couleurs.",978-2091887630,https://m.media-amazon.com/images/I/61STzA3R6GL._SY522_.jpg,Nathan; Illustrated édition (23 mai 2018),Molière
Twelfth Night,6.23,"Critically acclaimed as one of Shakespeare's most complex and intriguing plays, Twelfth Night is a classic romantic comedy of mistaken identities. In recent years it has returned to the centre of critical debate surrounding gender and sexuality. The Introduction explores the multiple factors that make up the play's rich textual, theatrical, critical and cultural history. Keir Elam surveys the play's production and reception, emphasising the role of the spectator both within the comedy and the playhouse.",978-1903436998,https://m.media-amazon.com/images/I/815i0BD-dFL._SY522_.jpg,The Arden Shakespeare; Reprint édition (9 mai 2008),William Shakespeare
Antigone,8.05,"En lien avec l’objet d’étude « Agir dans la cité : individu et pouvoir » du programme de français en 3e, une tragédie universelle qui, à travers l’affrontement des deux personnages, pose la question de la loi et de la manière juste de gouverner.

Résumé
Le tyran Créon a interdit qu’on enterre Polynice, au nom de la raison d’Etat. Antigone, elle, préfère mourir plutôt que de laisser son frère sans sépulture.

L’édition Classiques & Cie collège
Soigneusement annoté, le texte de la pièce est associé à un dossier illustré, qui comprend :
– un guide de lecture intitulé « Une tragédie antique », avec des repères, un parcours de l'œuvre et un groupement de documents,
– une enquête documentaire sur le théâtre à l’époque de Périclès.",978-2218959226,https://m.media-amazon.com/images/I/51wquGkrYwL._SY445_SX342_.jpg,Hatier (21 mars 2012),Sophocle
Le Menteur suivi de La Suite du menteur,8.1,"étudiant en droit récemment arrivé dans la capitale, Dorante évoque d’entrée de jeu son passé de soldat, puis son passé de Parisien. D’autres mensonges s’ensuivront… Quoique Corneille n’ait sans doute pas, dès la création du Menteur au Théâtre du Marais en 1643, conçu l’idée d’une Suite, les deux comédies forment bien un diptyque puisque, jouée dans la même salle un an plus tard, inspirée elle aussi d’un auteur espagnol, la seconde met en scène le même protagoniste que la première. Et cependant, au mensonge du Menteur qui ne visait qu’à tromper, vient se substituer dans La Suite un mensonge vertueux. Corneille, sans doute, fait rire le spectateur, mais il lui offre aussi l’occasion d’une réflexion subtile sur la morale et la civilité.",978-2253081081,https://m.media-amazon.com/images/I/81THoU7JHvL._SY522_.jpg,Le Livre de Poche (10 mars 2010),Pierre Corneille
"L'obsolescence de l'homme : Sur l'âme à l'époque de la deuxième révolution industrielle, 1956",14.12,""" Tout le monde est d'une certaine manière occupé et employé comme travailleur à domicile. Un travailleur à domicile d'un genre pourtant très particulier. Car c'est en consommant la marchandise de masse - c'est-à-dire grâce à ses loisirs - qu'il accomplit sa tâche, qui consiste à se transformer lui-même en homme de masse. Alors que le travailleur à domicile classique fabriquait des produits pour s'assurer un minimum de biens de consommation et de loisirs, celui d'aujourd'hui consomme au cours de ses loisirs un maximum de produits pour, ce faisant, collaborer à la production des hommes de masse. Le processus tourne même résolument au paradoxe puisque le travailleur à domicile, au lieu d'être rémunéré pour sa collaboration, doit au contraire lui-même la payer, c'est-à-dire payer les moyens de production dont l'usage fait de lui un homme de masse (l'appareil et, le cas échéant, dans de nombreux pays, les émissions elles-mêmes). Il paie donc pour se vendre. Sa propre servitude, celle-là même qu'il contribue à produire, il doit l'acquérir en l'achetant puisqu'elle est, elle aussi, devenue une marchandise. "" "" Le monde comme fantôme et comme matrice """,978-2910386146,https://m.media-amazon.com/images/I/41hSxiLYfrL._SY445_SX342_.jpg,Editions de l'Encyclopédie des Nuisances; 1er édition (10 avril 2002),Günther Anders
Combat de nègre et de chiens: (suivi des) Carnets,10.5,"« Combat de nègre et de chiens ne parle pas, en tout cas, de l'Afrique et des Noirs - je ne suis pas un auteur africain -, elle ne raconte ni le néocolonialisme ni la question raciale. Elle n'émet certainement aucun avis. Elle parle simplement d'un lieu du monde. On rencontre parfois des lieux qui sont des sortes de métaphores, de la vie ou d'un aspect de la vie, ou de quelque chose qui me paraît grave et évident, comme chez Conrad par exemple les rivières qui remontent dans la jungle... J'avais été pendant un mois en Afrique sur un chantier de travaux publics, voir des amis. Imaginez, en pleine brousse, une petite cité de cinq, six maisons, entourée de barbelés, avec des miradors ; et, à l'intérieur, une dizaine de Blancs qui vivent, plus ou moins terrorisés par l'extérieur, avec des gardiens noirs, armés, tout autour. C'était peu de temps après la guerre du Biafra, et des bandes de pillards sillonnaient la région. Les gardes, la nuit, pour ne pas s'endormir, s'appelaient avec des bruits très bizarres qu'ils faisaient avec la gorge... Et ça tournait tout le temps. C'est ça qui m'avait décidé à écrire cette pièce, le cri des gardes. Et à l'intérieur de ce cercle se déroulaient des drames petits-bourgeois comme il pourrait s'en dérouler dans le seizième arrondissement : le chef de chantier qui couchait avec la femme du contremaître, des choses comme ça... Ma pièce parle peut-être un peu de la France et des Blancs : une chose vue de loin, déplacée, devient parfois plus déchiffrable. Elle parle surtout de trois êtres humains isolés dans un lieu du monde qui leur est étranger, entourés de gardiens énigmatiques. J'ai cru - et je crois encore - que raconter le cri de ces gardes entendu au fond de l'Afrique, le territoire d'inquiétude et de solitude qu'il délimite, c'était un sujet qui avait son importance. » (B.-M. K.) Ce texte, paru aux Éditions de Minuit en janvier 1990, est suivi de notes (Carnets de Combat de nègre et de chiens).",978-2707312983,https://m.media-amazon.com/images/I/31zQgJAMHrL._SX342_SY445_.jpg,Editions de Minuit (1 janvier 1990),Bernard-Marie Koltès
